Project Number,Name,Sector,Province,Amount
55868,ORANJE VROUE VEREENIGING BLOEMFONTEIN,CHARITIES,FREE STATE,946517
51990,PAUL ROUX INTERMEDIATE SCHOOL,CHARITIES,FREE STATE,400000
59122,POLOKONG PRE-SCHOOL,CHARITIES,FREE STATE,118547
51836,QHOLAQHWE ADVICE CENTRE,CHARITIES,FREE STATE,432470
51331,REFILWE CRECHE,CHARITIES,FREE STATE,80000
58402,REGODILE DAY CARE CENTRE,CHARITIES,FREE STATE,163350
53618,ROADSIDE COMMUNITY PROJECT,CHARITIES,FREE STATE,103700
58186,RORISANG DAY CARE CENTRE,CHARITIES,FREE STATE,372700
51521,SOCIETY FOR THE BLIND FREE STATE,CHARITIES,FREE STATE,200000
51020,SOUTHERN FREE STATE MENTAL HEALTH,CHARITIES,FREE STATE,996460
51974,SPCA BLOEMFONTEIN,CHARITIES,FREE STATE,614302
54320,ST THERESA MMABANA EDUCARE CENTRE,CHARITIES,FREE STATE,117500
58152,THABANG SOCIETY,CHARITIES,FREE STATE,830100
43887,TSHIDISANANG WOMENS HEALTH CENTRE,CHARITIES,FREE STATE,134282
55320,TSHIRELETSO AGAINST WOMEN ABUSE,CHARITIES,FREE STATE,1429474
52228,TSWELLANG SPECIAL SCHOOL,CHARITIES,FREE STATE,1717553
51934,TSWELOPELE DAY CARE CENTRE,CHARITIES,FREE STATE,221775
57130,VILJOENSKROON HOSPICE,CHARITIES,FREE STATE,1172520
54551,VRYSTAAT - VERSORGING IN AKSIE: HEILBRON,CHARITIES,FREE STATE,242546
51053,VRYSTAAT C358- VERSORGING IN AKSIE: FRANKFORT,CHARITIES,FREE STATE,237000
52871,VRYSTAAT VERSORGING IN AKSIE,CHARITIES,FREE STATE,565200
54075,VRYSTAAT VERSORGING IN AKSIE - PHILIPPOLIS TAK,CHARITIES,FREE STATE,285167
53165,VRYSTAAT VERSORGING IN AKSIE TAK: VREDE,CHARITIES,FREE STATE,306771
54382,VRYSTAAT VERSORGING IN AKSIE: BOTHAVILLE,CHARITIES,FREE STATE,208969
57313,VRYSTAAT-VERSORGING IN AKSIE HUIS KOSMOS-KESTELL,CHARITIES,FREE STATE,226500
51558,VRYSTAAT-VERSORGING IN AKSIE: TROMPSBURG,CHARITIES,FREE STATE,56800
52878,ZENZELE YWCA PRE-SCHOOL,CHARITIES,FREE STATE,715008
50075,ABRAHAM KRIEL MARIA KLOPPERS KINDERHUIS,CHARITIES,GAUTENG,3790687
51025,ACFS COMMUNITY EDUCATION & FEEDING SCHEME,CHARITIES,GAUTENG,997087
52976,ACRES OF LOVE,CHARITIES,GAUTENG,463500
49562,ALBERTON METHODIST CARE AND RELIEF ENTERPRISE,CHARITIES,GAUTENG,700000
55310,ALBERTON OLD AGE HOME,CHARITIES,GAUTENG,249007
57501,ALETHEIA INTERNATIONAL MINISTRIES,CHARITIES,GAUTENG,272500
58128,ALEX SAN KOPANO TRUST,CHARITIES,GAUTENG,167907
51251,ALMA SKOOL,CHARITIES,GAUTENG,296360
55304,ALMAC OLD AGE ORGANISATION,CHARITIES,GAUTENG,400000
51269,ALZHEIMERS SOUTH AFRICA,CHARITIES,GAUTENG,2662600
56670,AMADEA SAFE HOUSE,CHARITIES,GAUTENG,270250
51386,ANN HARDING CHESHIRE HOME,CHARITIES,GAUTENG,448849
51396,AREBAOKENG CHILD DAY CARE CENTRE,CHARITIES,GAUTENG,125000
49692,AREBAOKENG HOSPICE,CHARITIES,GAUTENG,1511000
57585,ARE-ITIRELENG COMMUNITY PRE SCHOOL AND CRECHE,CHARITIES,GAUTENG,244185
57962,ARISE AND SHINE DAY-CARE CENTRE,CHARITIES,GAUTENG,80000
57650,ASIBAVIKELE SUPPORT GROUP,CHARITIES,GAUTENG,300000
50018,ASIHLAKANIPHE DAY CARE CENTRE,CHARITIES,GAUTENG,115755
55247,ASSOCIATION FOR AUTISM,CHARITIES,GAUTENG,391600
57975,ASSOCIATION FOR PHYSICALLY DISABLED-GREATER JOHANNESBURG,CHARITIES,GAUTENG,604200
51238,ASSOCIATION OF INDEPENDENT MINISTERS AND CHURCHES IN AFRICA,CHARITIES,GAUTENG,85288
44244,ATLEGA O TSWELEPELE CRECHE,CHARITIES,GAUTENG,97085
51327,AVALON ASSOCIATION,CHARITIES,GAUTENG,204307
52165,AVRIL ELIZABETH HOME FOR THE MENTALLY HANDICAPPED,CHARITIES,GAUTENG,927495
59338,BABY THERAPY CENTRE,CHARITIES,GAUTENG,381250
44791,BACHANA MOKWENA PRIMARY SCHOOL,CHARITIES,GAUTENG,258500
52635,BAITIRETSE DAY CARE,CHARITIES,GAUTENG,125415
52532,BAKWENA BA MOGOPA HOME BASED CARE,CHARITIES,GAUTENG,221800
55507,BATLOUNG PRIMARY SCHOOL,CHARITIES,GAUTENG,425955
56630,BEREA HILLBROW HOME OF HOPE,CHARITIES,GAUTENG,335500
52595,BOARD OF GOVERNORS OF ST ANTHONY'S EDUCATION CENTRE,CHARITIES,GAUTENG,1600000
57897,BODIES IN UNITY,CHARITIES,GAUTENG,83150
55285,BOIKETLO EARLY LEARNING CENTRE,CHARITIES,GAUTENG,16469
49990,BOITUMELO DAY CARE CENTRE,CHARITIES,GAUTENG,67666
43043,BOPHELO DAY CARE CENTRE,CHARITIES,GAUTENG,94707
55524,BOPHELO/IMPILO COMMUNITY ASSOCIATION,CHARITIES,GAUTENG,382000
44664,BOPHELONG (LIFE) COMMUNITY HOSPICE,CHARITIES,GAUTENG,377300
58107,BOPHELONG (LIFE) COMMUNITY HOSPICE,CHARITIES,GAUTENG,378200
52517,BOPHELONG-EMPILWENI-NEW LIFE COMM PROJECT,CHARITIES,GAUTENG,222000
57252,BOTSHABELO (ABANDONED BABIES SHELTER),CHARITIES,GAUTENG,555000
58669,BREAK-THROUGH CENTRE,CHARITIES,GAUTENG,286050
60085,BUHLE BEMFUNDO DAY CARE,CHARITIES,GAUTENG,175500
58851,CANCER ASSOCIATION OF SOUTH AFRICA,CHARITIES,GAUTENG,14272635
50266,CAREL DU TOIT TRUST-PRETORIA,CHARITIES,GAUTENG,822646
50161,CARROLL SHAW MEMORIAL CENTRE,CHARITIES,GAUTENG,232750
53904,CARRYOU MINISTRY,CHARITIES,GAUTENG,1043512
54217,CASA DO SOL ASSOCIATION,CHARITIES,GAUTENG,182738
52548,CATHOLIC HEALTH CARE ASSOCIATION,CHARITIES,GAUTENG,1078000
50948,CATHOLIC INSTITUTE OF EDUCATION,CHARITIES,GAUTENG,674000
57865,CATHOLIC WOMENS LEAGUE ADOPTION SOCIETY,CHARITIES,GAUTENG,369000
50620,CBDP MANAGEMENT EDUCATION,CHARITIES,GAUTENG,532789
50764,CEASEFIRE CAMPAIGN,CHARITIES,GAUTENG,198700
57699,CHILD AND FAMILY WELFARE SOCIETY OF THE GREATER BOKSBURG,CHARITIES,GAUTENG,1112494
57469,CHILD WELFARE SA-EDENVALE,CHARITIES,GAUTENG,178500
50996,CHILD WELFARE SOUTH AFRICA,CHARITIES,GAUTENG,1201800
52492,CHILD WELFARE SOUTH AFRICA: GELUKSDAL/TSAKANE,CHARITIES,GAUTENG,300000
58960,CHILD WELFARE SOUTH AFRICA: NIGEL,CHARITIES,GAUTENG,899176
51626,CHILD WELFARE TSHWANE,CHARITIES,GAUTENG,4090473
58380,CHILDLINK ALBERTON  (CFW ALBERTON),CHARITIES,GAUTENG,798691
50084,CHILDREN'S DISABILITY CENTRE,CHARITIES,GAUTENG,670000
51010,CHOC CHILDHOOD CANCER FOUNDATION SOUTH AFRICA,CHARITIES,GAUTENG,3761128
51262,CHRISTELIK - MAATSKAPLIKE RAAD MOOT,CHARITIES,GAUTENG,205786
54387,CHRISTELIK- MAATSKAPLIKE RAAD VAN LYTTELTON,CHARITIES,GAUTENG,133225
52111,CHRISTELIKE - C808MAATSKAPLIKE RAAD BRAKPAN,CHARITIES,GAUTENG,241886
52224,CHRISTELIKE AFHANKLIKHEIDS-DIENS(CAD),CHARITIES,GAUTENG,184700
57972,CHRISTELIK-MAATSKAPLIKE RAAD BENONI,CHARITIES,GAUTENG,268000
50760,CHRISTELIK-MAATSKAPLIKE RAAD DASPOORT,CHARITIES,GAUTENG,294850
50763,CHRISTELIK-MAATSKAPLIKE RAAD-VALHALLA,CHARITIES,GAUTENG,132766
56702,CHRISTIAN PRE & CRECHE,CHARITIES,GAUTENG,100000
53652,CHRISTIAN SOCIAL COUNCIL NORTH (PTA CENTRAL),CHARITIES,GAUTENG,377207
51253,CHRISTIAN SOCIAL COUNCIL PRETORIA NORTH,CHARITIES,GAUTENG,215287
59722,CHRISTIAN SOCIAL COUNCIL ROODEPLAAT,CHARITIES,GAUTENG,335907
58342,CMR GAUTENG-EAST,CHARITIES,GAUTENG,272524
56584,CMR GERMISTON,CHARITIES,GAUTENG,583500
50701,CMR PRETORIA-WES GEMEENSKAPS EN TRAUMASENTRUM,CHARITIES,GAUTENG,380643
58427,CMR-JOHANNESBURG,CHARITIES,GAUTENG,628362
52229,CMR-KEMPTON PARK/TEMBISA,CHARITIES,GAUTENG,389500
59725,COME TOGETHER ASSOCIATION,CHARITIES,GAUTENG,350000
43896,COMMUNITY AIDS RESPONSE (CARE),CHARITIES,GAUTENG,160000
58123,COMMUNITY AIDS RESPONSE-CARE,CHARITIES,GAUTENG,535400
58263,COMMUNITY REGENERATION AND DEVELOPMENT CENTRE,CHARITIES,GAUTENG,700000
55799,CONNIE MULDER CENTRE,CHARITIES,GAUTENG,618900
51243,COPES-SA,CHARITIES,GAUTENG,228381
51243,COPES-SA,CHARITIES,GAUTENG,228381
54276,"COUNTRY-WIDE UNCEDO LWABANTU PROJECT HEALTH SERVICE
PROVIDER",CHARITIES,GAUTENG,220000
50431,CRESSET HOUSE,CHARITIES,GAUTENG,364493
53955,DAISY'S DAY CARE & PRE-SCHOOL,CHARITIES,GAUTENG,201000
51324,DEANS SHELTER / DEANSGATE,CHARITIES,GAUTENG,532604
57824,DELTA CHRISTIAN CENTRE,CHARITIES,GAUTENG,269150
54400,DEUTSCHES ALTERSHEIM PRETORIA,CHARITIES,GAUTENG,292800
49701,DIE ONDERSTEUNINGSRAAD,CHARITIES,GAUTENG,624500
51033,DIKELETSONG CITIZENS' ADVICE BUREAU,CHARITIES,GAUTENG,258000
56799,DON BOSCO EDUCATIONAL PROJECTS,CHARITIES,GAUTENG,195250
50185,DOWN SYNDROME ASSOCIATION (GAUTENG),CHARITIES,GAUTENG,314950
52886,EBENEZER HOUSE,CHARITIES,GAUTENG,154543
50024,EDUTAK,CHARITIES,GAUTENG,399000
50786,EERSTERUST WELFARE ORGANISATION FOR THE AGED,CHARITIES,GAUTENG,431000
57757,EKKLESIA PARK TUISTE VIR BEJAARDES,CHARITIES,GAUTENG,79380
51953,EKUKHUSELENI/TSHIRELETSO,CHARITIES,GAUTENG,803880
56606,EKUPHILENI EARLY LEARNING CENTRE,CHARITIES,GAUTENG,103500
51473,ELDORADO PARK FAMILY CRISIS CENTRE,CHARITIES,GAUTENG,692109
54545,ELEOS,CHARITIES,GAUTENG,125000
50433,EMANDLENI CRECHE,CHARITIES,GAUTENG,286837
54489,EMMANUEL PRE-SCHOOL,CHARITIES,GAUTENG,337188
49571,EMMAUS COMMUNITY CENTRE,CHARITIES,GAUTENG,742500
52414,EMPILWENI HIV & AIDS PROJECTS,CHARITIES,GAUTENG,218677
58507,EMPLOYABILITY VUL'INDLELA,CHARITIES,GAUTENG,133500
42860,EMTHONJENI-FOUNTAIN OF LIFE HIV/AIDS PROJECT,CHARITIES,GAUTENG,618419
58986,"EPILEPSY SOUTH AFRICA, GAUTENG BRANCH",CHARITIES,GAUTENG,973176
55168,ERNEST BUTI CUM PRE-PRIMARY CRECHE,CHARITIES,GAUTENG,400743
42552,FADIMEHANG MENTAL CARE CENTRE,CHARITIES,GAUTENG,222000
57345,FAMILIES SOUTH AFRICA WEST RAND,CHARITIES,GAUTENG,581000
52455,FAMSA PRETORIA,CHARITIES,GAUTENG,983800
50819,"FLOWER FOUNDATION, PRETORIA HOMES FOR THE AGED",CHARITIES,GAUTENG,450000
50497,FOREST FARM CENTRE,CHARITIES,GAUTENG,968500
59577,GA-RANKUWA YOUNG ADULTS AGAINST HIV/AIDS,CHARITIES,GAUTENG,862000
57459,GARDEN OF CHILDREN DAY CARE & FEEDING SCHEME,CHARITIES,GAUTENG,115225
50668,GAUTENG KIDNEY ASSOCIATION,CHARITIES,GAUTENG,630330
52926,GAUTENG PROVINCIAL ASSOCIATION FOR PERSONS WITH DISABILITIES,CHARITIES,GAUTENG,825940
52346,GELUKSDAL EDUCARE CENTRE,CHARITIES,GAUTENG,193500
57354,GIRLS AND BOYS TOWN SOUTH AFRICA,CHARITIES,GAUTENG,1317683
57000,GLADMAG HIV/AIDS AND HOSPICE,CHARITIES,GAUTENG,234500
59025,GO TUMILE DAY CARE CENTRE,CHARITIES,GAUTENG,200000
50493,GOODLIFE,CHARITIES,GAUTENG,82000
50493,GOODLIFE,CHARITIES,GAUTENG,82000
43089,GREENVILLAGE DAY- CARE CENTRE,CHARITIES,GAUTENG,75000
53808,GROW BACHA PROJECT,CHARITIES,GAUTENG,218750
59613,GUGULETHU PARENTS FOR ORPHANS,CHARITIES,GAUTENG,791170
53413,HAMLET FOUNDATION,CHARITIES,GAUTENG,962335
57626,HANDS OF HOPE,CHARITIES,GAUTENG,250000
45698,HAPPY DAY CARE CENTRE,CHARITIES,GAUTENG,200740
52777,HAPPY DAY MOTHER CARE CENTRE,CHARITIES,GAUTENG,87250
57216,HEADWAY GAUTENG( THE BRAIN INJURY ASSOCIATION),CHARITIES,GAUTENG,400000
49573,HELPING HAND HOME BASED CARE,CHARITIES,GAUTENG,165338
49573,HELPING HAND HOME BASED CARE,CHARITIES,GAUTENG,165338
55533,HIV/AIDS LINK EDUCATIONAL & DEVELOPMENT ORGANISATION,CHARITIES,GAUTENG,188725
56894,HLALANATHI DAY CARE & PRE-SCHOOL,CHARITIES,GAUTENG,221700
51602,HOLY CROSS HOME,CHARITIES,GAUTENG,897900
55210,HOPE FOR LIFE,CHARITIES,GAUTENG,808050
52210,HOPE SCHOOL,CHARITIES,GAUTENG,203165
49843,HOSPICE ASSOCIATION OF THE WITWATERSRAND,CHARITIES,GAUTENG,1573681
51637,HOSPICE RICHTERSVELD,CHARITIES,GAUTENG,87000
58503,HUIS DAVIDTSZ,CHARITIES,GAUTENG,200000
54503,HUMAN RIGHTS INSTITUTE OF SOUTH AFRICA,CHARITIES,GAUTENG,358500
50209,IKAGENG OLD AGE RELIEF CENTRE,CHARITIES,GAUTENG,1195754
59326,IKAGENG WOMEN'S CLUB,CHARITIES,GAUTENG,426411
59284,IKUSASA LETHU YOUTH PROJECT,CHARITIES,GAUTENG,600000
43042,IMAMELLE DAY CARE CENTRE,CHARITIES,GAUTENG,138050
51430,IMISEBEYELANGA SERVICES,CHARITIES,GAUTENG,1040822
50785,INDEPENDENT LIVING CENTRE,CHARITIES,GAUTENG,176935
50785,INDEPENDENT LIVING CENTRE,CHARITIES,GAUTENG,176935
59133,INTUTHUKO EDUCARE CENTRE,CHARITIES,GAUTENG,133950
51323,IPHATELENG SOCIAL DEVELOPMENT SERVICE,CHARITIES,GAUTENG,994170
55501,ITHEMBA LAKUSASA PRE SCHOOL & DAY CARE CENTRE,CHARITIES,GAUTENG,150261
41154,ITHUSENG CENTRE FOR PERSONS WITH DISABILITIES,CHARITIES,GAUTENG,369889
57934,ITHUTENG PRE-SCHOOL,CHARITIES,GAUTENG,63779
56608,ITIRELENG EDUCARE,CHARITIES,GAUTENG,138462
54743,"ITLOKOMELENG  ASSOCIATION FOR THE CARE OF THE AGED AND
DISABLED IN ALEXANDRA",CHARITIES,GAUTENG,1028958
58025,ITSOSENG WOMEN'S PROJECT,CHARITIES,GAUTENG,150000
50566,ITUMELENG SECHABA HOME BASED CARE,CHARITIES,GAUTENG,241435
50566,ITUMELENG SECHABA HOME BASED CARE,CHARITIES,GAUTENG,241434
51657,J S MMINELE DIACONATE CENTRE,CHARITIES,GAUTENG,1443331
50997,JABULANI KHAKIBOS KIDS,CHARITIES,GAUTENG,875348
58134,JACK AND JILL CRECHE AND PRE-SCHOOL,CHARITIES,GAUTENG,102751
54582,JEREMIAH 29 COMMUNITY CARE,CHARITIES,GAUTENG,273566
52092,JHB PARENT & CHILD COUNSELLING CENTRES,CHARITIES,GAUTENG,497000
50743,JOHANNESBURG CHILDREN'S HOME,CHARITIES,GAUTENG,613000
54345,JUNIOR TECH NURSERY SCHOOL,CHARITIES,GAUTENG,122247
58017,JUST ONE CHILD,CHARITIES,GAUTENG,148500
57150,KAGISANO EDUCARE,CHARITIES,GAUTENG,216400
52259,KAMONTOTHA CRECHE,CHARITIES,GAUTENG,9332
58258,KATLEGO KA TSHEPO,CHARITIES,GAUTENG,341650
52276,KATLEHONG CRECHE,CHARITIES,GAUTENG,142691
58457,KATLEHONG EARLY LEARNING RESOURCE UNIT TRUST,CHARITIES,GAUTENG,567000
56889,KEMPTON PARK CHILD AND FAMILY WELFARE SOCIETY,CHARITIES,GAUTENG,541442
50719,KGOSI NEIGHBOURHOOD FOUNDATION,CHARITIES,GAUTENG,697018
51310,KGOTSO YA ME  PRE-SCHOOL  AND DAY CARE CENTRE,CHARITIES,GAUTENG,195190
41335,KHANYA COLLEGE & FAMILY CARE CENTRE,CHARITIES,GAUTENG,162000
49988,KHULULEKANI DAY CARE CENTRE,CHARITIES,GAUTENG,66100
50255,KOPANO KE MATLA,CHARITIES,GAUTENG,550800
58973,KRUGERSDORP CHILD WELFARE,CHARITIES,GAUTENG,303000
52233,KUNGWINI EARLY LEARNING CENTRE,CHARITIES,GAUTENG,881022
54309,KUTLWANONG CRECHE,CHARITIES,GAUTENG,149000
54309,KUTLWANONG CRECHE,CHARITIES,GAUTENG,149000
52482,LADIES OF HOPE,CHARITIES,GAUTENG,750000
50458,LAND ACCESS MOVEMENT OF SOUTH AFRICA,CHARITIES,GAUTENG,911529
54404,LAUDIUM MENTAL HEALTH SOCIETY,CHARITIES,GAUTENG,313000
57381,LEAMOGETSWE SAFETY HOME,CHARITIES,GAUTENG,860500
56765,LEBOHANG CENTRE FOR THE MENTALLY RETARDED,CHARITIES,GAUTENG,784900
57861,LEBONE AIDS CARE PROJECT,CHARITIES,GAUTENG,400000
52489,LEFIKA HOME BASED CARE,CHARITIES,GAUTENG,306000
58210,LEGAL RESOURCES CENTRE,CHARITIES,GAUTENG,2044653
53869,LEHLABILE EARLY LEARNING CENTRE,CHARITIES,GAUTENG,165000
57352,LERATO CARE & SUPPORT GROUP,CHARITIES,GAUTENG,270025
52843,LERATO LA MME DAY CARE CENTRE,CHARITIES,GAUTENG,184537
52843,LERATO LA MME DAY CARE CENTRE,CHARITIES,GAUTENG,184536
51395,LERATO PRIVATE CHILDREN'S HOME,CHARITIES,GAUTENG,176399
53920,LESEDING EARLY LEARNING CENTRE,CHARITIES,GAUTENG,222140
59626,LET US GROW ORGANISATION,CHARITIES,GAUTENG,826000
57640,LETHABO DAY CARE CENTRE,CHARITIES,GAUTENG,72799
55253,LETHABO LE KHUTSO,CHARITIES,GAUTENG,406839
56872,LETHABONG CRECHE,CHARITIES,GAUTENG,100925
55233,LETHABONG DAY CARE CENTRE,CHARITIES,GAUTENG,185739
49434,LETHUKUKHANYA HEALTH INSITUTE/PROJECT,CHARITIES,GAUTENG,753000
52715,LIFE LINE EKURHULENI (EAST RAND),CHARITIES,GAUTENG,1294780
57579,LIFE LINE JOHANNESBURG,CHARITIES,GAUTENG,992831
58284,LIFE LINE VAAL TRIANGLE,CHARITIES,GAUTENG,801568
57030,LIFE LINE WEST RAND,CHARITIES,GAUTENG,602159
56596,LIFELINE PRETORIA,CHARITIES,GAUTENG,501000
55847,LINTLE COMMUNITY AWAKENING,CHARITIES,GAUTENG,219250
54361,"LITTLE EDEN SOCIETY FOR THE CARE OF PERSONS WITH MENTAL
HANDICAP",CHARITIES,GAUTENG,694011
56876,LITTLE FLOWER PRE-SCHOOL,CHARITIES,GAUTENG,25269
56876,LITTLE FLOWER PRE-SCHOOL,CHARITIES,GAUTENG,20000
51920,LUVUYO  DAY CARE CENTRE,CHARITIES,GAUTENG,113200
58968,MABO HIV/AIDS GENETICS HOME,CHARITIES,GAUTENG,426672
42433,MABU-A-TLOU PRIMARY SCHOOL,CHARITIES,GAUTENG,300000
57330,MAKHANANI DAY CARE CENTRE,CHARITIES,GAUTENG,29847
57330,MAKHANANI DAY CARE CENTRE,CHARITIES,GAUTENG,29847
52853,MAKING IT HAPPEN - YENZANI,CHARITIES,GAUTENG,74624
50896,MAMELODI ASSOCIATION FOR PEOPLE WITH DISABILITIES,CHARITIES,GAUTENG,587150
55779,MAMSHOBA DAY CARE CENTRE,CHARITIES,GAUTENG,139898
55779,MAMSHOBA DAY CARE CENTRE,CHARITIES,GAUTENG,139899
49806,MASA HBC/OVC,CHARITIES,GAUTENG,271619
57805,MATSHEDISO FOR LEARNERS WITH SPECIAL EDUCATIONAL NEEDS,CHARITIES,GAUTENG,323599
40842,MEN FOR DEVELOPMENT IN SOUTH AFRICA,CHARITIES,GAUTENG,220750
55751,MERCY CLINIC,CHARITIES,GAUTENG,816500
57813,MERCY SHELTER FOR THE HOMELESS,CHARITIES,GAUTENG,830000
52452,METHODIST HOMES FOR THE AGED,CHARITIES,GAUTENG,156288
56769,METHODIST WATTVILLE OUTREACH,CHARITIES,GAUTENG,216300
54363,METT CENTRE+C865,CHARITIES,GAUTENG,251111
58357,MIDDESTAD EVANGELISASIE EN SENDING OPHEFFINGSORGANISASIE,CHARITIES,GAUTENG,765063
58100,MILTON PRIMARY SCHOOL,CHARITIES,GAUTENG,37141
57448,MMALEBAI DAY CARE CENTRE,CHARITIES,GAUTENG,109291
52631,MMANKONE DAY CARE CENTRE,CHARITIES,GAUTENG,331083
58705,MO-AFRIKA ITLHOKOMELE,CHARITIES,GAUTENG,110000
55242,MOGAU DAY CARE CENTRE,CHARITIES,GAUTENG,215247
55242,MOGAU DAY CARE CENTRE,CHARITIES,GAUTENG,215247
56988,MOHLAKENG OLD AGE HOME,CHARITIES,GAUTENG,473700
59653,MORETELE SUNRISE HOSPICE LOTTERY FUND,CHARITIES,GAUTENG,1594180
55947,MOTHEO  DAY CARE & PRE-SCHOOL,CHARITIES,GAUTENG,337000
52427,MOTSWEDING HOME BASED CARE,CHARITIES,GAUTENG,120309
41581,MPHATLALATSANE EDUCATIONAL PROJECTS,CHARITIES,GAUTENG,368308
51189,MPHETHUTO EARLY LEARNING CENTRE,CHARITIES,GAUTENG,149161
45769,MVELAPHANDA DAY CARE AND PRE-SCHOOL,CHARITIES,GAUTENG,567248
58950,MVELAPHANDA DAY CARE AND PRE-SCHOOL,CHARITIES,GAUTENG,458900
57850,NANI HOME BASED CARE AND TRAINING,CHARITIES,GAUTENG,122600
58979,NATIONAL ASSOC OF PEOPLE LIVING WITH HIV/AIDS(NAPWA),CHARITIES,GAUTENG,1750000
50237,NATIONAL CHILDREN AND VIOLENCE TRUST,CHARITIES,GAUTENG,208600
50854,NAZARETH HOUSE,CHARITIES,GAUTENG,678299
56871,NCEDANANI DAY CARE CENTRE,CHARITIES,GAUTENG,105756
54313,NEW LIFE CENTRE,CHARITIES,GAUTENG,215500
54313,NEW LIFE CENTRE,CHARITIES,GAUTENG,215500
57969,NG MINISTRY OF CARING - BARMHARTIGHEIDSDIENS,CHARITIES,GAUTENG,204990
55810,NG WELFARE CARLETONVILLE,CHARITIES,GAUTENG,150000
55839,NG WELFARE KRUGERSDORP / NG WELSYN KRUGERSDORP,CHARITIES,GAUTENG,110000
55729,NG WELFARE RANDFONTEIN,CHARITIES,GAUTENG,379690
43072,NG WELFARE ROODEPOORT / NG WELSYN ROODEPOORT,CHARITIES,GAUTENG,277277
55862,NG WELFARE ROODEPOORT / NG WELSYN ROODEPOORT,CHARITIES,GAUTENG,78787
55711,NG WELFARE VANDERBIJLPARK / NG WELSYN VANSERBIJLPARK,CHARITIES,GAUTENG,354122
43069,NG WELFARE VEREENIGING,CHARITIES,GAUTENG,341849
58384,NG WELFARE VEREENIGING/ NG WELSYN VEREENIGING,CHARITIES,GAUTENG,107000
58318,NG WELSYN MEYERTON/NG WEALFARE MEYERTON,CHARITIES,GAUTENG,159147
58054,NHLUVUKO ENLIGHTENMENT PRODUCTIONS,CHARITIES,GAUTENG,83000
59022,NKATEKO DAY CARE,CHARITIES,GAUTENG,105000
56627,NKHENSANI CRECHE,CHARITIES,GAUTENG,126509
43897,NOMA'S CARE CENTRE FOR THE AGED,CHARITIES,GAUTENG,576314
58567,NOMCEBO COMMUNITY DEVELOPMENT PROJECT,CHARITIES,GAUTENG,456815
42553,NOMCEBO COMMUNITY DEVELOPMENT PROJECTS,CHARITIES,GAUTENG,124000
50626,NORTH GAUTENG MENTAL HEALTH SOCIETY,CHARITIES,GAUTENG,1878495
53862,NORTHERN PRETORIA DEVELOPMENT SCHEME,CHARITIES,GAUTENG,60000
54329,NOVALIS HOUSE(ASSOCIATION NOT FOR GAIN),CHARITIES,GAUTENG,250000
57361,O LERATO HEALTH CARE,CHARITIES,GAUTENG,204200
57988,OASIS HAVEN OF LOVE FOUNDATION,CHARITIES,GAUTENG,281674
55801,"ODIRILE CENTRE FOR PERSONS WITH MENTAL AND PHYSICAL
DISABILITIES",CHARITIES,GAUTENG,268850
49870,ONS HERBERG TEHUIS VIR BEJAARDES,CHARITIES,GAUTENG,560000
50972,ONS TUIS (RIVIERA) TAK VAN ONS TUIS GROEP,CHARITIES,GAUTENG,200000
51970,OPERATION ANTI-FREEZE-INNER CITY UPLIFTMENT PROJECT,CHARITIES,GAUTENG,250600
58344,OTHANDWENI DAY CARE CENTRE,CHARITIES,GAUTENG,60500
51308,PALMRIDGE SENIOR CITIZENS CLUB,CHARITIES,GAUTENG,400000
51308,PALMRIDGE SENIOR CITIZENS CLUB,CHARITIES,GAUTENG,115478
52150,PARK CARE CENTRE,CHARITIES,GAUTENG,278500
57892,PARKINSON ASSOCIATION SOUTH AFRICA,CHARITIES,GAUTENG,936500
53960,PATHWAYS ROODEPOORT,CHARITIES,GAUTENG,537800
57183,PEACE MAKERS HOME BASED CARE,CHARITIES,GAUTENG,637086
53971,PEOPLE OPPOSING WOMEN ABUSE,CHARITIES,GAUTENG,1823669
51425,PERSEVERANCE RURAL DEVELOPMENT,CHARITIES,GAUTENG,816483
51321,PERSEVERE UNTIL SOMETHING HAPPENS,CHARITIES,GAUTENG,786196
50630,PHUMULA OLD AGE HOME,CHARITIES,GAUTENG,196048
49823,PHUTHADICHABA DAY CARE CENTRE,CHARITIES,GAUTENG,85145
59233,PLANACT,CHARITIES,GAUTENG,313820
51398,POLOKONG CHILDREN'S VILLAGE,CHARITIES,GAUTENG,798330
53540,POPUP (DOXA DEO),CHARITIES,GAUTENG,197794
55961,POWER OF WOMEN AND CHILDREN,CHARITIES,GAUTENG,279168
55961,POWER OF WOMEN AND CHILDREN,CHARITIES,GAUTENG,400000
50704,PRAISE AND WORSHIP BIBLE CRECHE,CHARITIES,GAUTENG,57500
58904,PRETORIA & DISTRICT CHILD AND FAMILY WELFARE SOCIETY,CHARITIES,GAUTENG,456122
51195,PRETORIA WORKSHOP FOR THE BLIND,CHARITIES,GAUTENG,203000
51316,PROGRESSIVE AIDS PROJECT,CHARITIES,GAUTENG,321350
51316,PROGRESSIVE AIDS PROJECT,CHARITIES,GAUTENG,321350
56999,PROGRESSIVE WOMEN'S MOVEMENT OF SOUTH AFRICA,CHARITIES,GAUTENG,672000
57759,RABASOTHO COMBINED SCHOOL,CHARITIES,GAUTENG,395000
44173,RAFAH COUNSELLING MINISTRIES,CHARITIES,GAUTENG,413475
