Project Number,Name,Province,Sector,Amount
43783,Christelik-Maatskaplike Raad Pretoria-Noord,GAUTENG,CHARITIES,523755
41612,Christelik-Maatskaplike Raad Valhalla,GAUTENG,CHARITIES,202894
50722,Christelik-Maatskaplike Raad Wonderboom,GAUTENG,CHARITIES,347531
43781,Christian Social Council - Soshanguve,GAUTENG,CHARITIES,883067
43257,Cluny Farm Centre,GAUTENG,CHARITIES,1628313
44193,Coalition Of Anglican Children's Homes,GAUTENG,CHARITIES,1308213
44193,Coalition Of Anglican Children's Homes,GAUTENG,CHARITIES,1308212
49703,Coalition Of Anglican Children's Homes,GAUTENG,CHARITIES,1450225
43896,Community Aids Response (Care),GAUTENG,CHARITIES,160000
51305,Coronationville Care Centre And Workshops,GAUTENG,CHARITIES,199014
50651,Cotlands,GAUTENG,CHARITIES,1500000
43399,Cresset House,GAUTENG,CHARITIES,968728
42033,Daisy's Day Care & Pre-School,GAUTENG,CHARITIES,230391
31591,Derdepoort Primary School,GAUTENG,CHARITIES,1192232
44631,Die Ondersteuningsraad,GAUTENG,CHARITIES,4000000
51649,"Die Phyllis Robertson Behuising, Versorging En Rehabilitasie Van
Persone Met Gestremdheid",GAUTENG,CHARITIES,818000
41359,Dienssentrum Effata Vir Dowes,GAUTENG,CHARITIES,250382
49937,Down Syndrome Association Pretoria,GAUTENG,CHARITIES,765620
44088,Down Syndrome South Africa,GAUTENG,CHARITIES,1482000
51313,Down Syndrome South Africa,GAUTENG,CHARITIES,525000
44417,Dwt Nthathe Mercy Centre Skills Training,GAUTENG,CHARITIES,193500
52886,Ebenezer House,GAUTENG,CHARITIES,154543
44347,EC Provincial Council For Persons With Physical Disabilities,GAUTENG,CHARITIES,348000
44598,Edutak,GAUTENG,CHARITIES,1064113
44650,Ekupholeni Mental Health & Trauma Centre,GAUTENG,CHARITIES,482511
43057,Elandsdrift Parents Association And Child Welfare,GAUTENG,CHARITIES,317068
51416,Eligwa Primary School,GAUTENG,CHARITIES,394000
41748,Elim Clinic,GAUTENG,CHARITIES,761279
43073,Emanang Nokeng West Rand,GAUTENG,CHARITIES,315423
50927,Emily Hobhouse: Tak Van Monumenttehuis Van Die NHSV Groep,GAUTENG,CHARITIES,189431
49819,Employment Solutions For People With Disabilities,GAUTENG,CHARITIES,475000
45691,Emthonjeni Awareness Centre,GAUTENG,CHARITIES,554289
42860,Emthonjeni-Fountain Of Life HIV/Aids Project,GAUTENG,CHARITIES,618420
50978,Enkolweni Crèche,GAUTENG,CHARITIES,599520
43938,"Epilepsy South Africa, Gauteng Branch",GAUTENG,CHARITIES,1247107
50945,Epworth Children's Home,GAUTENG,CHARITIES,805000
45651,Ernest Buti Cum Pre-Primary Crèche,GAUTENG,CHARITIES,481363
42552,Fadimehang Mental Care Centre,GAUTENG,CHARITIES,222000
50673,Family Health Services,GAUTENG,CHARITIES,470500
49871,FAMSA Vaal Triangle,GAUTENG,CHARITIES,544559
51283,Fleurenville Aftree - Oord Pretoria,GAUTENG,CHARITIES,147744
51474,Flower Foundation Retirement Homes,GAUTENG,CHARITIES,281499
43932,Forest Town School,GAUTENG,CHARITIES,602000
45784,Gagokalafi,GAUTENG,CHARITIES,1141572
49778,Gauteng Children's Rights Committee,GAUTENG,CHARITIES,974500
41212,Gauteng Provincial Association For Persons With Disabilities,GAUTENG,CHARITIES,869529
43908,Germiston  SPCA,GAUTENG,CHARITIES,681860
52538,Good Hope Day Care Centre,GAUTENG,CHARITIES,283581
44564,Guild  Cottage,GAUTENG,CHARITIES,760000
49932,Guild  Cottage,GAUTENG,CHARITIES,300000
45698,Happy Day Care Centre,GAUTENG,CHARITIES,200740
52777,Happy Day Mother Care Centre,GAUTENG,CHARITIES,87250
51429,Hlumelelisa,GAUTENG,CHARITIES,144000
43284,Hoerskool Vereeniging,GAUTENG,CHARITIES,338508
52465,Home-Start South Africa,GAUTENG,CHARITIES,100000
41420,Hospi Vision,GAUTENG,CHARITIES,162440
41420,Hospi Vision,GAUTENG,CHARITIES,162440
52254,Hospi Vision,GAUTENG,CHARITIES,483779
50874,Hospice East Rand,GAUTENG,CHARITIES,876200
50182,House Otto Self-Help Centre For Quadriplegics,GAUTENG,CHARITIES,266000
42999,"Huis Meyerton Home For The Aged/Huis Meyerton Tehuis Vir
Berjaardes",GAUTENG,CHARITIES,505957
43121,Human Rights Institute Of South Africa,GAUTENG,CHARITIES,890085
43121,Human Rights Institute Of South Africa,GAUTENG,CHARITIES,890086
44069,Ikhaya Lothando Community Centre,GAUTENG,CHARITIES,345500
45733,Imisebeyelanga Services,GAUTENG,CHARITIES,704269
50136,Impumelelo Self-Help Centre,GAUTENG,CHARITIES,200000
44127,Institute For Women's Development (NISAA),GAUTENG,CHARITIES,1389825
45666,Iphateleng Social Development Service,GAUTENG,CHARITIES,508000
44249,Isigodlo Trust,GAUTENG,CHARITIES,1250000
44249,Isigodlo Trust,GAUTENG,CHARITIES,1250000
45774,J.S. Mminele Diaconate Centre,GAUTENG,CHARITIES,736589
42304,Jeremiah 29 Community Care,GAUTENG,CHARITIES,141475
43077,Jeugland Home For The Aged,GAUTENG,CHARITIES,119030
49664,Johannesburg Child Welfare Society,GAUTENG,CHARITIES,1000000
51415,John Vorster Secondary School Of Technology,GAUTENG,CHARITIES,605940
27578,John Wesley Community Centre,GAUTENG,CHARITIES,714880
34593,John Wesley Community Centre,GAUTENG,CHARITIES,218400
52134,John Wesley Community Centre,GAUTENG,CHARITIES,486274
44637,Joseph Gerard Foundation,GAUTENG,CHARITIES,1251410
49655,Joseph Gerard Foundation,GAUTENG,CHARITIES,597447
40816,Julia Lethabong Day Care,GAUTENG,CHARITIES,60610
52276,Katlehong Crèche,GAUTENG,CHARITIES,142691
42037,Katlehong Early Learning Resource Unit Trust,GAUTENG,CHARITIES,1070409
43814,Kgosi Neighbourhood Foundation,GAUTENG,CHARITIES,632702
51310,Kgotso Ya Me  Pre-School  And Day Care Centre,GAUTENG,CHARITIES,195190
41335,Khanya College & Family Care Centre,GAUTENG,CHARITIES,162000
50166,Khanya Family Centre,GAUTENG,CHARITIES,1520000
34590,Khulisa Crime Prevention Initiative,GAUTENG,CHARITIES,1263410
49988,Khululekani Day Care Centre,GAUTENG,CHARITIES,66101
50608,Kids Haven,GAUTENG,CHARITIES,756045
49690,Kliptown Youth Program,GAUTENG,CHARITIES,42004
44106,Kopanong  Day Care Centre,GAUTENG,CHARITIES,600000
43900,Kungwini Welfare Organisation,GAUTENG,CHARITIES,1158170
44161,Leamogetswe Safety Home,GAUTENG,CHARITIES,920000
49599,Lebogang Day Care Centre,GAUTENG,CHARITIES,242840
52489,Lefika Home Based Care,GAUTENG,CHARITIES,306000
51029,Legae La Bana Services For Disabled Children,GAUTENG,CHARITIES,143220
44164,Legal Resources Centre,GAUTENG,CHARITIES,1425000
50105,Lehlabile Educare,GAUTENG,CHARITIES,74100
51395,Lerato Private Children's Home,GAUTENG,CHARITIES,176399
50624,Leratong Day Care And Pre-School,GAUTENG,CHARITIES,100369
50623,Leratong Hospice,GAUTENG,CHARITIES,1015148
42412,Life Line Southern Africa,GAUTENG,CHARITIES,145960
51559,Life Line Southern Africa,GAUTENG,CHARITIES,684150
43810,Life Line Vaal Triangle,GAUTENG,CHARITIES,1181800
43845,Lifeline West Rand,GAUTENG,CHARITIES,495130
44602,Lithanza Community Development And Training,GAUTENG,CHARITIES,531000
40666,Living-In-Hope,GAUTENG,CHARITIES,784909
50932,Louis Trichardt: Tak Van Monumenttehuis Van Die NNSV Groep,GAUTENG,CHARITIES,261394
34621,Lungelo Women's Organisation,GAUTENG,CHARITIES,259092
51920,Luvuyo  Day Care Centre,GAUTENG,CHARITIES,113200
42433,Mabu-A-Tlou Primary School,GAUTENG,CHARITIES,300000
45453,Mali Martin / Polokegong Centre,GAUTENG,CHARITIES,250000
41188,Mampepu Early Learning Centre,GAUTENG,CHARITIES,90418
41602,Marang House,GAUTENG,CHARITIES,545000
50116,Margaret Maltman Crèche,GAUTENG,CHARITIES,470000
49806,Masa HBC/OVC,GAUTENG,CHARITIES,271619
43608,Masibambane Community Care And Support,GAUTENG,CHARITIES,371943
45626,Masibambane Community Care And Support,GAUTENG,CHARITIES,839800
30681,Melodi Primary School,GAUTENG,CHARITIES,817945
44129,Memorable Order Of Tin Hats Women’s Auxiliary National HQ,GAUTENG,CHARITIES,1113000
40842,Men For Development In South Africa,GAUTENG,CHARITIES,220750
52312,Mercy Haven - Home For Victims Of Family Violence And Abuse,GAUTENG,CHARITIES,202920
49814,Mercy House Pretoria,GAUTENG,CHARITIES,460000
43907,Midrand Association Of Home Based Care,GAUTENG,CHARITIES,437300
52631,Mmankone Day Care Centre,GAUTENG,CHARITIES,331083
50975,Monument Dienssentrum,GAUTENG,CHARITIES,133527
52427,Motsweding Home Based Care,GAUTENG,CHARITIES,120310
51189,Mphethuto Early Learning Centre,GAUTENG,CHARITIES,149161
44548,Munsieville Care For The Aged,GAUTENG,CHARITIES,948200
49583,Munsieville Care For The Aged,GAUTENG,CHARITIES,874000
43894,Muscular Dystrophy Foundation Of South Africa,GAUTENG,CHARITIES,387000
45769,Mvelaphanda Day Care And Pre-School,GAUTENG,CHARITIES,567248
36170,National Association For Persons With Cerebral Palsy,GAUTENG,CHARITIES,297500
45739,"National Council Of Societies For The Prevention Of Cruelty To
Animals",GAUTENG,CHARITIES,461889
50488,"National Council Of Societies For The Prevention Of Cruelty To
Animals",GAUTENG,CHARITIES,377500
41582,National Kidney Foundation Of South Africa (NKFSA),GAUTENG,CHARITIES,79650
52290,National Organisation Of The Blind In South Africa,GAUTENG,CHARITIES,525200
43113,National Youth Development Outreach,GAUTENG,CHARITIES,945207
44089,Nazareth House,GAUTENG,CHARITIES,4068615
27547,Nellies Own Day Care Centre,GAUTENG,CHARITIES,149275
44641,New Image Rover Crew,GAUTENG,CHARITIES,1252339
34735,New Jerusalem Children's Home,GAUTENG,CHARITIES,420720
44092,New Jerusalem Children's Home,GAUTENG,CHARITIES,284000
43082,NG Welfare Carletonville / NG Welsyn Carletonville,GAUTENG,CHARITIES,395071
43075,NG Welfare Randfontein / NG Welsyn Randfontein,GAUTENG,CHARITIES,286476
43085,NG Welfare Vanderbijlpark / NG Welsyn Vanderbijlpark,GAUTENG,CHARITIES,492631
43083,NG Welsyn Krugersdorp / NG Welfare Krugersdorp,GAUTENG,CHARITIES,343000
43062,NG Welsyn Meyerton/NG Welfare Meyerton,GAUTENG,CHARITIES,200000
49432,Nigel Caring Community,GAUTENG,CHARITIES,114569
49432,Nigel Caring Community,GAUTENG,CHARITIES,114569
44798,Nokuthula Centre,GAUTENG,CHARITIES,131175
43897,Noma's Care Centre For The Aged,GAUTENG,CHARITIES,576315
42553,Nomcebo Community Development Projects,GAUTENG,CHARITIES,124000
43722,Nomini Primary School,GAUTENG,CHARITIES,99820
49751,Nompilo Home Based Care,GAUTENG,CHARITIES,399000
30540,Nong Primary School,GAUTENG,CHARITIES,1955000
45388,Novalis House(Association Not For Gain),GAUTENG,CHARITIES,855562
49781,Nqobile Women's Development Project,GAUTENG,CHARITIES,355821
41603,Nuwe Hoop-Skool,GAUTENG,CHARITIES,535000
43485,Onthatile Care Centre,GAUTENG,CHARITIES,1216427
42282,Operation Anti-Freeze-Inner City Upliftment Project,GAUTENG,CHARITIES,446365
50383,Operation Hunger,GAUTENG,CHARITIES,700000
44651,Orange Farm Day & Night Care Centre,GAUTENG,CHARITIES,431998
44651,Orange Farm Day & Night Care Centre,GAUTENG,CHARITIES,431998
44785,P S Fourie Primary School,GAUTENG,CHARITIES,172750
44785,P S Fourie Primary School,GAUTENG,CHARITIES,172750
49568,Paballo Day Care Centre,GAUTENG,CHARITIES,270500
43879,Park Care Centre,GAUTENG,CHARITIES,1408255
43041,Peggy' S Day Care Centre,GAUTENG,CHARITIES,126000
50135,People For Awareness On Disability Issues,GAUTENG,CHARITIES,340000
44162,People Opposing Women Abuse,GAUTENG,CHARITIES,4350702
50630,Phumula Old Age Home,GAUTENG,CHARITIES,196048
49823,Phuthadichaba Day Care Centre,GAUTENG,CHARITIES,85145
50704,Praise And Worship Bible Crèche,GAUTENG,CHARITIES,57500
44681,Pretoria Sungardens Hospice Association,GAUTENG,CHARITIES,3745000
50193,Pretoria Sungardens Hospice Association,GAUTENG,CHARITIES,1460000
51358,Pretoria Se Vereniging Van Persone Met Skisofrenie (Yana),GAUTENG,CHARITIES,117353
41580,Project Literacy Trust Fund,GAUTENG,CHARITIES,2510000
49984,Quadpara Association Of Gauteng South,GAUTENG,CHARITIES,200000
51479,Queen Alexandra Retirement Village -  Queen Alexandra Home,GAUTENG,CHARITIES,200814
44097,Radineo Primary School,GAUTENG,CHARITIES,349289
44173,Rafah Counselling Ministries,GAUTENG,CHARITIES,413475
49656,Rand Aid Association,GAUTENG,CHARITIES,400000
41548,Ratanang Day Care Centre,GAUTENG,CHARITIES,287189
43983,Ratanda Day Care,GAUTENG,CHARITIES,153200
43983,Ratanda Day Care,GAUTENG,CHARITIES,153200
51747,Reach Out Community Project,GAUTENG,CHARITIES,240000
44196,Reea Epilepsy Care Centre,GAUTENG,CHARITIES,421528
43271,Reigerpark Early Childhood And Women's Development,GAUTENG,CHARITIES,1011882
44250,Residentia Stigting,GAUTENG,CHARITIES,3997449
45783,Restorative Justice Centre,GAUTENG,CHARITIES,1990843
44016,Rethomile Crèche,GAUTENG,CHARITIES,370000
44323,Rhema Christian Service Foundation,GAUTENG,CHARITIES,350000
49845,Roger Stephen Protective Workshop,GAUTENG,CHARITIES,190000
44979,Roodepoort Care Of The Aged,GAUTENG,CHARITIES,974000
44318,Roodepoort Society For The Prevention Of Cruelty To Animals,GAUTENG,CHARITIES,830976
44762,Rorisang Day Care And Pre-School,GAUTENG,CHARITIES,450000
44649,Rus `n Bietjie Tuiste Vir Bejaardes,GAUTENG,CHARITIES,612000
49822,Rusoord Centurion,GAUTENG,CHARITIES,495132
42910,Ry-Ma-In Self Help Centre,GAUTENG,CHARITIES,432500
50688,S.A.V.F Die Anker Tehuis,GAUTENG,CHARITIES,377921
49677,"Sa National Council On Alcoholism And Drug Dependence (Jhb
Society)",GAUTENG,CHARITIES,853226
43945,San Michele Home,GAUTENG,CHARITIES,750000
45477,SANCA - Heidelberg Branch,GAUTENG,CHARITIES,477000
43920,SANCA Eastern Gauteng Alcohol And Drug Centre,GAUTENG,CHARITIES,492600
35693,SANCA National Directorate,GAUTENG,CHARITIES,534656
51705,SANCA Pretoria Society,GAUTENG,CHARITIES,650000
44308,Sandton SPCA,GAUTENG,CHARITIES,588304
53449,SANTA Johannesburg,GAUTENG,CHARITIES,221314
49971,Save The Children,GAUTENG,CHARITIES,905000
43899,SAVF Claremont Gemeenskapsdienste/Community Services,GAUTENG,CHARITIES,999428
50216,SAVF Della Villa Behuising,GAUTENG,CHARITIES,53672
42875,SAVF Deurgangshuis Carletonville,GAUTENG,CHARITIES,469059
42875,SAVF Deurgangshuis Carletonville,GAUTENG,CHARITIES,469059
50703,SAVF Groter Germiston Bejaardesorg Maatskaplike Dienste,GAUTENG,CHARITIES,75000
43407,SAVF Heidelberg,GAUTENG,CHARITIES,531793
43395,SAVF Huis Dien Bothma,GAUTENG,CHARITIES,628821
43885,SAVF Huis Silwersig,GAUTENG,CHARITIES,1608487
49995,SAVF Jasmyn Dagsorg,GAUTENG,CHARITIES,96000
50067,SAVF Johanna Raath Dienssentrum,GAUTENG,CHARITIES,243000
50215,SAVF Kinross Herberg,GAUTENG,CHARITIES,159939
49740,SAVF Kowa Pienaar Tehuis,GAUTENG,CHARITIES,546600
42868,SAVF Lappop Versorgingsoord,GAUTENG,CHARITIES,272008
42872,SAVF Legae/Ikhaya For The Aged,GAUTENG,CHARITIES,382378
50695,SAVF Millennium Sentrum,GAUTENG,CHARITIES,416422
42867,SAVF Oberholzer,GAUTENG,CHARITIES,1003945
43397,SAVF Sannie Broers Dagsorg,GAUTENG,CHARITIES,117483
50477,SAVF Sonkruin Woonstelle,GAUTENG,CHARITIES,100000
52784,SAVF Vereeniging Dagsorg,GAUTENG,CHARITIES,105000
49867,Sechaba Day Care Centre,GAUTENG,CHARITIES,203534
51049,Seniorstuis Dienssentrum,GAUTENG,CHARITIES,213655
42187,Simunye Disable Centre,GAUTENG,CHARITIES,302300
43262,Siphiwe Educational Programme,GAUTENG,CHARITIES,350000
44775,Siyabhabha Trust,GAUTENG,CHARITIES,1000000
42574,Siyafunda Haven And Day Care Centre,GAUTENG,CHARITIES,343150
50517,"Siyazigabisa Children, Youth & Community Organisation",GAUTENG,CHARITIES,77000
51950,Sizanani Home Based Programme,GAUTENG,CHARITIES,282425
50151,"Society For The Care Of Mentally And Physically Disabled
Persons",GAUTENG,CHARITIES,291000
44603,Society For The Prevention Of Cruelty To Animals Springs,GAUTENG,CHARITIES,521760
51413,Solheim Tuiste Vir Bejaardes,GAUTENG,CHARITIES,384074
45522,Sophumelela Educare And Pre-School Organisation,GAUTENG,CHARITIES,109099
52477,Soshanguve Self Help Association Of The Disabled,GAUTENG,CHARITIES,146250
44081,South African Congress For Early Childhood Development,GAUTENG,CHARITIES,1100557
50087,South African Mobility For The Blind Trust,GAUTENG,CHARITIES,399360
50238,Soweto Branch Of Leonard Cheshire - South Africa,GAUTENG,CHARITIES,380109
42436,Soweto HIV/Aids Counsellors' Association,GAUTENG,CHARITIES,367204
34741,Soweto Retired Professional Society,GAUTENG,CHARITIES,395616
41041,Sparrow Schools Educational Trust,GAUTENG,CHARITIES,843000
50591,SPCA Boksburg,GAUTENG,CHARITIES,386000
44625,SPCA Kempton Park,GAUTENG,CHARITIES,89703
51199,St Anthony's Day Care Centre For The Aged,GAUTENG,CHARITIES,644738
41009,St Martin De Porres Development Project,GAUTENG,CHARITIES,368906
50157,St Martin De Porres Home Base Care HIV/Aids Project,GAUTENG,CHARITIES,186000
52348,St Martins Crèche / Pre-School Committee,GAUTENG,CHARITIES,130500
41874,St. Francis Care Centre,GAUTENG,CHARITIES,2854330
50111,St. Francis Care Centre,GAUTENG,CHARITIES,3111814
50165,St. John The Baptist Catholic Clinic,GAUTENG,CHARITIES,1575967
44952,Sunnyside Samaritan Project,GAUTENG,CHARITIES,166000
50244,Sunnyside Samaritan Project,GAUTENG,CHARITIES,350000
42916,Tembisa Child And Family Welfare Society,GAUTENG,CHARITIES,1992336
52594,Thandanani Centre Brothers Of Charity Services,GAUTENG,CHARITIES,196900
44049,The Baby Therapy Centre,GAUTENG,CHARITIES,715465
44399,"The Co-Operative Organisation For The Upgrading Of Numeracy
Training",GAUTENG,CHARITIES,385600
44190,The ECD Projects Association,GAUTENG,CHARITIES,105000
49571,The Emmaus Community Centre,GAUTENG,CHARITIES,742500
44311,The Gateway - A Society To Aid Mentally Handicapped Persons,GAUTENG,CHARITIES,549170
50735,The Greater Germiston Society For Child & Family Welfare,GAUTENG,CHARITIES,316500
44624,The Greater Soweto Association For Early Childhood Development,GAUTENG,CHARITIES,667100
52818,The Ithuseng Centre For Persons With Disabilities,GAUTENG,CHARITIES,195100
43806,The Johannesburg Children's Home,GAUTENG,CHARITIES,2245500
42422,The Living Link,GAUTENG,CHARITIES,754624
50768,The Living Link,GAUTENG,CHARITIES,494887
43815,The National Head Injuries Association (Headway Gauteng),GAUTENG,CHARITIES,500000
51249,The Philip Kushlick School,GAUTENG,CHARITIES,960000
43740,The Priory For South Africa Of The Order Of St John,GAUTENG,CHARITIES,4757314
43805,The Read Educational Trust,GAUTENG,CHARITIES,2102500
49987,The Remmelos Self Help Centre,GAUTENG,CHARITIES,255000
44082,The Self-Help Skills Training Centre,GAUTENG,CHARITIES,1915000
42832,The Society For Children And Adults With Autism,GAUTENG,CHARITIES,935000
43405,"The Society For The Prevention Of Cruelty  To Animals,
Heidelberg",GAUTENG,CHARITIES,370242
42430,The Society Of St. Vincent De Paul,GAUTENG,CHARITIES,2473340
44779,The South African Depression And Anxiety Group,GAUTENG,CHARITIES,1669855
44509,The South African Guide Dogs Association For The Blind,GAUTENG,CHARITIES,153998
44623,The Teddy Bear Clinic For Abused Children,GAUTENG,CHARITIES,1479989
51982,The Tomorrow Trust,GAUTENG,CHARITIES,200000
40796,"The United Sisterhood, Women Of  Progressive Judaism",GAUTENG,CHARITIES,90000
41774,The Village Safe Haven,GAUTENG,CHARITIES,241150
51333,Thembalakhe Day Care,GAUTENG,CHARITIES,62000
43880,Thusanang HIV/Aids Relief Project (Thusanang),GAUTENG,CHARITIES,1197780
43895,Thuso/Sizo Home Based Care,GAUTENG,CHARITIES,371600
41678,Thusong Centre,GAUTENG,CHARITIES,1144132
50644,Thusong Youth Friendly Services,GAUTENG,CHARITIES,393000
42563,"Thuthukani Community Literacy Project & Skills Development
Training",GAUTENG,CHARITIES,387750
44521,Timios Homes,GAUTENG,CHARITIES,258720
50254,Timios Homes,GAUTENG,CHARITIES,224000
49600,Tokologo Self Help Centre For Quadriplegics,GAUTENG,CHARITIES,1054100
41793,Toughlove South Africa,GAUTENG,CHARITIES,77000
40682,Tshepo Educare Centre,GAUTENG,CHARITIES,41300
43931,Tshwane Deaf Association,GAUTENG,CHARITIES,463112
44395,Tshwane Leadership Foundation Trust,GAUTENG,CHARITIES,973200
54440,Tshwaraganang Community Development,GAUTENG,CHARITIES,228531
51516,Tshwaraganang Le Kgothlelle Munsieville Disabled People Org,GAUTENG,CHARITIES,327500
51516,Tshwaraganang Le Kgothlelle Munsieville Disabled People Org,GAUTENG,CHARITIES,327500
50611,Tshwaranang,GAUTENG,CHARITIES,200099
35256,Tshwaranang Support Group,GAUTENG,CHARITIES,153297
41647,Tsibogang Early Learning Centre,GAUTENG,CHARITIES,174550
43540,"Tswelelopele ""A"" And ""B"" Educare Centre",GAUTENG,CHARITIES,162653
45097,Tswelopele Adult Centre,GAUTENG,CHARITIES,140000
44186,Tswelopele Early Learning Centre,GAUTENG,CHARITIES,255936
43943,Tuiste Vir Bejaardes Nigel,GAUTENG,CHARITIES,771337
43491,Tumelong (T/A Tumelong Mission),GAUTENG,CHARITIES,1197200
41933,Uitkoms Home For Girls / Uitkomstehuis Vir Dogters,GAUTENG,CHARITIES,510776
49939,Ukukhanya Day Care Centre,GAUTENG,CHARITIES,22899
49566,United Cerebral Palsy Association Of South Africa,GAUTENG,CHARITIES,225000
41590,Unity College,GAUTENG,CHARITIES,274458
51272,Usizo Uluntwini,GAUTENG,CHARITIES,200800
52298,Vaal Echoes Of Love,GAUTENG,CHARITIES,483115
45701,Vaal Mental Health Society For The Vaal Triangle,GAUTENG,CHARITIES,166000
35897,Valued Citizens Initiative,GAUTENG,CHARITIES,484040
50051,Vita Nova Centre,GAUTENG,CHARITIES,426000
52628,Vosloorus Society For Care Of The Aged,GAUTENG,CHARITIES,203744
41708,Vuka'  Ibambe Pre-School And Crèche,GAUTENG,CHARITIES,69405
42854,Vulamehlo,GAUTENG,CHARITIES,650400
43058,Vuselela Ulwazi Lwakho Drop-In Centre,GAUTENG,CHARITIES,231425
50678,West Rand Association For Persons With Disabilities (WRAPD),GAUTENG,CHARITIES,461038
51819,"Westonaria, Randfontein And Poortjie HIV/Aids Project",GAUTENG,CHARITIES,136600
50565,Westview Alcohol And Drug Rehabilitation Clinic,GAUTENG,CHARITIES,999920
49729,Wide Horizon Hospice Association Of The Vaal Triangle,GAUTENG,CHARITIES,390139
50046,Wilson Lebone Christian Crèche & Pre-School,GAUTENG,CHARITIES,260508
40744,Winterveldt Community Project,GAUTENG,CHARITIES,354200
45726,Wolmer Gemeenskapsprojek,GAUTENG,CHARITIES,813100
33850,World Affiliated Young Women's Christian Association Of SA,GAUTENG,CHARITIES,164866
49733,World Affiliated Young Women's Christian Association Of SA,GAUTENG,CHARITIES,503255
43940,Yakha Ikusasa Manje Health Development Centre,GAUTENG,CHARITIES,232850
44223,Yatsar Centre,GAUTENG,CHARITIES,518204
44630,Zakheni Home Based Care,GAUTENG,CHARITIES,151935
41039,Zicabangeleni Self Help Association For The Physically Disabled,GAUTENG,CHARITIES,166500
31730,2010 FIFA World Cup Organising Committee Sa,GAUTENG,SPORT & RECREATION,51700000
31730,2010 FIFA World Cup Organising Committee Sa,GAUTENG,SPORT & RECREATION,51700000
51752,2010 FIFA World Cup Organising Committee Sa,GAUTENG,SPORT & RECREATION,8500000
47342,Alexandra And Northrand Local Football Association,GAUTENG,SPORT & RECREATION,200000
47164,Alexandra Trampoline Club,GAUTENG,SPORT & RECREATION,198654
47211,Arcelor Mittal Athletics Club,GAUTENG,SPORT & RECREATION,540000
32291,Archery South Africa,GAUTENG,SPORT & RECREATION,615550
38797,Archery South Africa,GAUTENG,SPORT & RECREATION,641000
58365,Archery South Africa,GAUTENG,SPORT & RECREATION,400000
38571,Athletics South Africa,GAUTENG,SPORT & RECREATION,6396987
48807,Bachana Mokwena Primary School,GAUTENG,SPORT & RECREATION,180000
46167,Badminton South Africa,GAUTENG,SPORT & RECREATION,1150665
46167,Badminton South Africa,GAUTENG,SPORT & RECREATION,1150665
49098,Barrage Primary School,GAUTENG,SPORT & RECREATION,180000
38116,Basketball South Africa,GAUTENG,SPORT & RECREATION,2300000
46914,Batho Pele Social Development Youth Organization,GAUTENG,SPORT & RECREATION,50000
47880,Bathokwa Primary School,GAUTENG,SPORT & RECREATION,180000
40330,Blue Bulls Rugby Union,GAUTENG,SPORT & RECREATION,992666
47403,Bodies In Unity,GAUTENG,SPORT & RECREATION,50000
46924,Boitshepiville Youth Development Centre,GAUTENG,SPORT & RECREATION,80000
47360,Bolivia Football Club,GAUTENG,SPORT & RECREATION,158525
40355,Bophelong Primary School,GAUTENG,SPORT & RECREATION,300000
32357,Bowls South Africa,GAUTENG,SPORT & RECREATION,1325638
32401,Canoeing South Africa,GAUTENG,SPORT & RECREATION,4032127
32401,Canoeing South Africa,GAUTENG,SPORT & RECREATION,4032127
47185,Casa Do Sol Association,GAUTENG,SPORT & RECREATION,50000
46836,Central Gauteng Athletics,GAUTENG,SPORT & RECREATION,794772
40344,Central Gauteng Gymnastics Association,GAUTENG,SPORT & RECREATION,463389
40344,Central Gauteng Gymnastics Association,GAUTENG,SPORT & RECREATION,500000
46603,Central Gauteng Gymnastics Association,GAUTENG,SPORT & RECREATION,600000
46559,Central Gauteng Squash,GAUTENG,SPORT & RECREATION,568506
47249,Centurion Rugby Club,GAUTENG,SPORT & RECREATION,540000
49541,Cricket South Africa,GAUTENG,SPORT & RECREATION,10000000
26267,Disabled People South Africa-Free State Province,GAUTENG,SPORT & RECREATION,391000
47759,Ditshaba Primary School,GAUTENG,SPORT & RECREATION,183000
38293,Eastern Cricket Union,GAUTENG,SPORT & RECREATION,1722218
38293,Eastern Cricket Union,GAUTENG,SPORT & RECREATION,1327780
40341,Eastern Gauteng Gymnastics Association,GAUTENG,SPORT & RECREATION,1040737
40256,Eketsang Secondary School,GAUTENG,SPORT & RECREATION,500000
47362,Elco Santos Football Club,GAUTENG,SPORT & RECREATION,137060
47341,Elim Clinic,GAUTENG,SPORT & RECREATION,200000
49249,Ezazi Primary School,GAUTENG,SPORT & RECREATION,180000
46712,"Federation Of Dance Sport South Africa Gauteng Administration
Branch",GAUTENG,SPORT & RECREATION,462973
46323,Franklin D. Roosevelt Primary School,GAUTENG,SPORT & RECREATION,402941
40339,Gauteng Canoe Union,GAUTENG,SPORT & RECREATION,2334586
46773,Gauteng East Tennis Association,GAUTENG,SPORT & RECREATION,478596
46675,Gauteng North Freshwater Bank Angling Association,GAUTENG,SPORT & RECREATION,450000
46679,Gauteng Softball Association,GAUTENG,SPORT & RECREATION,600000
33028,Hammanskraal District Football Association,GAUTENG,SPORT & RECREATION,200000
48004,Hoerskool Akasia,GAUTENG,SPORT & RECREATION,180426
40138,Hoerskool Carletonville,GAUTENG,SPORT & RECREATION,300000
