Project Number,Sector,Province,Name,Amount
66746,CHARITIES,GAUTENG,Seniorstuis Service Centre,100000.0
68177,CHARITIES,GAUTENG,Ithuteng Nursery & Pre School,109750.0
67817,CHARITIES,GAUTENG,Bophelo Home Based Care,208500.0
66573,CHARITIES,GAUTENG,Direlang Community Project,423431.0
67863,CHARITIES,GAUTENG,Christian Social Council Springs,346000.0
67987,CHARITIES,GAUTENG,National Assoc of People Living with HIV/AIDS(NAPWA),583000.0
68863,CHARITIES,GAUTENG,Kwenele-Place for New Hope,148050.0
67633,CHARITIES,GAUTENG,Othandweni Community Development Service,175149.0
67964,CHARITIES,GAUTENG,Buzy Bee Day Care Centre,312189.0
67418,CHARITIES,GAUTENG,Soweto Retired Professionals Society,595500.0
68037,CHARITIES,GAUTENG,SANTA Johannesburg,716346.0
69064,CHARITIES,GAUTENG,People Opposing Women Abuse,1581053.0
67763,CHARITIES,GAUTENG,Kopano Educare Centre,127057.0
66636,CHARITIES,GAUTENG,Bundle of Joy Nursery School,217700.0
67256,CHARITIES,GAUTENG,Inkululeko Day Care,159500.0
67940,CHARITIES,GAUTENG,Gauteng Provincial Association for Persons with Disabilities,82000.0
50547,CHARITIES,GAUTENG,Motheo Training Institute Trust,130078.0
67954,CHARITIES,GAUTENG,Zamubuhle Day Care Centre,136841.0
67913,CHARITIES,GAUTENG,Flower Foundation Homes for the Aged,75000.0
68064,CHARITIES,GAUTENG,Baaratwa Early Childhood Development Centre,142140.0
67425,CHARITIES,GAUTENG,Tlhokomelang Sechaba,163000.0
67790,CHARITIES,GAUTENG,NG Welfare Roodepoort,339100.0
67823,CHARITIES,GAUTENG,Alra Park Pre School,180700.0
42282,CHARITIES,GAUTENG,Operation Anti Freeze Inner City Uplifment,446365.0
44016,CHARITIES,GAUTENG,Rethomile Creche,47033.0
44069,CHARITIES,GAUTENG,Ikhaya Lothando Community Centre,345500.0
44636,CHARITIES,GAUTENG,Rand Aid Association,6093113.0
50742,CHARITIES,GAUTENG,Sizabantu Traditional Home Based Care,283000.0
51446,CHARITIES,GAUTENG,Thembelisha Day Care Centre,132381.0
52088,CHARITIES,GAUTENG,Echibini Secondary School,200000.0
53809,CHARITIES,GAUTENG,Barkston Place,145500.0
54368,CHARITIES,GAUTENG,Vukuzenzele Assoc For Physically Disabled,445540.0
55440,CHARITIES,GAUTENG,Jakaranda Childrens Home,610000.0
55847,CHARITIES,GAUTENG,Lintle Community Awakening,219250.0
57504,CHARITIES,GAUTENG,Professional Pre-School,75950.0
57998,CHARITIES,GAUTENG,Zimeleni School,878320.0
58922,CHARITIES,GAUTENG,Thiesa Burgers Pre Primary School,125000.0
59302,CHARITIES,GAUTENG,Love In Action Montessori Pre-School & Practioners,148302.0
59305,CHARITIES,GAUTENG,Alpha World Ministries Social Care Centre,79282.0
59455,CHARITIES,GAUTENG,Lesedi and Thusanang Day Care,219350.0
61155,CHARITIES,GAUTENG,The Love Ones of God,250908.0
61392,CHARITIES,GAUTENG,Ubuntu Community Organisation,381650.0
62862,CHARITIES,GAUTENG,Carletonville Home Comm Based Care(CHCBC),265600.0
63504,CHARITIES,GAUTENG,Kanana Day Care Centre,94583.0
63597,CHARITIES,GAUTENG,Passionate Feeding Scheme,279500.0
63793,CHARITIES,GAUTENG,Helping Hand Home Based Care,315000.0
63808,CHARITIES,GAUTENG,Lethabo Community Caregivers,200000.0
64134,CHARITIES,GAUTENG,Vanderbijlpark Trauma Counseling Empowerment Centre,162000.0
64357,CHARITIES,GAUTENG,Nazareth House,287748.0
65125,CHARITIES,GAUTENG,Hare-Kopaneng Pre-School & Creche,205750.0
65146,CHARITIES,GAUTENG,New World for Little Bambinos Day Care,184000.0
65342,CHARITIES,GAUTENG,Faith Day Care & Pre-School,200000.0
65388,CHARITIES,GAUTENG,Eastern Gauteng Gymnastics Vereeniging,2211736.82
65427,CHARITIES,GAUTENG,Kids At Work Day Care,164489.0
65452,CHARITIES,GAUTENG,Botshelo Educare Centre,286395.0
65455,CHARITIES,GAUTENG,Makgwanya Day Care,305655.0
65502,CHARITIES,GAUTENG,Jehovah Jirah Orphanage Centre,260014.0
65523,CHARITIES,GAUTENG,Sisonke Early Learning Centre,147002.0
65524,CHARITIES,GAUTENG,Modern Day Care,129261.0
65535,CHARITIES,GAUTENG,CMR Wonderboom,266260.0
65540,CHARITIES,GAUTENG,SPCA Nigel,58500.0
65629,CHARITIES,GAUTENG,Dipalo School of Information & Communication Technology,419035.0
65664,CHARITIES,GAUTENG,Lambano Sanctuary,383783.0
65680,CHARITIES,GAUTENG,SAVF Kinross Herberg,66451.0
65681,CHARITIES,GAUTENG,Rathabile Day Care,155449.0
65705,CHARITIES,GAUTENG,Boitekanelo Day Care & After Care Centre,100000.0
65711,CHARITIES,GAUTENG,Mamatshidi Day Care Centre,189000.0
65726,CHARITIES,GAUTENG,Emmanuel Fokazi Creche,207000.0
65729,CHARITIES,GAUTENG,Boiteko Day Care Centre,100000.0
65739,CHARITIES,GAUTENG,Thusano Day Care Centre,134000.0
65740,CHARITIES,GAUTENG,Masibambane Community Care & Support,519000.0
65794,CHARITIES,GAUTENG,Novensi Organisation,149000.0
65917,CHARITIES,GAUTENG,Sabelani Life Skills Project,747611.0
65981,CHARITIES,GAUTENG,Itereleng Development Projects,300000.0
65987,CHARITIES,GAUTENG,Jeremiah 29 Community Care,199500.0
65993,CHARITIES,GAUTENG,Mmatlou Pre-School,100000.0
66083,CHARITIES,GAUTENG,Redirile Day Care Centre,247171.0
66089,CHARITIES,GAUTENG,Mampheso Day Care Centre,224844.0
66124,CHARITIES,GAUTENG,Dineo Day Care Centre,100000.0
66132,CHARITIES,GAUTENG,Thabong Creche and Pre School,166036.0
66150,CHARITIES,GAUTENG,Kotulong Community Centre,816465.0
66171,CHARITIES,GAUTENG,Kagiso Migson Manor,100000.0
66291,CHARITIES,GAUTENG,Isidingo Need Home Based Care,118000.0
66294,CHARITIES,GAUTENG,Uncedolwethu(Our Help) Project,170794.0
66296,CHARITIES,GAUTENG,Hlengiwe Women of Destiny,113000.0
66297,CHARITIES,GAUTENG,Sinike Amehlo Old Aged & Disabled Club,158854.0
66338,CHARITIES,GAUTENG,Tiba Services for the Blind,57500.0
66348,CHARITIES,GAUTENG,Tshepho Women Help Centre,183993.0
66375,CHARITIES,GAUTENG,Angles Day Care Centre,200000.0
66384,CHARITIES,GAUTENG,Rethabile Nursery & Pre-School,100000.0
66390,CHARITIES,GAUTENG,Naledi Ya Meso Day Care Centre,157000.0
66403,CHARITIES,GAUTENG,Vusisizwe Pre-School & Creche,220000.0
66412,CHARITIES,GAUTENG,Alexsan Kopano Educational Trust,100000.0
66468,CHARITIES,GAUTENG,San Michele Home,511500.0
66496,CHARITIES,GAUTENG,Bana Pele Pre-School,100416.0
66501,CHARITIES,GAUTENG,Vela Nawe Pre-School,100000.0
66510,CHARITIES,GAUTENG,NG Welfare Vereeniging,285195.0
66512,CHARITIES,GAUTENG,"National Lesbian,Gay,Bisexual,Trangendered & Int",320000.0
66522,CHARITIES,GAUTENG,Association For People with Disabilities Gauteng North,25750.0
66525,CHARITIES,GAUTENG,AIM CENTRE,356680.0
66526,CHARITIES,GAUTENG,Four Steps Home Based Care Group,133250.0
66528,CHARITIES,GAUTENG,Hamlet Foundation,398120.0
66566,CHARITIES,GAUTENG,Lebogang Day Care Centre,295500.0
66578,CHARITIES,GAUTENG,Lindokuhle Day Care,139376.0
66594,CHARITIES,GAUTENG,Keagile Pre School,200000.0
66609,CHARITIES,GAUTENG,Kgodisong Day Care and Pre-School,146800.0
66612,CHARITIES,GAUTENG,Klapkorn Play Centre,167975.0
66621,CHARITIES,GAUTENG,Suikerbekkies Pre-Primary School,238236.0
66623,CHARITIES,GAUTENG,Rethabile Day Care & Pre School,146917.0
66642,CHARITIES,GAUTENG,Golang Day Care Centre,458722.0
66694,CHARITIES,GAUTENG,Tiqwa School,307711.0
66697,CHARITIES,GAUTENG,Tshwane Place of Safety Association,604000.0
66698,CHARITIES,GAUTENG,King's Hope Development Foundation,303000.0
66757,CHARITIES,GAUTENG,Van Rensburg Multi Purpose Frail Care Centre,201020.0
66817,CHARITIES,GAUTENG,Bambanani Support Group,247600.0
66831,CHARITIES,GAUTENG,Barona Child Care and Support,200848.0
66840,CHARITIES,GAUTENG,Cresset House,305792.0
66855,CHARITIES,GAUTENG,Lutheran Community Outreach Foundation,650740.0
66958,CHARITIES,GAUTENG,Viva Foundation of South Africa,238500.0
67017,CHARITIES,GAUTENG,Hospice Association Wits (JHB),2000000.0
67024,CHARITIES,GAUTENG,Catholic Womens League Adoption Society,534728.0
67111,CHARITIES,GAUTENG,Leseding Day Care Centre,273379.0
67148,CHARITIES,GAUTENG,Nomzamo Creche and Pre-School,58940.0
67152,CHARITIES,GAUTENG,Boikhutsong Day Care Centre,145171.0
67153,CHARITIES,GAUTENG,Khululeka Day Care,121298.0
67158,CHARITIES,GAUTENG,Phumzile Day Care Centre,111908.0
67160,CHARITIES,GAUTENG,Molatelo Day Care Centre,182682.0
67168,CHARITIES,GAUTENG,Elethu Daveyton Cheshire Homes,624694.0
67183,CHARITIES,GAUTENG,Christian Pre and Creche,250000.0
67185,CHARITIES,GAUTENG,Ditshwanelo Early Learning Centre,146140.0
67223,CHARITIES,GAUTENG,Botshabelo,525000.0
67243,CHARITIES,GAUTENG,Early Bird Day Care,61231.0
67251,CHARITIES,GAUTENG,House of Mercy,165500.0
67270,CHARITIES,GAUTENG,Bophelo/Impilo Community Association,211000.0
67273,CHARITIES,GAUTENG,Mahlasedi Pre-School,106500.0
67276,CHARITIES,GAUTENG,Tebohong Pre-School,168000.0
67279,CHARITIES,GAUTENG,Success II Pre School,138000.0
67287,CHARITIES,GAUTENG,Future Kid's Pre-School,200000.0
67288,CHARITIES,GAUTENG,Grace Creche,107000.0
67292,CHARITIES,GAUTENG,Bona Lesedi Day Care Centre,138000.0
67311,CHARITIES,GAUTENG,Saartjie Naude Creche,251395.0
67324,CHARITIES,GAUTENG,Salvation Day Care Centre,192250.0
67343,CHARITIES,GAUTENG,SA Federation for Mental Health,862173.0
67344,CHARITIES,GAUTENG,Con Amore School,300890.0
67360,CHARITIES,GAUTENG,San Salvador Home,520000.0
67371,CHARITIES,GAUTENG,Bana Ke Bokamoso,114959.0
67378,CHARITIES,GAUTENG,Vukani Care,319700.0
67382,CHARITIES,GAUTENG,Phakamani Ma Afrika,188814.0
67403,CHARITIES,GAUTENG,Cantsane Education Home Based Care,186750.0
67417,CHARITIES,GAUTENG,Acres of Love,479000.0
67434,CHARITIES,GAUTENG,St Martin De Porres Home Base Care,587089.0
67477,CHARITIES,GAUTENG,SAVF Lappop Versorgingsoord,228768.0
67484,CHARITIES,GAUTENG,SAVF Deurganghuis Carletonville,268000.0
67487,CHARITIES,GAUTENG,Empowering Emotionally Abused Women & Children,294500.0
67496,CHARITIES,GAUTENG,SOS Childrens Villages,2400000.0
67519,CHARITIES,GAUTENG,Talisman Foundation,245500.0
67552,CHARITIES,GAUTENG,Greenvillage Educare Centre,503446.0
67592,CHARITIES,GAUTENG,Carroll Shaw Memorial Centre,946212.0
67606,CHARITIES,GAUTENG,FAMSA National Office,1834631.0
67614,CHARITIES,GAUTENG,Phahamang Le Amohele Support Group,140479.0
67617,CHARITIES,GAUTENG,Midrand Child & Family Care Association,855899.0
67620,CHARITIES,GAUTENG,Alpha Trauma Centre,286750.0
67622,CHARITIES,GAUTENG,Isobella Creche,125500.0
67627,CHARITIES,GAUTENG,Chip & Dale Pre-School,128905.0
67628,CHARITIES,GAUTENG,Siyabhabha Trust Dev & Welfare Agency,983420.0
67629,CHARITIES,GAUTENG,Rearabilwe Ekhurhuleni Community Care,231400.0
67635,CHARITIES,GAUTENG,ACFS Community Education & Feeding Scheme,800000.0
67637,CHARITIES,GAUTENG,The Cradle of Hope,289000.0
67639,CHARITIES,GAUTENG,NG Barmhartigheidsdiens Mpumalanga,47371.0
67650,CHARITIES,GAUTENG,Park Care Centre,290000.0
67655,CHARITIES,GAUTENG,AMT Community Development,93999.0
67659,CHARITIES,GAUTENG,"Rebone Botshelo Children's Centre,Day Care & Pre-School",227320.0
67699,CHARITIES,GAUTENG,Good Work Foundation,133750.0
67705,CHARITIES,GAUTENG,Stroke Aid Society,357371.0
67715,CHARITIES,GAUTENG,Toughlove South Africa,78000.0
67723,CHARITIES,GAUTENG,Siphuthando Home Based Care,450000.0
67731,CHARITIES,GAUTENG,Lerena Re A Shoma Disability Organisation,66442.0
67735,CHARITIES,GAUTENG,Little Angels Day Care Centre,162286.0
67736,CHARITIES,GAUTENG,Nokhaya Day Care,37075.0
67742,CHARITIES,GAUTENG,Ebenezer House,360700.0
67745,CHARITIES,GAUTENG,Retshepisitswe Day Care,118895.0
67746,CHARITIES,GAUTENG,Akasosha Men's Forum,149375.0
67747,CHARITIES,GAUTENG,Christelike Maatskaplike Raad Van Lyttelton,271360.0
67750,CHARITIES,GAUTENG,Little BJ's Pre-School,84500.0
67752,CHARITIES,GAUTENG,Bhongweni Creche Day Care,141078.0
67767,CHARITIES,GAUTENG,Ilitha Safe House Fostering Day And Night Child Care,153050.0
67793,CHARITIES,GAUTENG,NG Welsyn Krugersdorp,310500.0
67794,CHARITIES,GAUTENG,Gembou Aksie,289393.0
67798,CHARITIES,GAUTENG,Huis Meyerton,88433.0
67806,CHARITIES,GAUTENG,Jeugland Home For The Aged,127000.0
67812,CHARITIES,GAUTENG,NG Welfare Randfontein,211900.0
67824,CHARITIES,GAUTENG,Joy Educare Centre,141927.0
67827,CHARITIES,GAUTENG,Botshabelo Community Home Based Care,223750.0
67839,CHARITIES,GAUTENG,Children The Dawn,358406.0
67848,CHARITIES,GAUTENG,Ikhwezi Congregation Outreach Project,94250.0
67853,CHARITIES,GAUTENG,Thandanani Centre,597000.0
67867,CHARITIES,GAUTENG,East Rand Children's Haven,172500.0
67876,CHARITIES,GAUTENG,SAVF Claremont (Aksiekomitee),384400.0
67880,CHARITIES,GAUTENG,Mphethuto Early Learning Centre,204502.0
67903,CHARITIES,GAUTENG,Youth For Survival,584734.0
67912,CHARITIES,GAUTENG,Siyaphila Homebased Care,150400.0
67915,CHARITIES,GAUTENG,Polokego Shelter For Abused Women and Children,332200.0
67921,CHARITIES,GAUTENG,Animal Anti Cruelty League Johannesburg,300460.0
67927,CHARITIES,GAUTENG,Progress Educational Counsellors Organisation,190000.0
67928,CHARITIES,GAUTENG,Krugersdorp Soc for Child & Family Welfare,292000.0
67929,CHARITIES,GAUTENG,Kagiso Child & Family Welfare,908197.0
67948,CHARITIES,GAUTENG,Bophelong-Empilweni-New Life Community Project,359200.0
67953,CHARITIES,GAUTENG,South African Youth Alive Health Campaign Awareness Centre,211500.0
67956,CHARITIES,GAUTENG,Harmonie Park,50135.0
67957,CHARITIES,GAUTENG,Nova Institute,142665.0
67960,CHARITIES,GAUTENG,Bathei Luncheon Club,120459.0
67962,CHARITIES,GAUTENG,Girl Guides Association of SA,483600.0
67963,CHARITIES,GAUTENG,Kwa-Thema Society for the Aged,327500.0
67983,CHARITIES,GAUTENG,Shangri-La Self Help Ctr for Quads,435158.0
67988,CHARITIES,GAUTENG,Don Bosco Educational Projects,366000.0
67994,CHARITIES,GAUTENG,Nigel Child & Family Welfare Society,776430.0
67996,CHARITIES,GAUTENG,Reea Epilespsy Care Centre,460200.0
68001,CHARITIES,GAUTENG,Progress Day Care Organisation,145752.0
68002,CHARITIES,GAUTENG,Kopanang Centre for Children,291675.0
68005,CHARITIES,GAUTENG,SPCA Vereeniging & District,184920.0
68007,CHARITIES,GAUTENG,JHB Parent & Child Counselling,355000.0
68016,CHARITIES,GAUTENG,Employability Vulindlela,282400.0
68028,CHARITIES,GAUTENG,Siphumelele Home Based Care,270647.0
68030,CHARITIES,GAUTENG,The GetOn Foundation Trust,123550.0
68050,CHARITIES,GAUTENG,Tshadis Day Care Centre,145175.0
68052,CHARITIES,GAUTENG,Itireleng Day Care Centre,97950.0
68053,CHARITIES,GAUTENG,Mapule's Kideo Centre,178320.0
68064,CHARITIES,GAUTENG,Baaratwa Early Childhood Development Centre,142140.0
68068,CHARITIES,GAUTENG,CSC Nigel (Ring van Heidelberg),201800.0
68070,CHARITIES,GAUTENG,MOTHWA National Headquarters,596905.0
68071,CHARITIES,GAUTENG,Moth Ex- Servicemen's Cottage Association,30000.0
68075,CHARITIES,GAUTENG,SA Congress for Early Childhood Development,991000.0
68081,CHARITIES,GAUTENG,Karabo Early Learning Centre,99500.0
68083,CHARITIES,GAUTENG,Leratong Early Learning Centre,298272.0
68085,CHARITIES,GAUTENG,SPCA Tshwane,400000.0
68091,CHARITIES,GAUTENG,Baby Therapy Centre,420350.0
68102,CHARITIES,GAUTENG,Khanyisile Day Care Centre,193500.0
68105,CHARITIES,GAUTENG,Retina South Africa,511253.0
68108,CHARITIES,GAUTENG,Herfsland Home for the Aged,120397.0
68113,CHARITIES,GAUTENG,Lerato Care & Support Group,391729.0
68126,CHARITIES,GAUTENG,Smile Foundation,308750.0
68134,CHARITIES,GAUTENG,Tshepo Community Development Initiative,98718.0
68137,CHARITIES,GAUTENG,CMR Johannesburg,403400.0
68156,CHARITIES,GAUTENG,Malamulele Onwards,281800.0
68166,CHARITIES,GAUTENG,Sivusithemba Community Home Based Care,236500.0
68174,CHARITIES,GAUTENG,Novalis House Inc,309320.0
68190,CHARITIES,GAUTENG,Sebueng Itumeleng,206450.0
68200,CHARITIES,GAUTENG,Zanele's Day Care Centre,84850.0
68221,CHARITIES,GAUTENG,Creative Early Learning & Care,93398.0
68224,CHARITIES,GAUTENG,The Potato Foundation,68309.0
68227,CHARITIES,GAUTENG,Thanda Bantu Pre-School,87000.0
68237,CHARITIES,GAUTENG,Karabo I am the Solution,38750.0
68238,CHARITIES,GAUTENG,Kopanang Care Centre,317376.0
68245,CHARITIES,GAUTENG,Tshegetsanang Support Group,147725.0
68249,CHARITIES,GAUTENG,SAVF Silversig Tehuis vir Bejaardes,557828.0
68250,CHARITIES,GAUTENG,Khulisa Crime Prevention/Khulisa Social Solutions,996900.0
68255,CHARITIES,GAUTENG,Hlalanathi Day Care & Pre-School,712000.0
68264,CHARITIES,GAUTENG,Progressive Aids Project,599100.0
68270,CHARITIES,GAUTENG,Lebone AIDS Care Project,523000.0
68288,CHARITIES,GAUTENG,Kathorus Traditional Healers Association,275000.0
68300,CHARITIES,GAUTENG,Residentia Foundation,583552.0
68301,CHARITIES,GAUTENG,SPCA Roodepoort,327744.0
68304,CHARITIES,GAUTENG,National Council of SPCA's,515446.0
68307,CHARITIES,GAUTENG,Injabulo Care Centre,212794.0
68315,CHARITIES,GAUTENG,Leamogetswe Safety Home,924000.0
68317,CHARITIES,GAUTENG,Bodies In Unity,183939.0
68319,CHARITIES,GAUTENG,Mary Jane Creche,218300.0
68321,CHARITIES,GAUTENG,Safe & Sound Learning Association,267000.0
68324,CHARITIES,GAUTENG,Kgotso Day Care Centre,303400.0
68326,CHARITIES,GAUTENG,Mamshoba Day Care Centre,280000.0
68330,CHARITIES,GAUTENG,Ithuteng Pre-School,310200.0
68337,CHARITIES,GAUTENG,Lethabo Le Khutso,377000.0
68341,CHARITIES,GAUTENG,Makhanani Day Care Centre,165900.0
68344,CHARITIES,GAUTENG,House Of Mercy,832000.0
68354,CHARITIES,GAUTENG,Girls & Boys Town South Africa - Head office,1986839.0
68356,CHARITIES,GAUTENG,Planact,455980.0
68361,CHARITIES,GAUTENG,Home Start South Africa,393900.0
68366,CHARITIES,GAUTENG,Daveyton Orphans Resource Centre,250700.0
68371,CHARITIES,GAUTENG,Embelekweni Edu-Care Centre,127850.0
68373,CHARITIES,GAUTENG,"Arise And Shine Kids Korner, Day Care And Pre-School",186750.0
68379,CHARITIES,GAUTENG,Child in Crisis Trust (Bethany House Trust),806560.0
68382,CHARITIES,GAUTENG,Prinshofskool,762476.0
68385,CHARITIES,GAUTENG,Korwe Multi Purpose Centre,283626.0
68394,CHARITIES,GAUTENG,Isibonelo Early Learning Centre,34000.0
68398,CHARITIES,GAUTENG,Nkanyezi Stimulation Centre,296480.0
68400,CHARITIES,GAUTENG,Mauoane Pre-School,242548.0
68403,CHARITIES,GAUTENG,Talitha Stimulation Centre for Disabled Children,399800.0
68410,CHARITIES,GAUTENG,True Friends Creche And Pre-School,200064.0
68414,CHARITIES,GAUTENG,Impilo Place of Safety,395280.0
68415,CHARITIES,GAUTENG,Albinism Society of South Africa,485000.0
68416,CHARITIES,GAUTENG,Umthunzi Community Projects,205023.0
68418,CHARITIES,GAUTENG,Women Against Woman and Children Abuse,315650.0
68428,CHARITIES,GAUTENG,SAVF Kowa Pienaar Home,366000.0
68432,CHARITIES,GAUTENG,SAVF Heidelberg,365590.0
68436,CHARITIES,GAUTENG,The Old People's Home,45154.0
68437,CHARITIES,GAUTENG,SAVF Die Anker Old Age Home,161397.0
68438,CHARITIES,GAUTENG,Deaf Federation of SA (a/c DEAFSA),990000.0
68471,CHARITIES,GAUTENG,Polokong Children's Village,674735.0
68487,CHARITIES,GAUTENG,Johannesburg Hospitaal Skool,100000.0
68493,CHARITIES,GAUTENG,Daveyton Association for the Physically Disabled,137700.0
68502,CHARITIES,GAUTENG,Tsohang Youth Project,67600.0
68509,CHARITIES,GAUTENG,Headway Gauteng,480000.0
68511,CHARITIES,GAUTENG,To Care Foundation,159725.0
68512,CHARITIES,GAUTENG,Life Line Pretoria,552840.0
68517,CHARITIES,GAUTENG,Malebo Day Care Centre,128200.0
68520,CHARITIES,GAUTENG,Tshireletso Day Care Centre,120988.0
68523,CHARITIES,GAUTENG,Tswelopele Day Care,264936.0
68529,CHARITIES,GAUTENG,Katlehong Early Learning Resource Unit (KELRU),891000.0
68531,CHARITIES,GAUTENG,Pitseng Day Care & Nursery,170000.0
68536,CHARITIES,GAUTENG,SA National Council On Alcoholism,3572928.0
68539,CHARITIES,GAUTENG,Kopano ke Maatla,189000.0
68542,CHARITIES,GAUTENG,Hlumelelisa,300000.0
68553,CHARITIES,GAUTENG,Thuthukani Educare Centre,127094.0
68556,CHARITIES,GAUTENG,Eyethu Centre for the Disabled Children,210028.0
68560,CHARITIES,GAUTENG,Patty Learning Centre,160350.0
68565,CHARITIES,GAUTENG,Sentle Day Care Centre,297000.0
68574,CHARITIES,GAUTENG,Clever Kiddies Day Care Centre,182010.0
68582,CHARITIES,GAUTENG,SANCA Central Rand Alcohol & Drug Centre,1173607.0
68583,CHARITIES,GAUTENG,Mmaketsoeng Day Care Centre,227399.0
68587,CHARITIES,GAUTENG,Puseletso Day Care Centre,542581.0
68590,CHARITIES,GAUTENG,Family Care Ministries,81799.0
68607,CHARITIES,GAUTENG,Itsoseng Care Givers Project,213000.0
68614,CHARITIES,GAUTENG,Sedibeng Sa Bophelo Community Project,112100.0
68616,CHARITIES,GAUTENG,Give Light Day Care Centre,117000.0
68618,CHARITIES,GAUTENG,Thembelihle Day Care,364966.0
68636,CHARITIES,GAUTENG,Itsoseng Community Creche,141198.0
68651,CHARITIES,GAUTENG,Tuiste vir Bejaardes,19633.0
68663,CHARITIES,GAUTENG,SAVF Head Office,523334.0
68669,CHARITIES,GAUTENG,Angela Day Care Centre,104650.0
68672,CHARITIES,GAUTENG,Coronationville Care Centre & Workshops,323000.0
68698,CHARITIES,GAUTENG,Clean Touch Administrative Service,245800.0
68700,CHARITIES,GAUTENG,St Martins Creche & Pre-School,386900.0
68705,CHARITIES,GAUTENG,Arebaokeng Child Day Care Centre,278270.0
68708,CHARITIES,GAUTENG,Geluksdal Educare Centre,409000.0
68715,CHARITIES,GAUTENG,Mandelaville Crisis Committee,119400.0
68722,CHARITIES,GAUTENG,Sophumelela Educare & Pre-School Organisation,309000.0
68730,CHARITIES,GAUTENG,Thuthukani Centre,225000.0
68743,CHARITIES,GAUTENG,Radisela Aftercare-Drop in Centre,109000.0
68755,CHARITIES,GAUTENG,Sipho's Day Care Centre,144950.0
68759,CHARITIES,GAUTENG,Umhlangeni Pre-Primary School,143834.0
68760,CHARITIES,GAUTENG,Tshedimosetso Comm Dev & Other Projects,145149.0
68768,CHARITIES,GAUTENG,Sekusile Ekhaya Health Care & Support,214561.0
68769,CHARITIES,GAUTENG,Rise and Shine Day Care,82928.0
68772,CHARITIES,GAUTENG,Witkoppen Health & Welfare Centre,540898.0
68774,CHARITIES,GAUTENG,Children on the Move,805000.0
68775,CHARITIES,GAUTENG,Vusanani Day Care,143027.0
68779,CHARITIES,GAUTENG,New Life Centre,608900.0
68782,CHARITIES,GAUTENG,Community Action Programme,100000.0
68790,CHARITIES,GAUTENG,The Ratanang Group for Children with Multiple Disabilities,666980.0
68792,CHARITIES,GAUTENG,Imfundo Thuto Pre-School,92000.0
68805,CHARITIES,GAUTENG,Kindom Kids Early Learning Centre,144602.0
68818,CHARITIES,GAUTENG,SPCA Springs,450000.0
68824,CHARITIES,GAUTENG,Princess Christian Home,100000.0
68833,CHARITIES,GAUTENG,Sakha Uluntu,91500.0
68875,CHARITIES,GAUTENG,Little Achievers Day Care Centre,308443.0
68902,CHARITIES,GAUTENG,Youth Development Outreach (National),802000.0
68923,CHARITIES,GAUTENG,Ga-Rankuwa Sunshine Hospice(HIV),399140.0
68975,CHARITIES,GAUTENG,Kamohelong Home Based Care,60000.0
68981,CHARITIES,GAUTENG,Alfa & Omega Special Care Centre,140000.0
68982,CHARITIES,GAUTENG,Mikateko Day Care Centre,75055.0
68990,CHARITIES,GAUTENG,Itireleng Life Skills Centre,56135.0
68996,CHARITIES,GAUTENG,West Rand Youth Development,109088.0
68999,CHARITIES,GAUTENG,Banakekeleni HIV/AIDS Orphanage Haven/Hospice,360000.0
69030,CHARITIES,GAUTENG,Inkulisa Day Care,140000.0
69047,CHARITIES,GAUTENG,Thusano Community Centre,139800.0
69048,CHARITIES,GAUTENG,P.O.P.U.P(Doxa Deo),528500.0
69056,CHARITIES,GAUTENG,Tembisa Child & Family Welfare Society,910000.0
69058,CHARITIES,GAUTENG,Humana People To People In SA,467080.0
69061,CHARITIES,GAUTENG,Lethabo Day Care Centre,168807.0
69065,CHARITIES,GAUTENG,Thokoza Progressive youth,298350.0
69092,CHARITIES,GAUTENG,SPCA Kempton Park,146377.0
69116,CHARITIES,GAUTENG,Kungwini Early Learning Centre,223300.0
69121,CHARITIES,GAUTENG,"Siyazigabisa Children,Youth & Comm Org",251000.0
69126,CHARITIES,GAUTENG,Patrice Motsepe Home Base Care,401048.0
69128,CHARITIES,GAUTENG,Pitsong Pre-School & Creche,150250.0
69132,CHARITIES,GAUTENG,Eldorado Park Women's Forum,926000.0
69147,CHARITIES,GAUTENG,Zamula Community Network,230467.0
69151,CHARITIES,GAUTENG,Kiddyland Nursery School,147586.0
69161,CHARITIES,GAUTENG,Thuto Lerato Day Care,120200.0
69167,CHARITIES,GAUTENG,Kiddies Day Care Centre,85000.0
69171,CHARITIES,GAUTENG,Learn and Live Christian Creche,82620.0
69174,CHARITIES,GAUTENG,Emmanuel Pre School,423000.0
69187,CHARITIES,GAUTENG,Qinani Pre-School,127400.0
69192,CHARITIES,GAUTENG,St John The Divine Orphans and Outreach,636500.0
69198,CHARITIES,GAUTENG,M.C.S.A Remmogo Care Centre,285500.0
69205,CHARITIES,GAUTENG,Lethusizo Home Based Care,179800.0
69207,CHARITIES,GAUTENG,Nkosi's Haven,315000.0
69211,CHARITIES,GAUTENG,Ikageng Women's Club,491000.0
69219,CHARITIES,GAUTENG,Thandanani Kids Initiative,108700.0
69221,CHARITIES,GAUTENG,Ikhayalam Day Care,93600.0
69359,CHARITIES,GAUTENG,Sibanikuthando Elders Club,94000.0
69360,CHARITIES,GAUTENG,Shalom Respite Care Centre,338350.0
69374,CHARITIES,GAUTENG,Santu HIV & AIDS Relief Project,71000.0
