Name,Sector,Amount
Thabisong Youth Club,"ARTS, CULTURE AND NATIONAL HERITAGE",15000
Thulamela Municipality,"ARTS, CULTURE AND NATIONAL HERITAGE",2714000
Thulamela Municipality,"ARTS, CULTURE AND NATIONAL HERITAGE",678500
Timbila Poetry Project,"ARTS, CULTURE AND NATIONAL HERITAGE",1481000
Tiqwa School,"ARTS, CULTURE AND NATIONAL HERITAGE",29440
"Together As One Community
Development Organisation","ARTS, CULTURE AND NATIONAL HERITAGE",162300
Transvaal Scottish Regimental Council,"ARTS, CULTURE AND NATIONAL HERITAGE",2183623
Trevor Huddleston CR Memorial Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",2400000
Tribhangi Dance Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",567150
Tshwane Dance Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",953417
Tshwane Dance Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",1926000
Tshwane Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",260700
"Tsiba Education (Tertiary Sch in Bus.
Admin)","ARTS, CULTURE AND NATIONAL HERITAGE",1782202
Ugu District Municipality,"ARTS, CULTURE AND NATIONAL HERITAGE",2848615
Umlazi Arts Development Programme,"ARTS, CULTURE AND NATIONAL HERITAGE",214197
Umthathi Training Project,"ARTS, CULTURE AND NATIONAL HERITAGE",468735
United Communities Forum,"ARTS, CULTURE AND NATIONAL HERITAGE",1138596
University of Fort Hare,"ARTS, CULTURE AND NATIONAL HERITAGE",6600000
University of Kwazulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",7600000
University of Kwazulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",4786075
University of Pretoria (Tukssport),"ARTS, CULTURE AND NATIONAL HERITAGE",472501
Unomthandazo Theatre Company,"ARTS, CULTURE AND NATIONAL HERITAGE",261500
Utlwanang Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",784784
Valley Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",507178
Valley Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",508298
Vera School for Autistic Learners,"ARTS, CULTURE AND NATIONAL HERITAGE",90400
Vhutsila Arts Ensemble,"ARTS, CULTURE AND NATIONAL HERITAGE",6477260
Vhutsila Arts Ensemble,"ARTS, CULTURE AND NATIONAL HERITAGE",1619315
Victoria Girls High School,"ARTS, CULTURE AND NATIONAL HERITAGE",1200000
"Voortrekker Monument & Nature
Reserve","ARTS, CULTURE AND NATIONAL HERITAGE",1189922
Vukani Collection Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",112665
Vukani Community Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",206100
Vuyani Dance Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",3654837
"Waenhuiskrans/Arniston Community
Development Trust","ARTS, CULTURE AND NATIONAL HERITAGE",741900
Waterberry Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",2067030
West Coast Fossil Park Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",23000000
Western Cape Musicians Association,"ARTS, CULTURE AND NATIONAL HERITAGE",720000
Wilderness Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",513600
Wildlands Conservation Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",3348393
Wildlife & Environmental Society of SA,"ARTS, CULTURE AND NATIONAL HERITAGE",1154840
Windybrow Centre for the Arts,"ARTS, CULTURE AND NATIONAL HERITAGE",4128000
Witbank Civic Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",200000
Wits University Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",363997
"Womens Leadership Training
Programme","ARTS, CULTURE AND NATIONAL HERITAGE",504000
World Wide Fund South Africa,"ARTS, CULTURE AND NATIONAL HERITAGE",1319000
World Wide Fund South Africa,"ARTS, CULTURE AND NATIONAL HERITAGE",1319000
Young Artists Unite,"ARTS, CULTURE AND NATIONAL HERITAGE",450000
Young Artists Unite,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Zakheni Arts Therapy Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1186548.3
Zakheni SA Music Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",5100000
Zama Dance School Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
Zanendaba Storytellers,"ARTS, CULTURE AND NATIONAL HERITAGE",3504000
Zebra Arts & Crafts,"ARTS, CULTURE AND NATIONAL HERITAGE",2184376
Zikulise Community Upliftment Project,"ARTS, CULTURE AND NATIONAL HERITAGE",483000
Zip Zap Circus School,"ARTS, CULTURE AND NATIONAL HERITAGE",952708
A re Direng Caregivers,Charities,596175
A re Direng Caregivers,Charities,596175
A Re Thabeng Tshware Orphans,Charities,109760
A Re Thabeng Tshware Orphans,Charities,109760
AB Educare Centre,Charities,282261
Abasizikazi Home Based Care,Charities,300000
Abasizikazi Home Based Care,Charities,136952
Abbeyfield Society of South Africa,Charities,944000
Abbeyfield Society of South Africa,Charities,724000
Abigail Womens Movement,Charities,501694
Abraham Kriel Childrens Home,Charities,550000
Abraham Kriel Childrens Home - Potch,Charities,1769679
"Abraham Kriel Maria Kloppers Childrens
Home",Charities,7660207
Acres of Love,Charities,423587
Acres of Love,Charities,423587
Acres of Love,Charities,910000
Acres of Love Care Centre,Charities,578270
Action in Autism,Charities,250000
Action on Elder Abuse,Charities,843446
Active Learning Libraries,Charities,499400
"Activists Networking Against Exploitation
of Child Domestic Workers",Charities,274352
"Activists Networking Against Exploitation
of Child Domestic Workers",Charities,501839
ACVV Algoapark,Charities,568591
ACVV Bothasig Creche,Charities,711766
ACVV Calitzdorp,Charities,380993
ACVV Calvinia,Charities,1135674
ACVV Calvinia,Charities,2359421
ACVV Cape Town,Charities,891250
ACVV Carnarvon,Charities,1042511
ACVV Carnarvon,Charities,623824
ACVV Clanwilliam,Charities,465300
ACVV Cradock,Charities,574878
ACVV Danielskuil,Charities,43275
ACVV De Aar,Charities,1546735
ACVV Despatch,Charities,2404215
ACVV Dordrecht,Charities,244750
ACVV Eldorado,Charities,955144
ACVV Eldorado,Charities,2721354
ACVV Elizabeth Roos,Charities,293801
ACVV Franschhoek,Charities,1296900
ACVV Graaff Reinet,Charities,1276490
ACVV Graaff Reinet,Charities,1202598
ACVV Hanover,Charities,475697
ACVV Head Office,Charities,774077
ACVV Kimberley,Charities,932819
ACVV Kirkwood,Charities,609265
ACVV Kuruman,Charities,195700
ACVV Lambertsbay,Charities,115077
ACVV Malmesbury,Charities,760927
ACVV Middelburg EC,Charities,818889
ACVV Montagu,Charities,399130
ACVV Morreesburg,Charities,440000
ACVV Newton Park,Charities,606000
ACVV Oudtshoorn,Charities,3240933
ACVV Paarl,Charities,204051
ACVV Paarl Valley,Charities,672942
ACVV PE North,Charities,484475
ACVV PE Sentraal,Charities,1879488
ACVV PE South,Charities,1344395
ACVV PE South,Charities,1870725
ACVV Poplar Avenue,Charities,-4000
ACVV Poplar Avenue,Charities,2435225
ACVV Port Elizabeth Sentraal,Charities,725464
ACVV Port Elizabeth West,Charities,642748
ACVV Porterville,Charities,186453
ACVV Prins Albert,Charities,217735
ACVV Prins Albert,Charities,1032442
ACVV Richmond,Charities,327150
ACVV Riebeek Wes,Charities,1296992
ACVV Robertson,Charities,928149
ACVV Somerset East,Charities,892192
ACVV Somerset East,Charities,1612133
ACVV Somerset West,Charities,241605
ACVV Springbok,Charities,357329
ACVV Stellenbosch,Charities,639903
ACVV Strand,Charities,2046728
ACVV Touwsrivier,Charities,531576
ACVV Tulbagh,Charities,101588
ACVV Tulbagh,Charities,101587
ACVV Uitenhage,Charities,5115626
ACVV Uitenhage,Charities,22018
ACVV Uitenhage,Charities,467130
ACVV Upington,Charities,1302951
ACVV Williston,Charities,605564
ACVV Worcester,Charities,1078818
Adelaide Advice Office,Charities,384684
AFM Executive Welfare Council,Charities,1329000
Africa Unite,Charities,245475
Aganang Home Based Care,Charities,496400
Aganang Home Based Care,Charities,496400
Age In Action,Charities,8857457
"Agisanang Domestic Abuse Prevention
& Training",Charities,3706392
"Ahanang Parish Based Care
Organisation (APCO)",Charities,616322
Aids Care Training & Support Initiative,Charities,324968
"AIDS Mission Outreach Trust (Lebone
Centre)",Charities,402400
"AIDS Mission Outreach Trust (Lebone
Centre)",Charities,473300
Aletheia International Ministries,Charities,200512
Aletheia International Ministries,Charities,709000
Algoa Bay Council for the Aged,Charities,1162240
Allison Homes Trust,Charities,360000
Alma School,Charities,951112
Alma School,Charities,1205023
"Alzheimers & Related Dementia
Association",Charities,2086521
Amadea Safe House,Charities,514890
Amadea Safe House,Charities,285000
Amanzimtoti Child & Family Welfare,Charities,170225
Amatola Haven Old Age Home,Charities,610000
"Amcare (Alberton Methodist Care &
Relief Ent)",Charities,3941099
Amy Biehl Foundation Trust,Charities,1879937
Andries Marie Oosthuizen Tehuis,Charities,579365
Andries Marie Oosthuizen Tehuis,Charities,1101075
"Andries Olivier Durbanville Quadriplegic
Home",Charities,551855
Animal Anti Cruelty League (Durban),Charities,250000
Ann Harding Cheshire Home,Charities,996582
Ann Harding Cheshire Home,Charities,1545611
Antioch Health Care & Support Centre,Charities,779250
Anti-Tuberculosis Association KZN,Charities,283834
Anti-Tuberculosis Association KZN,Charities,683780
APD & Deaf Free State,Charities,1550682
APD Knysna,Charities,922493
APD Knysna,Charities,224698
APD Northern Province (Limpopo),Charities,1209246
APD Northern Province (Limpopo),Charities,9049279
Arebaokeng Hospice,Charities,1339000
Arthritis Foundation  SA,Charities,1001100
Aryan Benevolent Home Council,Charities,6373801
Association for Autism Pretoria,Charities,364353
Association for Autism Pretoria,Charities,641842
"Association for People with Disabilities
Gauteng North",Charities,1315229
"Association for People with Disabilities
Gauteng North",Charities,1468098
"Association for Persons with Physical
Disabilities PMB",Charities,27973
"Association for Persons with Physical
Disabilities PMB",Charities,361334
"Association for the Physically
Challenged - KZN",Charities,213690
"Association for the Physically
Challenged Newcastle",Charities,1050293
"Association for the Physically
Challenged South Natal",Charities,561344
"Association for the Physically Disabled
(Greater JHB)",Charities,1510648
"Association for the Physically Disabled
Port Elizabeth Region",Charities,2357023
"Association for the Physically Disabled
Western Cape",Charities,599557
Association for the Sensory Disabled,Charities,1125625
Association for the Sensory Disabled,Charities,318686
"Association Persons with Disababilities
Benede Oranje (APD Upington)",Charities,341664
"Association Physically Challenged -
PMB & Midlands",Charities,268442
Athlone House of Strength,Charities,325008
Atlehang Multipurpose Centre,Charities,66020
"Atteridgeville Association for the
Physically Disabled",Charities,983000
Aurora Alcohol & Drug Centre,Charities,688808
Aurora Special Care Centre,Charities,865630
Autism Sinethemba,Charities,400000
Autism South Africa,Charities,1410000
Autism Western Cape,Charities,1100000
Avalon Association,Charities,938100
Avril Elizabeth Home,Charities,2125288
Badiegile Community Project,Charities,402375
BADISA,Charities,49533411
"Bahlaloga Community Home Based
Care",Charities,175000
"Bahlaloga Community Home Based
Care",Charities,175000
Bambanani Day Care Centre,Charities,124745
BAMBI Bewaarskool (ACVV Bambi),Charities,481839
Bana Ba Motho Day Care Centre,Charities,262340
Bana Ba Motho Day Care Centre,Charities,262340
Banakekeleni (HIV/AIDS Orphanage),Charities,125400
Bana-Pele Youth & Day Care Centre,Charities,160110
Bana-Pele Youth & Day Care Centre,Charities,160110
"Baragwananth Hospital Comforts
Committee",Charities,55750
Barnard Molokoane Secondary School,Charities,417870
Barnard Molokoane Secondary School,Charities,249424
Bathurst Community Advice Office,Charities,40000
BB Myataza Secondary School,Charities,1206630
Beauty for Ashes Ministries,Charities,381700
Befrienders South Africa,Charities,326240
Bell Valley HIV Initiative,Charities,122200
Bell Valley HIV Initiative,Charities,402756
Bellinah Stimulation Centre,Charities,22494
Bellinah Stimulation Centre,Charities,22493
Berea Gardens Retirement Found,Charities,768783
Berea Gardens Retirement Found,Charities,698675
Berea Gardens Retirement Found,Charities,729444
"Bergprag Sentrum Vir Bejaardes
(Bethlehem)",Charities,134339
Bergzicht Training Centre,Charities,1784273
Bergzicht Training Centre,Charities,1392430
Bertoni Mercy Clinic,Charities,750000
Bet Sheekoom House of Restoration,Charities,340454
Bet Sheekoom House of Restoration,Charities,340453
Beth Shalom,Charities,1087890
Bethany Home,Charities,202600
Bethesda House of Hope,Charities,173500
Bethesda House of Hope,Charities,638240
Biblionef South Africa,Charities,1436834
Bishop Brenninkmeijer Relief Centre,Charities,195000
Black Sash Trust,Charities,2520000
Bloemfontein Tuberculosis Association,Charities,224608
Blood River Advice office,Charities,96679
Boikhutsong Community Centre - HBC,Charities,137077
Boitshoko Support Group,Charities,150000
Boitshoko Support Group,Charities,66514
"Bokamoso Community Development &
Health Centre",Charities,221590
"Bokamoso Community Development &
Health Centre",Charities,1318262
Bokamoso Day Care Centre,Charities,370890
Boksburg Society for the Aged,Charities,1042473
Boland Hospice,Charities,490000
Boland Hospice,Charities,300000
"Bonteheuwel Community Based
Paralegal Office",Charities,310000
"Bonteheuwel Community Based
Paralegal Office",Charities,67000
Bophelong Community Hospice,Charities,250000
Bophelong Day Care Centre,Charities,300000
Bophelong Day Care Centre,Charities,98000
Bosele Dawn Drop In Centre,Charities,221800
Bosele Dawn Drop In Centre,Charities,221800
Botrivier Advice & Development Centre,Charities,59750
Botrivier Advice & Development Centre,Charities,496178
Botshabelo (Abandoned Babies Shelter),Charities,1791900
Bovini Creche,Charities,33300
Bram Home Based Care Project,Charities,407236
Bredasdorp Child Welfare,Charities,773457
Breede River Hospice,Charities,742710
Breede River Hospice,Charities,622300
"Breedevallei Association for Disabled
(Worcester APD)",Charities,1178674
Bride of Christ,Charities,186000
Bright Morning Star Nursery School,Charities,954815
Bright Morning Star Nursery School,Charities,379750
Brits Hospice,Charities,781333
Browns School,Charities,607142
Buhlebesizwe Secondary School,Charities,1493000
Build a Better Society,Charities,594600
Bula Monyako Projects,Charities,1035290
Bultfontein Versorgingsdienste,Charities,766219
Busy Bee Hospice,Charities,4696790
Busy Bee Hospice,Charities,347038
Busy Bee Hospice,Charities,347038
Buyani Educare Centre,Charities,196980
Buzy Bee Day Care Centre,Charities,31881
Buzy Bee Day Care Centre,Charities,31881
Camama Cheshire Home,Charities,106270
Camdeboo Hospice,Charities,1144568
Camphill Farm Community Hermanus,Charities,495000
Camphill School (Hermanus),Charities,1208750
Canaan Care Centres,Charities,450000
Canaan Care Centres,Charities,219245
Canaan Care Centres,Charities,311500
Cancer Association of SA,Charities,18661508
"Cape Education Trust - Early Learning
Resource Unit",Charities,999484
Cape Flats Development Association,Charities,2058650
Cape Kidney Association,Charities,667380
Cape Mental Health Society,Charities,1404272
Cape Recife High School,Charities,277792
"Cape Town Association for the
Physically Disabled",Charities,1079974
Cape Town Child Welfare,Charities,3883806
Cape Town Society for the Blind,Charities,874000
Cape Youth Care,Charities,264126
Care Centre Hibberdene,Charities,1500000
Care Ministry,Charities,746240
Carel du Toit Trust (East London),Charities,126728
Careline Crisis & Trauma Centre,Charities,1268200
Caring Network,Charities,710617
Cart Horse Protection Association,Charities,159336
Catch Projects,Charities,584400
Catch Projects,Charities,937660
Catherine Robson Tehuis,Charities,486085
Catholic Health Care Association,Charities,3965480
Catholic Institute of Education,Charities,2117999
Catholic Welfare & Development,Charities,4448412
Catholic Welfare & Development,Charities,3909453
"Catholic Womens League, Pretoria",Charities,463498
"Cathulani Child & Family Welfare
Society",Charities,554396
"CBR Education & Training for Empower
(CREATE)",Charities,484700
Centre for Early Childhood Development,Charities,923340
Centre For Positive Care,Charities,1448500
Centurion Care of the Aged,Charities,638396
Centurion Hospice,Charities,509422
Cerebral Palsy Association - EC,Charities,550000
CFW Great Brak River,Charities,-20000
CFW Great Brak River,Charities,1118666
Chaeli Campaign,Charities,314142
"Chatsworth Child & Family Welfare
Society",Charities,2822000
Cheshire Home Merewent,Charities,991355
Cheshire Homes Durban (SCDIFA),Charities,251620
"Chilanga (Riding School for the
Disabled)",Charities,247500
Child  Welfare Society Vereeniging,Charities,542450
Child  Welfare Society Vereeniging,Charities,490000
"Child & Family Welfare Society
Bethlehem",Charities,2257048
"Child & Family Welfare Society Greater
Boksburg",Charities,1240907
"Child & Family Welfare Society of
Pietermaritzburg",Charities,2036901
"Child & Family Welfare Society
Vanderbijlpark",Charities,769000
"Child & Family Welfare Society Witbank
(Emalahleni)",Charities,517895
"Child in Crisis Trust (Bethany House
Trust)",Charities,1123061
Child Line North West,Charities,150000
Child Line North West,Charities,3488807
"Child Welfare Bloemfontein & Childline
FS",Charities,1782445
"Child Welfare Bloemfontein & Childline
FS",Charities,2209423
"Child Welfare DBN (Durban Childrens
Society)",Charities,5210485
Child Welfare Napier,Charities,704484
Child Welfare Napier,Charities,587387
Child Welfare Pampierstad,Charities,680000
Child Welfare SA - Western Cape,Charities,110000
Child Welfare SA - Western Cape,Charities,211932
Child Welfare SA Caledon/Genadendal,Charities,48278
Child Welfare SA Caledon/Genadendal,Charities,48278
Child Welfare SA Caledon/Genadendal,Charities,200000
Child Welfare SA Paarl,Charities,593080
Child Welfare SA- QwaQwa,Charities,66000
Child Welfare South Africa Bedford,Charities,947827
Child Welfare South Africa Stellenbosch,Charities,1053090
Childline Family Centre KZN,Charities,2020800
Childline Gauteng,Charities,3061552
Childline Limpopo,Charities,1294817
Childline Mpumalanga,Charities,998159
Childline South Africa,Charities,602300
Childlink Alberton  (CFW Alberton),Charities,1006314
Children on the Move,Charities,3822031
"Childrens Assessment & Therapy
Centre Trust",Charities,1416830
Children's Disability Centre,Charities,1333378
Children's Disability Centre,Charities,697327
"CHOC-Childhood Cancer Foundation
SA",Charities,5321418
"Choice Comprehensive Health Care
Trust",Charities,127600
"Choice Comprehensive Health Care
Trust",Charities,89640
Chris Day Care Centre,Charities,99950
Christelike Maatskaplike Raad Brits,Charities,439010
Christelike Maatskaplike Raad Brits,Charities,531439
"Christelike Maatskaplike Raad
Queenstown",Charities,804646
Christian Action for Dependence,Charities,150000
Christian Day Care Centre,Charities,58575
"Christian Social Council North (PTA
Central)",Charities,730077
Christian Social Council Benoni,Charities,1789379
"Christian Social Council Carolina
(Hendrina)",Charities,207432
"Christian Social Council Carolina
(Hendrina)",Charities,602986
Christian Social Council Ermelo,Charities,333075
Christian Social Council  Louis Trichardt,Charities,85780
Christian Social Council Mokopane,Charities,126106
Christian Social Council Moot,Charities,192409
Christian Social Council North,Charities,1072854
Christian Social Council Pretoria North,Charities,906027
"Christian Social Council Ring van
Linden",Charities,798529
Christian Social Council Roodeplaat,Charities,457415
Christian Social Council Witbank,Charities,567098
"Christian Social Services Council
Boksburg",Charities,430000
"Christian Social Services Council Port
Elizabeth",Charities,1461142
Christian Social Services Kempton Park,Charities,1500000
Christian Social Services Kempton Park,Charities,645100
Christine Revell Childrens Home,Charities,555658
"City Year SA Citizen Service
Organisation",Charities,100000
Cleary Estate Cheshire Home,Charities,320000
Clermont Community Resource Centre,Charities,820000
Clermont Community Resource Centre,Charities,652664
Clever Kiddies Day Care Centre,Charities,50000
Clouds of Hope,Charities,437177
Cluny Farm Centre,Charities,2064679
CMR  Delmas - CMR Springs,Charities,284851
CMR Gauteng East,Charities,761805
CMR Germiston,Charities,380831
CMR Humansdorp,Charities,1229397
CMR Johannesburg,Charities,1602672
CMR Pretoria West,Charities,374449
CMR Ring van Humansdorp,Charities,2180707
CMR Silverpark,Charities,345621
CMR Silverpark,Charities,1602384
CMR Soshanguve,Charities,100000
CMR van die Ring van Uitenhage,Charities,1548668
CMR van die Ring van Uitenhage,Charities,1158550
CMR Wonderboom,Charities,346216
Community Action Programme,Charities,50000
"Community Action towards Safer
Environment",Charities,932782
"Community Based Dev Prog
Management Edu",Charities,1096056
"Community Based Dev Prog
Management Edu",Charities,895908
"Community Development Resource
Association",Charities,381000
"Community Development Resource
Association",Charities,87750
Community Health Soup Kitchen,Charities,602395
Community Resources & Legal Advice,Charities,340700
Compassionate Friends,Charities,250000
Compassionate Friends,Charities,144000
Cornerstone Training Centre,Charities,400000
Cotlands,Charities,5200000
Council for the Aged - Kempton Park,Charities,1067332
Council for the Aged - Kempton Park,Charities,602734
Creating Effective Families,Charities,1000000
Cresset House,Charities,758110
CSC Lydenburg,Charities,368941
Custoda Trust,Charities,751686
Custoda Trust,Charities,816131
CWR Mpumalanga,Charities,741151
Daily Bread Outreach,Charities,258324
Daisy's Day Care & Pre-School,Charities,300000
Dana Tehuis vir Senior Burgers,Charities,752932
De La Bat Skool,Charities,1265279
De La Bat Skool,Charities,1265278
Deaf Community of Cape Town,Charities,518000
Deaf Federation of SA,Charities,591000
Deaf Federation Western Cape,Charities,350000
Deans Shelter / Deansgate,Charities,442573
Deans Shelter / Deansgate,Charities,1108091
Deutsches Altersheim Pretoria,Charities,853173
Devrede Drop In Centre,Charities,334280
Diakonia Council of Churches,Charities,156525
Dienssentrum Effata vir Dowes,Charities,250383
"Dienssentrum Strandcare Service
Centre",Charities,190408
"Diketso Eseng Dipuo Community
Development Trust",Charities,8117369
Dinkwe Primary School,Charities,266520
Dirang Ka Kagiso,Charities,125800
Dirisanang Drop in Centre,Charities,118375
Dirisanang School,Charities,543357
Dirwa Day Care Centre,Charities,13841
"Disability Workshop Development
Enterprise",Charities,411000
"Disability Workshop Development
Enterprise",Charities,615200
Disabled People of South Africa,Charities,6906116
Disha Home Based Care,Charities,278999
Dockda Rural Development Agency,Charities,1866050
Dockda Rural Development Agency,Charities,394860
"Domestic Violence Assistance
Programme",Charities,3578081
Dominican-Grimley School,Charities,317498
Dordrecht Legal Advice Office,Charities,573844
Down Syndrome Association (W Cape),Charities,967983
Down Syndrome Association Gauteng,Charities,591600
Down Syndrome Association KZN,Charities,258000
Down Syndrome Association KZN,Charities,284000
Down Syndrome Association Pretoria,Charities,1049650
Down Syndrome Gauteng,Charities,290300
"Drakenstein Centre for Persons with
Disabilities",Charities,551690
Dumisani Pre-School,Charities,164405
Durban & Coastal Mental Health,Charities,4503638
Durban & Coastal Mental Health,Charities,2826167
Durban Association for the Aged,Charities,2270684
Durban Childrens Home,Charities,953200
Durban School for the Hearing Impaired,Charities,613508
Durban YMCA,Charities,469615
Durban YMCA,Charities,1252035
"Dysselsdorp Community Aftercare
Centre",Charities,506747
"Early Learning Foundation (Montessori
Teacher)",Charities,180000
"Early Learning Foundation (Montessori
Teacher)",Charities,423900
East London Childrens Home,Charities,2019191
East London HTA Project,Charities,355840
East London Senior Citizens Association,Charities,417998
East Rand Protective Workshop,Charities,295000
East Rand Protective Workshop,Charities,2070000
Eastern Cape Autism Association,Charities,250000
"Eastern Province Child & Youth Care
Centre",Charities,2285484
"Ebenezer Training House for Early
Learning",Charities,425201
Ebenhaeser Dienssentrum,Charities,273995
ECD Projects,Charities,630000
Echo Foundation,Charities,2314759
"Edenvale Child & Family Welfare
Society",Charities,300000
Edenvale Old Age Home,Charities,975855
Edith Smith Old Age Home (SAVF),Charities,865806
"Educational Support Services Trust
Trading",Charities,3937427
Educo Trust of Africa,Charities,1294528
Edutak,Charities,922077
"Eersterust Welfare Organisation for the
Aged",Charities,3241350
Egugulethu Pre School,Charities,164812
Ekklesiapark Tuiste vir Bejaardes,Charities,451176
Ekujabuleni Children's Home,Charities,1441561
"Ekupholeni Mental Health & Trauma
Centre",Charities,1549148
Ekuthuleni Home Based Care,Charities,228150
ELC Emseni Old Age Home,Charities,590791
Eldorado Park Family Crisis Centre,Charities,925703
Elim Home,Charities,1155893
Elim-Hlanganani Society for the Aged,Charities,1275377
Elim-Hlanganani Society for the Aged,Charities,1315377
Elkana Childcare,Charities,1698406
Elliot Home for the Aged,Charities,662618
Elsen Academy,Charities,335965
Elsies River Social Welfare Association,Charities,487860
Eluxolweni Charitable Trust,Charities,868000
Emily Hobhouse Housing,Charities,225987
Emily Hobhouse Housing,Charities,1010038
Emma Barter Home,Charities,484973
Emmanuel Pre School,Charities,511161
Emmaus Protective Workcentre,Charities,458781
Emoyeni Educare Centre,Charities,300000
Empilisweni Day Care,Charities,50900
Empilisweni Day Care,Charities,50899
Empilweni Home,Charities,455946
Empilweni Home,Charities,3917948
Empilweni Home Based Care,Charities,297515
Employment Solutions,Charities,1034024
Emuseni Centre for the Aged,Charities,496399
"Enable Education, Training &
Development Initiative",Charities,-88641
Enlighten Education Trust,Charities,187000
Enlighten Education Trust,Charities,176343
Epilepsy SA (Western Cape Branch),Charities,1430000
Epilepsy SA Knysna,Charities,1951865
Epilepsy SA KZN Midlands,Charities,1115396
"Epilepsy SA Mpumalanga - Limpopo
(Dullstroom)",Charities,2081144
Epworth Childrens Home,Charities,4275543
Epworth Childrens Home,Charities,2060000
Eric Miles Cheshire Home,Charities,1284790
Eshowe Child & Family Welfare Society,Charities,554065
Essa Christian Aids Program,Charities,273171
Estcourt Homes for Aged,Charities,68455
Estcourt Hospice Association,Charities,544000
Etafeni Day Care Centre Trust,Charities,1305028
Ethembeni Day Care Centre,Charities,381500
Ethembeni-HIV/AIDS Ministry,Charities,1000000
Eureka School Funds,Charities,270000
Evanna SAVF Home,Charities,625587
Evanna SAVF Home,Charities,1618889
Fahloshanang Bakgaga Centre,Charities,838940
Family  Health & Communication,Charities,150900
Family Health Services,Charities,231000
Family Life Centre (FAMSA National),Charities,2150917
Family Life Centre (FAMSA National),Charities,1732616
Family Literacy Project,Charities,670000
FAMSA Bloemfontein,Charities,1493064
FAMSA Bloemfontein,Charities,1293740
Famsa Boland Drakenstein Area,Charities,856404
Famsa Boland Drakenstein Area,Charities,166188
FAMSA Boland Overberg,Charities,910600
FAMSA Boland Overberg,Charities,812600
FAMSA Durban,Charities,3450180
FAMSA East London,Charities,857536
FAMSA Karoo,Charities,2053450
FAMSA National Office,Charities,1336490
FAMSA National Office,Charities,2573340
FAMSA Northern Mpumalanga,Charities,118860
FAMSA Outeniqua,Charities,1914120
FAMSA Outeniqua,Charities,599500
FAMSA Port Elizabeth,Charities,987872
FAMSA Port Elizabeth,Charities,1262252
FAMSA Potchefstroom,Charities,1082356
FAMSA Pretoria,Charities,834326
FAMSA Stutterheim,Charities,724079
FAMSA Upington,Charities,2591500
FAMSA Upington,Charities,934000
FAMSA Vaal Triangle,Charities,882955
Famsa Welkom (NFS),Charities,1118536
FAMSA Western Cape,Charities,2647283
Far North Alcohol & Drug Centre,Charities,-68850
Fasfacts,Charities,4351052
Feed the Babies Fund,Charities,300000
Filadelfia Secondary School,Charities,838097
Floroma Frail Aged Home,Charities,569243
"Flower Foundation Homes for Aged
(South Natal)",Charities,33250
Folang Home Community Based Care,Charities,240333
Food Gardens Foundation,Charities,459361
"Foodbank SA (Feedback Food
Redistribution)",Charities,1000000
Forest Farm Centre,Charities,900000
Fort Beaufort Advice Office,Charities,210300
"Foundation for Community Work
(Western Cape)",Charities,1458542
Franschhoek Legal Advice Centre,Charities,307500
Frederic Place - Home for the Aged,Charities,2494840
Freedom Care CBO,Charities,73000
"Freedom Care Communities Base
Organisation",Charities,223170
Friend in Need,Charities,412000
Friend in Need,Charities,370215
Friends for Life,Charities,640938
Friends of Rescued Animals,Charities,145000
Friends of Vista Nova,Charities,420077
Friends of Vista Nova,Charities,500000
Future View HBC,Charities,138800
Gagokalafi,Charities,383000
Ga-Phala Service Club for the Aged,Charities,1244425
Ga-Phala Service Club for the Aged,Charities,1244425
Ga-Rankuwa YMCA,Charities,240500
"Gateway Society (for the Mentally
Disabled)",Charities,703732
Gauteng Childrens Rights Committee,Charities,794000
Gauteng Kidney Association,Charities,1084600
"Gauteng Provincial Association for
Persons with Disabilities",Charities,869529
Gembou Aksie,Charities,480917
Genadendal Legal Info Desk,Charities,187247
Gender Dynamix,Charities,236475
"George Association for the Physically
Disabled",Charities,-40056
George Child & Family Welfare Society,Charities,400000
George Mbilase Primary School,Charities,3899500
George Mbilase Primary School,Charities,3899500
Get Ready Information Services,Charities,300000
Gijamphezeni Primary School,Charities,303985
