Date,"Project Number",Name,Amount
2017-10-13T00:00:00Z,86208,"THE INTEGRATED COMMUNITY DEVELOPMENT PROGRAMME TRUST",476950.0
2017-06-29T00:00:00Z,86209,"SILVER THREADS DIENSSENTRUM",1625500.0
2017-08-23T00:00:00Z,86210,"VISUAL ARTS CHERRY",475000.0
2017-10-12T00:00:00Z,86216,"KORWE MULTI PURPOSE CENTRE",152500.0
2017-09-01T00:00:00Z,86222,"THE PARENT CENTRE",288743.0
2017-05-12T00:00:00Z,86224,"7TH HEAVEN CHILDREN'S HAVEN",459212.0
2018-02-09T00:00:00Z,86233,"MABOLOKA PRE",141000.0
2018-02-09T00:00:00Z,86234,"POLOKONG PRE",140000.0
2017-05-03T00:00:00Z,86236,"KUNGWINI EARLY LEARNING CENTRE",338382.0
2017-11-02T00:00:00Z,86240,"THUTO BOPHELO",150000.0
2017-06-13T00:00:00Z,86246,"OOSTERLAND CHILD & YOUTH CARE CENTRE",995247.0
2018-01-16T00:00:00Z,86250,"LETHABONG PRE & CRECHE",181000.0
2018-03-16T00:00:00Z,86251,"THUTHUKANI CRECHE & PRE",100000.0
2017-08-08T00:00:00Z,86256,"NOMA'S CARE CENTRE FOR THE AGED",813666.0
2017-05-03T00:00:00Z,86258,"AMANGWE VILLAGE",383694.0
2018-03-16T00:00:00Z,86258,"AMANGWE VILLAGE",300000.0
2017-08-23T00:00:00Z,86261,"GARAGE DANCE ENSEMBLE",100000.0
2017-05-12T00:00:00Z,86262,"ACVV SOMERSET OOS",136620.0
2018-03-16T00:00:00Z,86264,"KATIA DAY CARE CENTRE",186500.0
2017-06-12T00:00:00Z,86269,"MEMORABLE ORDER OF TIN HATS WOMEN'S AUXILIARY NATIONAL HEAD",148887.0
2017-09-07T00:00:00Z,86275,"TSHWANE NORTH OUTREACH",666000.0
2017-05-12T00:00:00Z,86279,"CMSL COMMUNITY TRUST",342668.0
2017-06-29T00:00:00Z,86295,"KINGDOM MINISTRIES TRUST",302500.0
2017-08-30T00:00:00Z,86298,"UGGY'S DAY CARE CENTER",233500.0
2017-06-21T00:00:00Z,86299,"KARABELO CRECHE AND PRE",449000.0
2018-02-09T00:00:00Z,86300,"KULANI VAKOKWANA PROJECT",77000.0
2017-05-23T00:00:00Z,86319,"THE DOMINO FOUNDATION",472000.0
2017-11-28T00:00:00Z,86324,"FAMILIES SOUTH AFRICA",295693.0
2017-08-01T00:00:00Z,86325,"CHILD WELFARE SOUTH AFRICA : FORT BEAUFORT",599300.0
2017-04-12T00:00:00Z,86326,"SAVF ISITIMELA CRECHE",55000.0
2018-01-16T00:00:00Z,86326,"SAVF ISITIMELA CRECHE",46000.0
2017-10-13T00:00:00Z,86327,"MAMELANI PROJECTS",400000.0
2017-05-12T00:00:00Z,86328,"CHILD WELFARE SOUTH AFRICA: SOMERSET EAST",788609.0
2017-11-28T00:00:00Z,86332,"PROJECT GATEWAY",590000.0
2017-05-12T00:00:00Z,86333,"SOUTH AFRICAN SEA CADETS",398000.0
2017-06-23T00:00:00Z,86338,"ARTS SCENE FOUNDATION",95571.0
2018-02-09T00:00:00Z,86339,"SANTA PORT ELIZABETH",334469.0
2018-03-16T00:00:00Z,86340,"CHESHIRE HOMES SOUTH AFRICA",340000.0
2017-10-02T00:00:00Z,86344,"THABONG CRECHE AND PRE",162500.0
2017-05-12T00:00:00Z,86345,"JOY HOME BASED CARE DROP IN CENTRE",277611.0
2017-10-12T00:00:00Z,86346,"SOWETO BRANCH OF LEONARD CHESHIRE",1252947.0
2017-09-28T00:00:00Z,86348,CHRISTELIK,302870.0
2017-04-21T00:00:00Z,86352,"LESANG BANA EDUCARE CENTRE",122000.0
2017-06-08T00:00:00Z,86355,"MAAKE HIV/AIDS AND YOUTH GUIDE",100000.0
2017-09-28T00:00:00Z,86367,"BOHLALE EDUCARE CENTRE",191500.0
2017-12-15T00:00:00Z,86375,"AHITIRHISANENI COMMUNITY SERVICE CENTRE",143000.0
2018-03-16T00:00:00Z,86377,"IKETLENG DAY CARE",135500.0
2017-10-02T00:00:00Z,86378,"VAAL ECHOES OF LOVE NPC",125500.0
2017-09-28T00:00:00Z,86389,"EDINBURG C CRECHE",142500.0
2017-11-14T00:00:00Z,86398,"ZASELANGENI HIV/AIDS AND VCT PROJECTS",282866.5
2017-05-12T00:00:00Z,86400,"MTHIMBA HOME BASED CARE",236900.0
2018-03-16T00:00:00Z,86402,"WITBANK HOSPICE",989000.0
2017-05-25T00:00:00Z,86410,"THE SUNSHINE CENTRE ASSOCIATION",376647.0
2017-10-13T00:00:00Z,86426,"ITEMOHENG EDU",162963.0
2017-09-13T00:00:00Z,86429,"MABOSHWANE EDUCARE CENTRE",164750.0
2017-08-08T00:00:00Z,86430,"THABO YA RONA DAY CARE CENTRE",101400.0
2017-09-01T00:00:00Z,86433,"SEIKOKOTLELO DAY CARE CENTRE",152315.0
2017-05-12T00:00:00Z,86435,"TIRISANO DAY",166245.0
2017-12-15T00:00:00Z,86440,"YOUNGSTARS NERSERY AND PRE",146000.0
2017-05-11T00:00:00Z,86441,"KATLEGO CRECHE",113500.0
2017-05-05T00:00:00Z,86443,"ESIBONELO ESIHLE DAY CARE CENTRE",122000.0
2017-12-14T00:00:00Z,86448,"ABC NURSERY AND PRE",104000.0
2017-07-26T00:00:00Z,86449,"MODIMONG CRECHE",1000000.0
2017-10-12T00:00:00Z,86456,"VULAMEHLO PRE CRECHE",80000.0
2017-05-03T00:00:00Z,86461,"INJONGOYETHU WOMEN'S ORGANISATION",140200.0
2018-03-16T00:00:00Z,86461,"INJONGOYETHU WOMEN'S ORGANISATION",140200.0
2017-05-12T00:00:00Z,86463,"KROONSTAD SENTRUM VIR BERJAARDES",246052.0
2017-09-07T00:00:00Z,86467,"VILJOENSKROON SENTRUM VIR BEJAARDES",156000.0
2017-10-13T00:00:00Z,86471,"FIRST AID TO DISABLED AND DRUG ABUSE",217587.0
2017-05-03T00:00:00Z,86472,"BONESANG CHILDCARE CENTRE",177527.0
2017-09-07T00:00:00Z,86473,"NTSOANATSATSI EDUCARE TRUST",577500.0
2017-09-07T00:00:00Z,86475,"ST Vincent Children's Home",1200000.0
2017-04-19T00:00:00Z,86482,"MONONTSHA CRECHE",169147.0
2017-04-19T00:00:00Z,86483,"RETHABILE MULTIPURPOSE EDUCARE CENTRE",272500.0
2017-06-21T00:00:00Z,86484,"KOPANANG EDUCARE CENTRE",168149.0
2017-07-07T00:00:00Z,86486,"KEFILWE MPHO FOUNDATION",561015.0
2017-06-21T00:00:00Z,86487,"RIVERSIDE CRECHE",187449.0
2018-01-12T00:00:00Z,86488,"REITIRETSE EARLY LEARNING CENTRE",79200.0
2017-05-05T00:00:00Z,86492,"TSHWARA OTIISE CRECHE",1279274.0
2017-08-15T00:00:00Z,86495,"THEMBA CLUB",943000.0
2017-11-21T00:00:00Z,86499,"SANCA DURBAN ALCOHOL AND DRUG CENTRES",1096292.0
2017-12-15T00:00:00Z,86509,KWAZE,136600.0
2017-09-07T00:00:00Z,86510,"Lethukukhanya Crisis And Development Centre",222099.0
2017-11-28T00:00:00Z,86522,"NONTSIKELELOKWAZULU PRE",135150.0
2017-09-28T00:00:00Z,86526,"RETINA SOUTH AFRICA",417448.0
2018-02-15T00:00:00Z,86527,"KWAZULU NATAL CHRITELIKE MAATSKAPLIKE DIENSTE",2549551.0
2017-12-14T00:00:00Z,86528,"AVRIL ELIZABETH FOR THE MENTALLY HANDICAPPED",140000.0
2017-12-15T00:00:00Z,86536,"RETINA SOUTH AFRICA (GAUTENG BRANCH)",137290.0
2017-06-13T00:00:00Z,86540,"MARAIS STEYN HOME FOR THE AGED/MARAIS STEYN HUIS VIR BEJAARDES",180000.0
2017-07-07T00:00:00Z,86547,"SAVF RODEONHOF OUETEHUIS",101172.0
2017-12-14T00:00:00Z,86548,"MUSCULAR DYSTROPY FOUNDATION GAUTENG",141000.0
2017-10-27T00:00:00Z,86549,"REATLEGILE PRE SCHOOL",160000.0
2017-12-20T00:00:00Z,86561,"ZITHOBENI CARE CENTRE",135500.0
2018-01-16T00:00:00Z,86573,"WOMEN AND MEN AGAINST CHILD ABUSE",96000.0
2017-08-08T00:00:00Z,86577,"NEO E BONOLO DROP IN CENTER",306876.0
2017-05-03T00:00:00Z,86578,"LESEDI SETJHABENG DAY CARE CENTRE",172300.0
2017-05-17T00:00:00Z,86579,"WITBANK SOCIETY FOR THE AGED",1284158.0
2017-11-14T00:00:00Z,86584,"ISIQALO DAY CARE",165000.0
2018-01-16T00:00:00Z,86586,"RETHABILE PRE",156500.0
2017-12-15T00:00:00Z,86595,"LEOPE CRECHE",170042.0
2017-11-28T00:00:00Z,86602,"SUNGULANI CRECHE PRE",99100.0
2017-09-28T00:00:00Z,86604,"IKWEZI LOMSO DAY CARE",320761.0
2017-06-29T00:00:00Z,86608,"THOKOZA DAY CARE",254577.0
2018-03-07T00:00:00Z,86612,COMMUNITY,140000.0
2017-05-17T00:00:00Z,86623,"TSHEPONG PRE",346083.0
2017-12-14T00:00:00Z,86627,"ISANDLA PRE",120000.0
2017-11-23T00:00:00Z,86633,"NATAL WOMEN RESOURCE CENTRE NPC",699390.0
2017-08-23T00:00:00Z,86637,"THABANG CHILDREN'S HOME",275600.0
2018-03-16T00:00:00Z,86643,"ARISE & SHINE DAY CARE & PRE",130000.0
2017-12-14T00:00:00Z,86645,"PHAHAMANG PRE",138000.0
2018-03-16T00:00:00Z,86648,"MODIMO O LERATO CRECHE",100000.0
2017-12-15T00:00:00Z,86654,"EAGLE TRAINING DEVELOPMENT",261500.0
2017-05-05T00:00:00Z,86658,"MOSAIC COMMUNITY DEVELOPMENTS",300000.0
2018-01-16T00:00:00Z,86658,"MOSAIC COMMUNITY DEVELOPMENTS",136872.0
2017-05-05T00:00:00Z,86663,"SANCA EASTERN GAUTENG ALCOHOL AND DRUG CENTRE",817000.0
2017-05-05T00:00:00Z,86672,"THE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS TSHWANE",1204992.0
2017-11-14T00:00:00Z,86674,"BONGINHLANHLA STIMULATION CENTRE",141500.0
2017-11-28T00:00:00Z,86696,"NTATAISE PRE",148700.0
2017-11-21T00:00:00Z,86702,"NEEMA FOUNDATION",97000.0
2017-11-28T00:00:00Z,86709,"TSHWARAGANANG KGOTHLELLE MUNSIEVILLE DISABLED PEOPLE ORGANISATION",153400.0
2018-02-09T00:00:00Z,86711,"PHOMOLONG CRECHE",135450.0
2017-06-12T00:00:00Z,86716,"BOKAMOSO EDU",161500.0
2017-05-03T00:00:00Z,86726,"KWANGCOLOSI CHILD AND FAMILY CARE",150250.0
2017-05-03T00:00:00Z,86727,"VRYSTAAT VERSORGING IN AKSIE SON SKYN DIENSSENTRUM",508000.0
2017-04-21T00:00:00Z,86730,"THE KWAZULU",619700.0
2018-02-09T00:00:00Z,86745,"PIETERMARITZBURG CHILDREN'S HOMES",356309.0
2017-07-07T00:00:00Z,86752,"EMBOCRAFT TRAINING TRUST",434770.0
2018-01-18T00:00:00Z,86754,"NAKA ISIZWE SETHU HEALTH CARE PROJECT",112000.0
2017-11-23T00:00:00Z,86757,"AUTISM SOUTH AFRICA",1858140.0
2017-11-28T00:00:00Z,86761,"HLALANATHI DAY CARE AND PRE",136000.0
2017-10-02T00:00:00Z,86763,"NG WELSYN NOORDWES",59500.0
2018-01-18T00:00:00Z,86765,"NEW JERUSALEM CHILDREN'S HOME",3541006.0
2017-05-12T00:00:00Z,86766,"SELEME UNITED FOOTBALL CLUB",58762.0
2017-06-29T00:00:00Z,86768,"NHLAKANIPHO EARLY CHILDHOOD DEVELOPMENT CENTRE",100000.0
2017-05-05T00:00:00Z,86771,"LEHAE LA BANA DAY CARE CENTRE",122000.0
2017-06-13T00:00:00Z,86773,VULAMEHLO,282500.0
2017-08-08T00:00:00Z,86775,"SIZANANI COMMUNITY DEVELOPMENT PROJECT",111500.0
2017-12-14T00:00:00Z,86777,"BASADI PELE FOUNDATION PROJECT",154000.0
2017-06-12T00:00:00Z,86782,"RATANDA THANDISIZWE DAY CARE",200000.0
2018-01-18T00:00:00Z,86783,"ADVENT CRECHE & PRE",140800.0
2017-10-13T00:00:00Z,86785,"AZALEAHOF ACVV DIENSTAK",100000.0
2017-11-28T00:00:00Z,86787,"LOTSHA SUPPORT ORGANISATION",148000.0
2017-06-29T00:00:00Z,86788,"TUINDORP VAN RIEBEECK BEHUISINGSUTILITEITMAATSKAPPY",45000.0
2017-08-23T00:00:00Z,86796,"E.LESEGO EDUCARE",415000.0
2017-08-01T00:00:00Z,86797,"CAPE TOWN CHILD WELFARE SOCIETY",3684240.0
2017-12-20T00:00:00Z,86807,"BOKAMOSO CHILDREN'S PARADISE DAY CARE",133200.0
2017-06-08T00:00:00Z,86816,"THUSANG SETSHABA DROP IN CENTRE",145500.0
2017-09-07T00:00:00Z,86818,"CAMPHILL FARM COMMNUTY",555000.0
2017-11-23T00:00:00Z,86820,"COMMUNITY LAW AND RURAL DEVELOPMENT CENTRE INCORPORATED",659900.0
2018-03-16T00:00:00Z,86825,"BAIKEMEDI HOME BASED CARE",253060.0
2017-10-27T00:00:00Z,86829,"THE INSTITUTE FOR THE HEALING OF MEMORIES",903500.0
2018-03-16T00:00:00Z,86833,"KGAHLISO DAY CARE CENTRE",82000.0
2018-03-05T00:00:00Z,86838,"THEMBELISHA  DAY CARE CENTRE",147545.0
2017-12-20T00:00:00Z,86842,"SUNSHINE DAY CARE AND PRE",153150.0
2018-01-18T00:00:00Z,86844,"CENTURION RAAD VIR BEJAARDES",133400.0
2017-06-08T00:00:00Z,86845,"DZATA VICTIM EMPOWERMENT",100000.0
2018-02-09T00:00:00Z,86845,"DZATA VICTIM EMPOWERMENT",89500.0
2017-05-12T00:00:00Z,86850,"LAKE FARM CENTRE AID ASSOCIATION",310000.0
2017-04-21T00:00:00Z,86853,KWAZULU,515000.0
2017-08-21T00:00:00Z,86856,"Verulam Regional Hospice Association",764000.0
2017-12-15T00:00:00Z,86857,"PORT ELIZABETH DOWN SYNDROME ASSOCIATION",345000.0
2017-10-12T00:00:00Z,86859,"VUSISIWE CENTRE",141672.0
2017-12-14T00:00:00Z,86862,"THE TOMORROW TRUST",405000.0
2017-05-03T00:00:00Z,86867,"LUKAS PROJEK",126500.0
2017-05-12T00:00:00Z,86869,"THE EASTERN PROVINCE CHILDREN'S HOMES",792604.0
2018-03-26T00:00:00Z,86880,"POSITIVE WOMEN'S NETWORK",150700.0
2017-12-15T00:00:00Z,86883,"SOUTH COAST HOSPICE ASSOCIATION",596692.0
2017-04-12T00:00:00Z,86884,DLALANATHI,737526.0
2017-11-28T00:00:00Z,86885,"SIYABATHANDA ABANTWANA ORPHANS ORGANISATION (WE LOVE ORPHANS)",108000.0
2017-05-03T00:00:00Z,86887,"ELLIOT TEHUIS VIR BEJAARDES",153533.0
2017-04-07T00:00:00Z,86888,"The Pevensey Place Association",810000.0
2017-09-07T00:00:00Z,86890,"Howick Hospice Association",540000.0
2017-08-30T00:00:00Z,86898,"BOITEKO REA",260000.0
2017-04-21T00:00:00Z,86902,"BOITHAOPO CIRCLES OF THE CARE",473000.0
2017-04-19T00:00:00Z,86905,"CHESHIRE HOME SUMMERSTRAND",1623805.0
2017-07-07T00:00:00Z,86906,"CARE NET DEVELOPMENT AND SUPPORT ORGANISATION",183617.0
2018-01-16T00:00:00Z,86916,"TSHEPANG CRECHE",165600.0
2017-12-14T00:00:00Z,86921,"NTATAISE DAY CARE CENTRE",145600.0
2017-04-19T00:00:00Z,86926,"CHRISTELIK MAATSKAPLIKE RAAD VAN DIE DRAKENSBERG",469819.0
2017-05-12T00:00:00Z,86929,SAVF,158300.0
2018-02-09T00:00:00Z,86934,"BOTSHABELO COMMUNITY CARE CENTRE",100000.0
2017-06-08T00:00:00Z,86936,"IKHWEZILOKUSA PSYCHIATRIC HOME",500000.0
2017-04-19T00:00:00Z,86938,"ARE AGANENG OLD AGE HOME",148000.0
2018-01-16T00:00:00Z,86938,"ARE AGANENG OLD AGE HOME",100000.0
2017-08-30T00:00:00Z,86939,"PIET POTGIETER: TAK VAN MONUMENTTEHUIS VAN DIE N H S V GROEP",137784.0
2017-06-29T00:00:00Z,86944,"LORD IS MY SHERPHARD CRECHE",104500.0
2017-08-25T00:00:00Z,86948,"REBABALLENG EDUCARE CENTRE",106500.0
2017-11-21T00:00:00Z,86953,"MPUMELELO DAY CARE & PRE",80000.0
2017-04-21T00:00:00Z,86956,"CATHOLIC COMMUNITY SERVICES OF THE DIOCESE OF BETHLEHEM",4041420.0
2017-04-21T00:00:00Z,86963,"LESEDI LA POLOKO EDUCARE CENTRE",175707.0
2018-03-14T00:00:00Z,86963,"LESEDI LA POLOKO EDUCARE CENTRE",175707.0
2017-12-15T00:00:00Z,86973,"KATLEGO KA TSHEPO",154000.0
2018-02-09T00:00:00Z,86979,COUNTRY,145000.0
2018-02-15T00:00:00Z,86980,THUTO,134700.0
2017-11-21T00:00:00Z,86984,"PHILANGEZWI AIDS CARE& SUPPORT PROGRAMME",180000.0
2017-05-05T00:00:00Z,86985,"BEAUTIFUL HOPE DAY CARE CENTRE",162000.0
2018-01-16T00:00:00Z,86985,"BEAUTIFUL HOPE DAY CARE CENTRE",100000.0
2017-05-03T00:00:00Z,86986,"CHILD WELFARE SOUTH AFRICA: PORT ALFRED",658935.0
2017-08-25T00:00:00Z,86991,"HEALING OUTREACH PEOPLES DEVELOPMENT AND EVANGELISM SERVICES (HOPE)",387000.0
2017-05-05T00:00:00Z,86994,"SAKHI SIZWE DAY CARE CENTRE",106500.0
2017-12-20T00:00:00Z,86995,IKUSASA,151378.0
2017-09-28T00:00:00Z,87007,"SOUTH AFRICAN NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE:  NORTHERN KWAZULU NATAL",636589.0
2017-05-05T00:00:00Z,87008,"GIFT EDU",100889.0
2017-06-29T00:00:00Z,87013,"THUSANANG HOME BASE CARE AND PALLIATIVE CARE",263700.0
2017-04-21T00:00:00Z,87019,"THE SEVAUNITE TRUST",136500.0
2018-02-28T00:00:00Z,87027,"DINALEDI DAY CARE AND PRE",138500.0
2017-12-14T00:00:00Z,87031,"YAKHA IKUSASA HEALTH DEVELOPMENT CENTRE",131000.0
2017-08-23T00:00:00Z,87037,"GOD IS ABLE CARE CENTRE",80500.0
2018-02-15T00:00:00Z,87039,"LESEDI PRE",137000.0
2017-05-05T00:00:00Z,87043,"REBELEGENG DAY CARE CENTRE",542066.0
2017-07-20T00:00:00Z,87044,"SANCA VAAL TRIANGLE",702057.0
2018-03-26T00:00:00Z,87047,"SIZANANI HOME BASED CARE GIVER PROJECTS",147310.0
2017-07-24T00:00:00Z,87050,"IKEKETSENG CHILD CARE CENTRE",357000.0
2017-08-30T00:00:00Z,87053,"TSHIRELETSO SUPPORT GROUP AND HOME BASED CARE",430500.0
2017-12-20T00:00:00Z,87054,"EERSTERUST WELSYNSORGANISASIE VIR BEJAARDES",257260.0
2017-10-27T00:00:00Z,87055,"THUTO LESEDI PRE SCHOOL",134000.0
2017-08-23T00:00:00Z,87056,"1000 HILLS COMMUNITY HELPERS CRECHE AND PRE",604594.0
2018-03-12T00:00:00Z,87059,"CENTURUS COLLEGES NOW KNOWN AS THE IZZY TRUST",80000.0
2018-01-29T00:00:00Z,87065,"BOITUMELO PRE",125500.0
2017-04-26T00:00:00Z,87066,"KGOMOTSEHANG THUTO ITSILE PRE",331500.0
2018-01-19T00:00:00Z,87067,CHRISTELIK,100026.0
2018-03-16T00:00:00Z,87080,"YENZOKUHLE CRECHE",131999.0
2017-10-12T00:00:00Z,87081,BANA,364000.0
2017-04-21T00:00:00Z,87086,"PORT ALFRED BENEVOLENT SOCIETY",280900.0
2017-08-23T00:00:00Z,87087,"THUTHUKANAI DAY CARE CENTRE FOR THE AGED",402434.0
2017-08-15T00:00:00Z,87089,"LETHIMPILO ELANGENI COMMUNITY DEVELOPMENT PROGRAM",138750.0
2017-11-28T00:00:00Z,87090,"THABANG EDUCARE",135000.0
2017-10-27T00:00:00Z,87092,"TSHEPO DAY CARE AND PRE SCHOOL",50000.0
2018-03-02T00:00:00Z,87093,"FLOWER FOUNDATION, PRETORIA HOMES FOR THE AGED",139470.0
2017-05-17T00:00:00Z,87094,"PALMRIDGE SENIOR CITIZENS CLUB",177500.0
2017-05-03T00:00:00Z,87102,"SIPHUTHANDO HOME BASED CARE",143730.0
2017-11-28T00:00:00Z,87103,"ENTHUTHUKWENI CRECHE AND PRE SCHOOL",158600.0
2017-06-29T00:00:00Z,87105,"TROMPSBURG SENTRUM VIR BEJAARDES",241370.0
2017-11-21T00:00:00Z,87108,"CMR: PRETORIA WEST",221229.0
2017-08-23T00:00:00Z,87109,"HUIS TARKASTAD",255000.0
2017-06-29T00:00:00Z,87112,"MAKHABANE CHILD CARE PROJECT",161595.0
2017-12-15T00:00:00Z,87115,"ITHEMALETHU OUTREACH PROJECTS",100000.0
2017-05-12T00:00:00Z,87118,"A C V V KIRKWOOD",47810.0
2017-08-23T00:00:00Z,87119,"TSHANDAMA/ LUKAU DROP IN CENTRE",163300.0
2017-05-05T00:00:00Z,87121,HUGG,261500.0
2017-06-13T00:00:00Z,87126,"VUYANI SAFE HAVEN",420421.0
2017-09-07T00:00:00Z,87129,"TULBAGH ACVV DIENSTAK",226000.0
2017-12-20T00:00:00Z,87131,"KAMOHELO RESIDENTIAL & DAY CARE CENTRE",125000.0
2018-02-28T00:00:00Z,87136,CHANGEABILITY,312968.0
2017-10-12T00:00:00Z,87138,"ILISO PROJECT",664970.0
2017-11-07T00:00:00Z,87142,"ORANJE VV VREDE",677500.0
2017-10-12T00:00:00Z,87143,"ERIC MILES CHESHIRE HOME",245500.0
2018-01-16T00:00:00Z,87154,"ARISE AND SHINE EDU",123000.0
2017-09-28T00:00:00Z,87160,"PRETORIASE VERENIGING VAN PERSONE MET SKISOFRENIE, HULLE FAMILIE EN VRIENDE",307000.0
2017-11-28T00:00:00Z,87161,"CALLIE AND MONIQUE TRUST",124250.0
2017-11-21T00:00:00Z,87163,"UMVOTI AIDS CENTRE",1480000.0
2017-12-20T00:00:00Z,87168,"PHOLOSO KE MATLA EDU CARE CENTRE",163550.0
2018-03-07T00:00:00Z,87172,"LIFE LINE TRIANGLE",973695.0
2017-08-23T00:00:00Z,87174,"MOHLANATSI INTEGRATED RURAL DEVELOPMENT PROGRAMME",142000.0
2018-01-16T00:00:00Z,87177,"SOWETO ASSOCIATION OF PERSONS WITH DISABILITIES",320000.0
2018-01-18T00:00:00Z,87178,"YOUTH FOR CHRIST SOUTH WELFARE ORGANISATION",254000.0
2017-04-26T00:00:00Z,87181,"STEPS CHARITY",260162.0
2017-04-21T00:00:00Z,87183,"A.J MNGUNI CRECHE",100000.0
2017-05-12T00:00:00Z,87195,"SAVF HERFSAKKER OUETEHUIS",101605.0
2017-05-03T00:00:00Z,87197,TIQWA,267280.0
2017-08-21T00:00:00Z,87198,"HOUSE KIDS EDUCARE CENTRE",178100.0
2017-05-17T00:00:00Z,87202,"THEMBELIHLE  PRE",220500.0
2018-02-28T00:00:00Z,87213,"THANDOKUHLE EDUCARE CENTRE",137000.0
2017-08-21T00:00:00Z,87222,"EMFUNDISWENI EDUCARE CENTRE",495916.0
2018-03-16T00:00:00Z,87224,"INKAZIMULO CHILD CARE COMMUNITY",100000.0
2017-08-17T00:00:00Z,87226,"SPCA BOKSBURG",1551688.0
2017-08-21T00:00:00Z,87227,"SANDILE CRECHE AND PRE",147400.0
2017-09-11T00:00:00Z,87229,"OPHONDWENI YOUTH DEVELOPMENT INITIATIVE",258000.0
2018-01-18T00:00:00Z,87229,"OPHANDWENI YOUTH DEVELOPMENT INITIATIVE",250000.0
2017-05-12T00:00:00Z,87233,"AHANANG CRECHE",229811.0
2018-03-16T00:00:00Z,87235,"HEALING SIZABANTU H.B.C PROJECT",140000.0
2017-05-05T00:00:00Z,87239,"OSIZWENI DAY CARE SOUP KITCHEN",100000.0
2017-08-08T00:00:00Z,87240,"REFILWE SEBABATSO DAY CARE",160000.0
2017-06-29T00:00:00Z,87241,"BRIGHT HOPE CRECHE & PRE",169000.0
2017-09-07T00:00:00Z,87243,"MAMOSA DAY",207758.0
2017-09-13T00:00:00Z,87244,"Tshiya Motheo Educare Centre",197149.0
2017-08-23T00:00:00Z,87248,"ROOSSENEKAL HOME BASED CARE PROJECT",104500.0
2017-05-05T00:00:00Z,87252,"REARABILWE EKURHULENI COMMUNITY CARE",248500.0
2017-07-20T00:00:00Z,87254,"MASKEY HEALTH SERVICES",297000.0
2017-06-29T00:00:00Z,87256,"ASIPHILE E",172418.0
2017-05-17T00:00:00Z,87258,"LERATONG HOSPICE",323500.0
2018-01-16T00:00:00Z,87259,"CELUKUTHULA COMMUNITY AID & COUNSELING COMMUNITY DEVELOPMENT",305800.0
2017-04-26T00:00:00Z,87261,"KANYA FAMILY CENTRE",942189.0
2017-06-29T00:00:00Z,87276,"EKUZAMENI REHABILITATION CENTRE",190000.0
2018-01-16T00:00:00Z,87279,"SCELUKUKHANYA HOME BASED CARE",379170.0
2017-08-08T00:00:00Z,87281,"VRYSTAAT VERSORGING IN AKSIE TAK",682000.0
2017-06-08T00:00:00Z,87282,"VITA NOVA CENTRE",243500.0
2018-01-25T00:00:00Z,87284,"MALI MARTIN/POLOKEGONG CENTRE",133000.0
2017-05-05T00:00:00Z,87289,"MMATLOU PRE",178000.0
2017-08-01T00:00:00Z,87290,"NCENGIMPILO HOME BASED CARE",406678.0
2018-03-29T00:00:00Z,87292,"DIE GEESTEGESONDHEIDVERENIGING VIR DIE VAALDRIEHOEK (VAAL MENTAL HEALTH)",79095.0
2018-01-29T00:00:00Z,87297,"IKAHENG CRECHE",139000.0
2017-06-29T00:00:00Z,87299,"NGWELEZANE ASSEMBLIES OF GOD COMMUNITY PROJECT",88500.0
2017-05-05T00:00:00Z,87305,"PARKINSON ASSOCIATION SOUTH AFRICA",279000.0
2017-04-12T00:00:00Z,87311,"HEMFANE CRECHE",120973.0
2017-05-03T00:00:00Z,87315,"SAVF ONS HULDE OUETEHUIS",131154.0
2017-05-03T00:00:00Z,87322,"THAPELO PRE",122357.0
2017-05-05T00:00:00Z,87325,"KHAYALABANTWANA BEBAMBISENE ORGANISATION",234000.0
2017-11-21T00:00:00Z,87326,THANDUKUSIZA,100000.0
2017-06-29T00:00:00Z,87334,"ISENZWESIHLE SOCIETY FOR THE AGED",206050.0
2018-01-12T00:00:00Z,87337,"MMAMERAFE EARLY LEARNING CENTRE",156650.0
2018-02-28T00:00:00Z,87344,"ZICABANGELE CRECHE AND PRE",103278.0
2017-06-29T00:00:00Z,87347,"UMLALAZI ST. THOMAS HEALTH PROJECT",223000.0
2017-08-23T00:00:00Z,87349,"EBENEZER HOUSE OF HOPE",298600.0
2017-08-23T00:00:00Z,87359,"UBUNTU COMMUNITY CHEST",900000.0
2018-02-09T00:00:00Z,87360,"MES (MOULD EMPOWER SERVE NPC)",148000.0
2017-07-20T00:00:00Z,87362,"ISIBONELO CRECHE",119576.0
2017-04-26T00:00:00Z,87365,"KGOTSO YA ME  PRE",178000.0
2017-07-20T00:00:00Z,87366,"ENJABULWENI CRECHE",251100.0
2017-12-05T00:00:00Z,87368,"CHILD WELFARE SA VANDERBIJLPARK",92600.0
2017-12-05T00:00:00Z,87371,"THE CRADLE OF HOPE",138000.0
2018-02-15T00:00:00Z,87377,"RATA SOCIAL SERVICES NPC",391480.0
2017-08-29T00:00:00Z,87380,"RETINA SOUTH AFRICA (NORTHEN GAUTENG BRANCH)",127900.0
2018-02-28T00:00:00Z,87381,"TRUE CRECHE AND PRE SCHOOL",200999.0
2017-08-21T00:00:00Z,87382,"ZAMANI CRECHE AND PRE",243500.0
