Name,Sector,Amount,Project Number
Masakhane Organisation of SA,CHARITIES,50000,20752
Masimanyane Womens Support Group,CHARITIES,743500,23201
McKaiser Old Age Home,CHARITIES,348237,22021
Mdantsane Moravian Day Care,CHARITIES,50000,22221
Mental Health Vaal Triangle,CHARITIES,150000,21996
Mercy House,CHARITIES,516200,22282
Mercy Shelters for the Homeless,CHARITIES,570000,21726
Metropolitan Evangelical Services,CHARITIES,1131879,22314
Middelburg Child & Family Welfare Society,CHARITIES,717825,22249
Midrand Association for Home Based Care,CHARITIES,50000,21200
Mmabana Day Care Centre,CHARITIES,172500,23784
Mphahlele Advice Office,CHARITIES,141000,21081
Mshukangubo Association for the Aged,CHARITIES,403045,21519
Msunduzi Hospice Association,CHARITIES,1504274,22133
Msunduzi Hospice Association,CHARITIES,769000,23691
Mzamo Child Guidance Clinic,CHARITIES,924336,23762
N & J Huisskool,CHARITIES,54100,18479
N & J Huisskool Projek Rekening,CHARITIES,47300,20796
N G Welsyn Kimberley,CHARITIES,565281,20609
Naledi Hospice,CHARITIES,850000,20632
Natal Settlers Memorial Homes,CHARITIES,800255,24965
Natalse Christelike Vrouevereeniging PMB,CHARITIES,819120,23743
National Association of Child Care Workers,CHARITIES,500000,21668
National Children’s Rights Committee,CHARITIES,1450000,20523
Nazareth House Johannesburg,CHARITIES,700000,22376
NCVV Huis Joanna,CHARITIES,694961,22764
Nelspruit Child Welfare Society,CHARITIES,1269207,17554
Nerinahof (ACVV),CHARITIES,383160,21729
New Beginnings Early Childhood Development,CHARITIES,320345,22785
Newcastle Child & Family Welfare Society,CHARITIES,260000,24975
Newton Dienssentrum,CHARITIES,63600,23528
"NG Kerk Kinderhuis, Noord Kaap",CHARITIES,1017183,22110
NG Social Services Free State,CHARITIES,1240000,21857
NGMD Vrystaat Jeugsorgsentrum,CHARITIES,1500000,21854
NICRO,CHARITIES,9372768,20595
Noorderbloem Behuisingskema,CHARITIES,279202,22392
North West Network Violence Against Women,CHARITIES,524956,23602
Nosisa Educare Centre,CHARITIES,30000,20846
Nosiseko Educare Centre,CHARITIES,30000,22830
Nosiseko Educare Centre,CHARITIES,30000,22830
Nosizwe Educare Centre,CHARITIES,60855,21755
Ntsoanatsatsi Educare Trust,CHARITIES,150000,21732
Ntwanano Educare Centre,CHARITIES,63119,12626
Ondersteuningsraad,CHARITIES,1837682,23709
Ondersteuningsraad,CHARITIES,500000,22318
Ons Tuis Multi Purpose Frail Care Centre (Riviera),CHARITIES,381235,22507
Open Door Crisis Centre,CHARITIES,300000,21062
Operation Hunger,CHARITIES,1040255,20153
Operation Upgrade of SA,CHARITIES,592000,23729
Orange Vroue Vereeniging Zastron,CHARITIES,675410,22846
Oranje Vroue Vereeniging Bloemfontein,CHARITIES,770196,22279
Order of St John JHB,CHARITIES,3128302,23721
Oudtshoorn Child & Family Welfare Society,CHARITIES,200000,23503
OVV Parys,CHARITIES,181293,22208
OVV Rouxville,CHARITIES,100000,20986
OVV Vredefort,CHARITIES,142175,22224
Paarl Stimulation Centre,CHARITIES,154600,12970
Parkinson Association SA,CHARITIES,783000,23708
Peace Makers Home Based Care,CHARITIES,169000,20735
People for Awareness on Disability Issues,CHARITIES,63400,20929
People for Awareness on Disability Issues,CHARITIES,100000,24333
Persevere Until Something Happens,CHARITIES,58000,22397
Phaphamani Home Based Care Project,CHARITIES,799152,21192
Philippi Trust SA,CHARITIES,25200,21276
"Phutaditjaba Old Age & Disabled Care Org, Alex",CHARITIES,938112,22303
Pieter Wessels Home for the Infirm,CHARITIES,181940,22012
Pietermaritzburg Benevolent Society,CHARITIES,441190,21803
Pietermaritzburg Benevolent Society,CHARITIES,203813,23665
Pietermaritzburg Mental Health Society,CHARITIES,296343,24977
Pietersburg Child & Family Care Society,CHARITIES,1000000,21540
Pinelands Crèche,CHARITIES,72000,23495
Pinetown Highway Child & Family Welfare Society,CHARITIES,500000,20824
Place of Restoration,CHARITIES,258130,22322
Plett Animal Welfare Service,CHARITIES,75000,21146
Pondo Children’s Village Trust,CHARITIES,236621,22251
Port Alfred Child & Family Welfare Society,CHARITIES,203750,21405
Port Elizabeth Childline & Family Centre,CHARITIES,1500000,21764
Port Shepstone Child & Family Care,CHARITIES,500000,17007
Potchefstroom Child & Family Welfare Society,CHARITIES,450000,20621
Pretoria Child & Family Care Society,CHARITIES,2500000,21440
Pretoria Child & Family Care Society,CHARITIES,2500000,21440
Pretoria Sungardens Hospice,CHARITIES,1323570,20395
Prison Care & Support Network,CHARITIES,200000,21485
Progress Educational Counsellors Organisation,CHARITIES,291100,22744
Project Empower,CHARITIES,250000,16690
Project Literacy,CHARITIES,1379122,21418
Project Literacy,CHARITIES,2451942,23717
Prosperity Youth Centre,CHARITIES,300000,21504
PUPP (Project for the Upliftment of Pets & People),CHARITIES,200000,21768
Quadriplegic Association of SA,CHARITIES,777658,23760
Rape Crisis Centre,CHARITIES,1500000,21551
READ Educational Trust,CHARITIES,3750000,20531
Reakgona Centre for Mentally Disabled Adults,CHARITIES,150000,22211
Reakgona Centre for Mentally Disabled Adults,CHARITIES,150000,22211
REEA Care Centre,CHARITIES,230000,22797
Reginald Orsmond Counselling Services,CHARITIES,500000,21828
Reholegile Child Development Centre,CHARITIES,75000,22453
Retina SA Cape of Good Hope,CHARITIES,50000,22241
Retina SA Gauteng Branch,CHARITIES,150000,16750
Retina South Africa,CHARITIES,98740,21719
Richards Bay Family Care,CHARITIES,364897,23730
Ringetani Preschool,CHARITIES,75000,22827
Rooms Katolieke Sending Kinderhuis Kamieskroon,CHARITIES,110000,20842
Rus n Bietjie Tuiste vir Bejaardes,CHARITIES,698386,23334
SA Federation for Mental Health,CHARITIES,794200,23734
SA Mobility for the Blind Trust,CHARITIES,439400,23716
SA National Council for Child & Family Welfare,CHARITIES,1000000,15449
SA National Council for Child & Family Welfare,CHARITIES,4880063,20644
Saamspan Service Centre,CHARITIES,115000,23604
Salesian Institute,CHARITIES,450000,22188
Salesian Province Project Office,CHARITIES,950000,22190
SANCA Central Eastern Cape,CHARITIES,530020,21503
SANCA Horizon Alcohol & Drug Centre,CHARITIES,700000,21498
SANCA Nongoma,CHARITIES,600000,13401
SANCA Pietermaritzburg,CHARITIES,800000,22236
SANCA Pietermaritzburg,CHARITIES,480000,23698
SANCA Sasolburg Alcohol & Drug Centre,CHARITIES,178187,22804
SANCA Tembisile Eastern Transvaal (Witbank),CHARITIES,593586,23526
SANCA West Cape,CHARITIES,1500000,22167
SANCA West Rand Clinic,CHARITIES,1300000,22445
SANEL Free State & North West Province,CHARITIES,68400,10973
SANEL Free State & North West Province,CHARITIES,161538,22029
SANEL KZN Pietermaritzburg,CHARITIES,584616,25070
Sannie Broers Kleuterskool,CHARITIES,249736,22053
Save the Children Fund Durban,CHARITIES,300000,23747
"Save the Children Fund
Johannesburg",CHARITIES,136600,21769
"Save the Children Fund
Johannesburg",CHARITIES,136600,21769
SAVF Claremont (Aksiekomitee),CHARITIES,284853,23545
SAVF Coligny,CHARITIES,126283,22081
SAVF Cosmos Community Centre,CHARITIES,46800,22062
SAVF Delareyville (Sannieshof),CHARITIES,282901,22653
SAVF Ellisras,CHARITIES,116400,21459
SAVF Ermelo Old Age Home,CHARITIES,559303,23497
"SAVF Gesinsorg Polokwane
(Maatskaplike Werk)",CHARITIES,359957,22088
SAVF Head Office,CHARITIES,200000,22070
Bejaardes - Nelspruit,CHARITIES,555433,24302
SAVF Hoeveldrif,CHARITIES,200000,21299
SAVF Huis Dien Bothma,CHARITIES,360000,22411
SAVF Jubileum Behuising,CHARITIES,520040,22106
SAVF Kalinka Educare Crèche,CHARITIES,54000,23756
SAVF Kinross Herberg,CHARITIES,277921,22078
SAVF Klein Treetjies Kleuterskool,CHARITIES,191563,22155
SAVF Korale Dienssentrum,CHARITIES,52710,24275
SAVF Lichtenburg,CHARITIES,172000,22080
SAVF Lichthuis,CHARITIES,200000,22482
SAVF Louis Trichardt,CHARITIES,76244,14060
SAVF Magnus Pre-School,CHARITIES,700000,21686
SAVF Millennium Centre,CHARITIES,1917000,22446
SAVF Nelspruit,CHARITIES,345228,24306
SAVF Ons Hulde Tehuis vir Bejaardes,CHARITIES,756000,21404
SAVF Queenswood Kleuterskool,CHARITIES,110000,20886
SAVF Rusoord Behuising,CHARITIES,172200,23666
SAVF Standerton,CHARITIES,578652,21150
SAVF Streekkantoor,CHARITIES,155389,22843
SAVF Volksrust,CHARITIES,275327,24327
SAVF Witbank Day Care,CHARITIES,300000,22107
Seringa Association for the Aged,CHARITIES,153933,20189
Sharpville Care of the Aged,CHARITIES,796599,20446
"Sijonga Phambili Community
Learning Centre",CHARITIES,425000,22424
Silawa Early Learning Centre,CHARITIES,75000,22850
Silver Threads Service Centre,CHARITIES,172500,20928
Silwerdae Ons Tuiste,CHARITIES,644194,22439
"Silwerdae Organisasie vir
Bejaardesorg",CHARITIES,313636,24303
Sinezwi Support Organisation,CHARITIES,50000,21702
Sithand’izingane Care Project,CHARITIES,500000,21577
Sivunyiwe Ikhwezi Pre-School,CHARITIES,20619,21163
"Siyakhana Youth Outreach &
Education Trust",CHARITIES,475000,15577
Siyaphumelela Day Care Centre,CHARITIES,107255,20306
Siyathuthuka Community Project,CHARITIES,232490,21107
Sparks Estate Cheshire Homes,CHARITIES,200000,11742
"Sparrows Child & Family Welfare
Society (Tsolwana)",CHARITIES,316000,20758
SPCA Amanzimtoti,CHARITIES,310000,23664
SPCA Bloemfontein,CHARITIES,200000,22374
SPCA Estcourt & District,CHARITIES,249865,23728
SPCA Garden Route,CHARITIES,119201,21669
SPCA Humansdorp,CHARITIES,50000,21856
SPCA King Williams Town,CHARITIES,56799,21316
SPCA Kloof & Highway,CHARITIES,240054,23732
SPCAMafikeng,CHARITIES,259600,24818
SPCA Middelburg,CHARITIES,150000,21332
SPCA Nigel,CHARITIES,100000,20874
SPCA Pietersburg (Polokwane),CHARITIES,440561,21558
SPCA Port Alfred,CHARITIES,100000,21448
SPCA Potchefstroom,CHARITIES,100000,21000
SPCA Stilfontein,CHARITIES,25000,22121
SPCA Vereeniging & District,CHARITIES,150000,22238
SPCA Welkom,CHARITIES,79509,21486
St Albans College,CHARITIES,1214150,14922
St Anthonys Education Centre,CHARITIES,600000,21587
St Clements Home Based Care,CHARITIES,1279677,23694
St Francis Hospice,CHARITIES,200000,21176
St Georges Home,CHARITIES,1000000,21120
St Josephs Home,CHARITIES,443457,21152
St Philomena’s Children’s Home,CHARITIES,2273354,23701
St Theresa’s Home,CHARITIES,4907000,24958
St. Mary’s Catholic Mission Hospital,CHARITIES,750909,22388
Stellenbosch Hospice,CHARITIES,180863,16970
Step By Step Preschool,CHARITIES,100000,21071
Stilfontein Child & Family Welfare Society,CHARITIES,500000,21437
Stutterheim Education Trust,CHARITIES,300000,22119
Summerstrand Cheshire Home,CHARITIES,493317,23262
Sun of Joy Foundation,CHARITIES,150000,22441
Sun of Joy Foundation,CHARITIES,150000,22441
TAFTA / Illungelo Labadala,CHARITIES,918304,20321
Takalani Home (for the Mentally Disabled),CHARITIES,1000000,23521
Tarkastad Home,CHARITIES,200000,22847
TB Care Association,CHARITIES,350000,22220
Tebogo Home for Disabled Children,CHARITIES,200000,22497
Tembaletu Trust,CHARITIES,1500000,23669
Thabisho NGO,CHARITIES,679419,21001
Thandanani Mhluzi Home Based Care,CHARITIES,300000,24292
Thandanani Mhluzi Service Centre,CHARITIES,400000,24304
Thohoyandou Victim Empowerment Programme,CHARITIES,500000,22703
Thusano,CHARITIES,250000,20829
Thuso Social Services Foundation,CHARITIES,353400,21526
Thuthukani Old Age Day Care Centre,CHARITIES,747465,22547
Thuthukani Stimulation Centre,CHARITIES,100000,21089
Tlhabologang Legal Education,CHARITIES,92250,21275
Tokologo Self Help Centre for Quadriplegics,CHARITIES,377000,22162
Toughlove South Africa,CHARITIES,250000,22278
Training Institute for Primary Health Care & Aids Task Force,CHARITIES,500000,23504
Trauma Centre for Victims of Violence & Torture,CHARITIES,203000,21780
Treasure Centre Community Centre,CHARITIES,50000,21693
Triest Training Centre,CHARITIES,500000,21114
Tshwaranang,CHARITIES,25000,20561
Tsibogang Christian Action Group,CHARITIES,732040,24794
Tuiste vir Bejaardes,CHARITIES,225385,22373
Tumahole Self Help Association for Disabled,CHARITIES,150000,20873
Tumelong Mission,CHARITIES,848852,23489
Ubuntu Community Carebase Centre,CHARITIES,200000,22284
Uitkoms Home for Unmarried Mothers,CHARITIES,746502,22773
Umlazi Community Resource Centre,CHARITIES,100000,20891
Umtata Street Child Programme,CHARITIES,102200,11952
Usizo Diakonale Dienste,CHARITIES,467431,24946
Usizo Uluntwini,CHARITIES,184358,23264
Usizolwethu Home Based Care,CHARITIES,189425,21119
Uturn (Claremont Homeless Ministry),CHARITIES,150000,22277
Verenigende Gereformeerde Kerk Robertson,CHARITIES,200000,21874
Verenigende Gereformeerde Kerk Robertson,CHARITIES,250000,20810
Verulam Regional Hospice,CHARITIES,150000,22267
Victorial Memorial Home,CHARITIES,666180,23733
Viljoenskroon Hospice,CHARITIES,300000,22161
Volksrust Rusoord,CHARITIES,348634,20123
Vryheid Child & Family Welfare Society,CHARITIES,243676,23727
We Are Not Alone Caregivers,CHARITIES,75000,18158
Wenakker,CHARITIES,364319,22199
Western Cape Cerebral Palsy Association,CHARITIES,750000,17535
Western Cape Network on Disability,CHARITIES,25000,17114
White River Child & Family Welfare Society,CHARITIES,500000,22382
White River Child & Family Welfare Society,CHARITIES,697700,24811
Wide Horizon Hospice,CHARITIES,495395,23486
Wola Nani,CHARITIES,500000,20640
Womens Development Foundation,CHARITIES,1250000,21038
Woodside Sanctuary Western Cape,CHARITIES,622818,22430
Worcester Child & Family Welfare Society,CHARITIES,787296,8464
YMCA Amanzimtoti,CHARITIES,262911,20608
Youth for Christ SA,CHARITIES,750000,20516
Youth for Christ SA,CHARITIES,750000,21173
Youth Futures DATA (Dev & Train),CHARITIES,98329,21187
YWCA Womens Support Centre,CHARITIES,100000,20374+15864
Zamuxolo Play Group,CHARITIES,100000,21294
Zululand Hospice Association,CHARITIES,543003,23748
SASCOC,SPORT & RECREATION,8250000,18435
!Kheis Municipality,SPORT & RECREATION,365715,13394
!Kheis Municipality,SPORT & RECREATION,365715,13396
//Khara Hais Municipality,SPORT & RECREATION,653000,13138
Abiot Kolobe Primary School,SPORT & RECREATION,50000,19126
Adams College,SPORT & RECREATION,701553,12733
Arethabeng Primary School,SPORT & RECREATION,250000,24124
Athletics Free State,SPORT & RECREATION,1000000,19736
Athletics South Africa,SPORT & RECREATION,2612312,23557
Athletics South Africa,SPORT & RECREATION,2333334,19653
Athletics South Africa,SPORT & RECREATION,2333333,19653
Athletics South Africa,SPORT & RECREATION,2612312,23557
Badminton South Africa,SPORT & RECREATION,1457700,23571
Badminton South Africa,SPORT & RECREATION,75000,13228
Basketball South Africa,SPORT & RECREATION,1100000,19874
Basketball South Africa,SPORT & RECREATION,2055845,23584
Batswana High School,SPORT & RECREATION,275000,18808
Bergrivier Municipality,SPORT & RECREATION,420000,18410
Bloemfontein Cricket Association,SPORT & RECREATION,966000,19935
Boitumelo School,SPORT & RECREATION,275000,19004
Boland Cricket Board,SPORT & RECREATION,470000,19869
Bonne Esperance Primary School,SPORT & RECREATION,50000,18894
Border Cricket Board,SPORT & RECREATION,260500,20857
Border Cricket Board (Kwelera Cricket Club),SPORT & RECREATION,204500,11669
Border Kei Cricket Union,SPORT & RECREATION,265000,19976
Border Rugby Football  Union,SPORT & RECREATION,1969204,11390
Border Tennis Association,SPORT & RECREATION,629128,19937
Border Tennis Association,SPORT & RECREATION,629128,19937
Botlehadi Primary School,SPORT & RECREATION,143260,24043
Bowls South Africa,SPORT & RECREATION,500000,15320
Bowls South Africa,SPORT & RECREATION,497000,19738
Brakpan Primary School,SPORT & RECREATION,325000,22734
Brakpan Primary School,SPORT & RECREATION,325000,22734
Buffaloes RFC,SPORT & RECREATION,50000,19561
Buhlebemfundo Primary School,SPORT & RECREATION,250000,23995
Canoeing South Africa,SPORT & RECREATION,2749780,23558
Chess South Africa,SPORT & RECREATION,500000,17465
Chessa South Africa,SPORT & RECREATION,321000,23551
Citrusdal Golf Club,SPORT & RECREATION,275000,19676
College of Cape Town,SPORT & RECREATION,275000,18967
Dagbreek Primary School,SPORT & RECREATION,275000,18788
Darts South Africa,SPORT & RECREATION,63750,19719
Delicious Rugby Football Club,SPORT & RECREATION,50000,19326
Dolphin Underwater Club,SPORT & RECREATION,275000,19495
Douglas Golf Club,SPORT & RECREATION,275000,19349
Durban Golf Club,SPORT & RECREATION,275000,19606
Eastern Cape Academy of Sport,SPORT & RECREATION,1685000,23567
Eastern Cape Academy of Sport,SPORT & RECREATION,1685000,23567
Eastern Cape Technikon,SPORT & RECREATION,873750,5599
EP Amateur Cricket Board,SPORT & RECREATION,462667,19832
EP Amateur Cricket Board - Gelvandale Cricket Club,SPORT & RECREATION,356000,12143
Eastern Province Athletics Union,SPORT & RECREATION,175000,11284
Egqili Secondary School,SPORT & RECREATION,275000,18751
Ekuphumeleleni Senior Primary School,SPORT & RECREATION,50000,18839
Emanzini Primary School,SPORT & RECREATION,275000,18829
Ematjeni Junior Primary School,SPORT & RECREATION,150000,23877
Emil Weder Secondary School,SPORT & RECREATION,275000,19379
Emisebeni Primary School,SPORT & RECREATION,325000,22545
Federation of Dance Sport SA,SPORT & RECREATION,400000,13482
Federation of Dance Sport SA,SPORT & RECREATION,1200000,23597
Forte High School,SPORT & RECREATION,325000,22750
Free State Academy of Sport,SPORT & RECREATION,500000,18679
Ga-Segonyana Municipality,SPORT & RECREATION,670000,11306
Goedverwacht RFC,SPORT & RECREATION,275000,19403
Golden Gateway School,SPORT & RECREATION,21248,17433
Goudveld Hoër Skool,SPORT & RECREATION,275000,19028
Griqualand West Cricket Board,SPORT & RECREATION,714000,12921
Hlanganani Secondary School,SPORT & RECREATION,350000,23920
Hluvuka High School,SPORT & RECREATION,275000,13855
Hoër Skool Drie Riviere,SPORT & RECREATION,275000,19255
Hoër Skool Sandveld,SPORT & RECREATION,275000,19000
Ingede Primary School,SPORT & RECREATION,150000,23954
Inkanyiso Primary School,SPORT & RECREATION,150000,23956
Inxuba Yethemba Municipality,SPORT & RECREATION,353000,16118
Jabulani Primary School,SPORT & RECREATION,150000,23999
Jacobsdal Primary School,SPORT & RECREATION,275000,18732
Jannie Brink Skool,SPORT & RECREATION,275000,18790
John Vorster School of Technology,SPORT & RECREATION,298000,23791
Judo South Africa,SPORT & RECREATION,1054350,23570
Jukskei SA,SPORT & RECREATION,71200,13494
Jukskei SA,SPORT & RECREATION,420000,23598
Karate South Africa,SPORT & RECREATION,500000,18831
Karate South Africa,SPORT & RECREATION,500000,18831
Karitas Special School,SPORT & RECREATION,50000,18643
Kimberley Boys High School,SPORT & RECREATION,275000,18809
Kimberley Technical High School,SPORT & RECREATION,275000,18780
Kimberley Training Centre,SPORT & RECREATION,275000,20025
King Williams Town Golf Club,SPORT & RECREATION,275000,19409
Klerksdorp Sport Council,SPORT & RECREATION,420000,19831
Krugerlaan School,SPORT & RECREATION,350000,23796
KZN Rugby Union,SPORT & RECREATION,900000,19767
Lakeside Secondary School,SPORT & RECREATION,275000,19079
Lancea Vale Secondary School,SPORT & RECREATION,60000,22781
Langebaan Primary School,SPORT & RECREATION,306000,11314
Leopards Rugby Union,SPORT & RECREATION,1100000,19890
Lesedi Local Municipality,SPORT & RECREATION,275000,18398
Limpopo Academy of Sport,SPORT & RECREATION,1766666,23574
Limpopo Academy of Sport,SPORT & RECREATION,1766667,23574
Loalone High School,SPORT & RECREATION,325000,22654
Mabopane Athletics Club,SPORT & RECREATION,175000,13369
Magodongo Primary School,SPORT & RECREATION,350000,23923
Makapane Primary School,SPORT & RECREATION,275000,18973
Makerana Primary School,SPORT & RECREATION,150000,23881
Maluti FET College,SPORT & RECREATION,350000,19002
Mamorake Primary School,SPORT & RECREATION,275000,19283
Mandlakababa Primary School,SPORT & RECREATION,350000,23943
Mangadisa Primary School,SPORT & RECREATION,250000,23873
Mangaung Local Municipality,SPORT & RECREATION,10467637,23586
Masizakhe Combined School,SPORT & RECREATION,250000,23949
Masopha Secondary School,SPORT & RECREATION,275000,18940
Masuku Primary School,SPORT & RECREATION,250000,23989
Matlaba Primary School,SPORT & RECREATION,250000,18644
Matshediso Primary School,SPORT & RECREATION,275000,19390
Mayisha High School,SPORT & RECREATION,350000,23883
McCarthy Primary School,SPORT & RECREATION,54000,23932
Medicos Special School,SPORT & RECREATION,275000,18898
Medingen Primary School,SPORT & RECREATION,50000,19303
Mgwezani Combined School,SPORT & RECREATION,250000,23870
Mhlutshwa Primary School,SPORT & RECREATION,250000,23921
Mitchells Plain Netball Union,SPORT & RECREATION,50000,19910
Mogalakwena Municipality,SPORT & RECREATION,757534,18543
Mohlako Primary School,SPORT & RECREATION,150000,23944
Mookgophong Local Municipality,SPORT & RECREATION,1320000,18382
Moroba Community School,SPORT & RECREATION,10208,19201
Morutathuto LP School,SPORT & RECREATION,60000,22591
Morwe Middle School,SPORT & RECREATION,150000,23845
Moses Kotane Local Municipality,SPORT & RECREATION,1060000,12705
Motor Sport South Africa,SPORT & RECREATION,446536,15386
Mpumalanga Academy of Sport,SPORT & RECREATION,1138000,23569
Mpumalanga Academy of Sport,SPORT & RECREATION,1138000,23569
Mpumalanga Academy of Sport,SPORT & RECREATION,165000,13034
Mpumalanga Academy of Sport,SPORT & RECREATION,1139000,23569
Mpumalanga Rugby Union,SPORT & RECREATION,1187000,15488
Mutale Municipality,SPORT & RECREATION,468160,18320
Naletsana Combined School,SPORT & RECREATION,275000,19034
Ndedema Primary School,SPORT & RECREATION,350000,23945
Ndwedwe Local Municipality,SPORT & RECREATION,1160125,18462
Netball SA,SPORT & RECREATION,1260000,5985
Netball SA,SPORT & RECREATION,526000,18920
Netball SA,SPORT & RECREATION,1333000,15389
Netball SA,SPORT & RECREATION,1334000,15389
Nhlanhlayethu Secondary School,SPORT & RECREATION,50000,18941
Nkabari Middle School,SPORT & RECREATION,275000,18882
Nkomazi Municipality,SPORT & RECREATION,667000,12602
Noordgesig Secondary School,SPORT & RECREATION,60000,22800
Noordwes Juskei Unie,SPORT & RECREATION,50000,19860
North West Academy of Sport,SPORT & RECREATION,500000,19839
North West Academy of Sport,SPORT & RECREATION,853000,23573
North West Academy of Sport,SPORT & RECREATION,853000,23573
Northern Cape Academy of Sport,SPORT & RECREATION,1575000,23549
Northern Cape Academy of Sport,SPORT & RECREATION,500000,19843
Northern Cape Tennis Association,SPORT & RECREATION,385605,17187
Northern Free State Cricket Sub Union,SPORT & RECREATION,337000,19934
Northern Free State Cricket Sub Union,SPORT & RECREATION,336000,19934
Northerns Hockey Association,SPORT & RECREATION,265105,6494
Phakamang Primary School,SPORT & RECREATION,250000,23986
Phalatse Lenyai Middle School,SPORT & RECREATION,275000,18711
Pietersburg Amateur Wrestling Club,SPORT & RECREATION,61000,19460
Protea South Primary School,SPORT & RECREATION,60000,22811
RABTI Trust - Kadco,SPORT & RECREATION,402500,19943
Ramollwana Secondary School,SPORT & RECREATION,50000,19171
Refitlhile Pele Primary School,SPORT & RECREATION,150000,24120
Reggie Masuku Secondary School,SPORT & RECREATION,50000,19196
Reygersdal Primary School,SPORT & RECREATION,60000,22675
Richmond Municipality,SPORT & RECREATION,384000,13520
Rishile Combined School,SPORT & RECREATION,60000,22789
Rowing South Africa,SPORT & RECREATION,3127850,23554
Rowing South Africa,SPORT & RECREATION,315000,11297
SA Amateur Fencing Association,SPORT & RECREATION,820000,23555
SA Biathlon Association,SPORT & RECREATION,414000,19695
SA Equestrian Council,SPORT & RECREATION,1650000,23590
SA Figure Skating Assoc,SPORT & RECREATION,491000,19656
SA Football Association,SPORT & RECREATION,526000,20363
"SA Lifesaving (Umhlanga Rocks Surf
Lifesaving)",SPORT & RECREATION,275000,19515
"SA Sport Association for the Physically
Disabled",SPORT & RECREATION,500000,18964
"SA Sports Association for the
Intellectually Impaired",SPORT & RECREATION,914340,23588
SA Taekwondo Federation,SPORT & RECREATION,1512225,23581
SA Toutrek,SPORT & RECREATION,783200,23592
SA Weightlifting Federation,SPORT & RECREATION,741455,23568
SAFA Wits,SPORT & RECREATION,1000000,15309
Sailing South Africa,SPORT & RECREATION,850303,23547
Saldanha Bay Rugby Football Club,SPORT & RECREATION,50000,19324
SASCOC,SPORT & RECREATION,10000000,18435
SASCOC,SPORT & RECREATION,21930919,23564
Sediko Public School,SPORT & RECREATION,275000,18871
Sekemisa Primary School,SPORT & RECREATION,250000,23925
Shomang Primary School,SPORT & RECREATION,60000,22661
Siphamandla Primary School,SPORT & RECREATION,60000,22682
Sithokozile Secondary School,SPORT & RECREATION,150000,24059
Siyathemba Municipality,SPORT & RECREATION,334946,12450
Siyathemba Municipality,SPORT & RECREATION,423510,12526
Siyathemba Municipality,SPORT & RECREATION,452092,13057
Sizakele Primary School,SPORT & RECREATION,250000,23918
Softball South Africa,SPORT & RECREATION,718575,23560
Sol Plaatje Municipality,SPORT & RECREATION,2128000,13055
Somtshongweni Primary School,SPORT & RECREATION,250000,23922
Sothembani Primary School,SPORT & RECREATION,150000,23946
South African Baseball Union,SPORT & RECREATION,1334000,15380
South African Baseball Union,SPORT & RECREATION,583000,15380
South African Baseball Union,SPORT & RECREATION,680000,11844
South African Cycling Federation,SPORT & RECREATION,3497371,23575
South African Cycling Federation,SPORT & RECREATION,733367,19717
South African Gymnastics Federation,SPORT & RECREATION,1823448,23577
South African Gymnastics Federation,SPORT & RECREATION,964000,18848
South African Handball Federation,SPORT & RECREATION,866800,23546
South African Hockey Association,SPORT & RECREATION,4516600,23563
South African Korfball Federation,SPORT & RECREATION,632500,23585
South African Rugby Football Union,SPORT & RECREATION,1000000,15382
South African Rugby Football Union,SPORT & RECREATION,526000,19690
South African Shooting Federation,SPORT & RECREATION,891000,23566
South African Table Tennis Board,SPORT & RECREATION,36075,6636
South African Table Tennis Board,SPORT & RECREATION,53750,7122
South African Table Tennis Board,SPORT & RECREATION,3092430,23579
South African Table Tennis Board,SPORT & RECREATION,1434000,19013
South African Table Tennis Board,SPORT & RECREATION,542000,19013
South African Table Tennis Board,SPORT & RECREATION,542000,19013
South African Tennis Association,SPORT & RECREATION,1377200,23559
South African Wrestling Federation,SPORT & RECREATION,1181510,23552
South Western Districts Cricket Board,SPORT & RECREATION,496984,11712
Sport Coaches’ Outreach,SPORT & RECREATION,250000,15734
Sports Trust,SPORT & RECREATION,1250000,20060
Squash South Africa,SPORT & RECREATION,954000,19686
Surfing South Africa,SPORT & RECREATION,967000,19658
Swartland Municipality,SPORT & RECREATION,636000,15283
Swimming SA,SPORT & RECREATION,526000,19756
Swimming South Africa,SPORT & RECREATION,747530,13226
Thabang Primary School,SPORT & RECREATION,250000,23902
Thubelihle Primary School,SPORT & RECREATION,250000,23948
Thulamela Municipality,SPORT & RECREATION,629034,5956
Thuthukani Primary School,SPORT & RECREATION,350000,23872
Tlholohelo Primary School,SPORT & RECREATION,50000,18699
Triathlon South Africa,SPORT & RECREATION,4794350,23561
Tshegofatsong Special School,SPORT & RECREATION,60000,22808
Tshepo Themba High School,SPORT & RECREATION,350000,23775
Tshwane North College for FET,SPORT & RECREATION,500000,19014
Tsolo Special School,SPORT & RECREATION,272693,19385
Tswaing Municipality,SPORT & RECREATION,456133,11699
Tswelelang Higher Primary School,SPORT & RECREATION,60000,22634
Tumelo Primary School,SPORT & RECREATION,60000,22692
Ubuhlebethu High School,SPORT & RECREATION,250000,23894
Umsobomvu Municipality,SPORT & RECREATION,461667,18961
Umzimkulu Municipality,SPORT & RECREATION,471960,18281
United Cricket Board of South Africa,SPORT & RECREATION,1173000,18983
"University of the Free State (Qwa Qwa
Campus))",SPORT & RECREATION,1000000,18974
