Project,Name,Sector,Amount
31134,Bell Valley HIV Initiative,Charities,122200
39959,Bertoni Mercy Clinic,Charities,950000
33690,Bethany Home,Charities,93000
24285,Bethesda House of Hope,Charities,200000
30952,Biblionef South Africa,Charities,917820
33932,Big Issue,Charities,914850
31421,Bishop Brenninkmeijer Relief Centre,Charities,195000
27200,BKSB Centenary Memorial Company - Kingsholme,Charities,446844
33238,BKSB Centenary Memorial Company - Kingsholme,Charities,701420
24191,Black Sash Trust,Charities,2000000
33397,Black Sash Trust,Charities,3801380
35165,Bloemfontein Tuberculosis Association,Charities,224609
33379,Blouvlei School,Charities,378563
33339,Boikhutsong Community Centre,Charities,137077
33551,Bokamoso Community Development & Health Centre,Charities,196998
34447,Bokamoso Community Development & Health Centre,Charities,221590
33551,Bokamoso Community Development & Health Centre,Charities,196998
34736,Boksburg Society for the Aged,Charities,1091133
33461,Boland Hospice,Charities,490000
33782,Bonteheuwel Community Based Paralegal Office,Charities,67000
31874,Bopanang Community Based Organisation,Charities,200700
30625,Bophelong Community Hospice,Charities,250000
21085,Bosele Handcraft Centre,Charities,100000
31453,Botshabelo,Charities,882400
33789,Bram Care Centre,Charities,155000
33996,Bram Home Based Care Project,Charities,681811
33349,Bredasdorp Child Welfare,Charities,558536
33349,Bredasdorp Child Welfare,Charities,558535
33995,Breedevallei Association for Disabled,Charities,824000
30318,Bright Morning Star Nursery School,Charities,379750
26399,Brits Rusoord,Charities,218429
26399,Brits Rusoord,Charities,218428
34369,Browns School,Charities,4886931
34483,Buhlebesizwe Secondary School,Charities,1493000
33943,Build a Better Society,Charities,737900
30525,Bula Monyako Projects,Charities,1035291
33294,Call to Serve Gemeenskapdiens,Charities,247298
33672,Callie Evans Lodge,Charities,517547
33755,Camama Cheshire Home,Charities,210525
31859,Camphill Farm Community Hermanus,Charities,561924
32209,Camphill School (Hermanus),Charities,500000
33472,Camphill School (Hermanus),Charities,500000
33448,Camphill Village,Charities,658714
21601,Cancer Association of South Africa,Charities,8821828
33931,Cape Agulhas Hospice,Charities,138949
30935,Cape Flats Development Association,Charities,432057
33809,Cape Kidney Association,Charities,176400
33808,Cape Mental Health Society,Charities,1298934
33951,Cape Town Child Welfare,Charities,2827603
35047,Cape Town City Mission,Charities,936000
33829,Cape Town Drug Counselling Centre,Charities,616531
33519,Cape Town Society for the Blind,Charities,611119
27570,Carel du Toit Trust,Charities,807000
33609,Carel du Toit Trust,Charities,914769
23737,Careline Crisis & Trauma Centre,Charities,1410300
31157,Carpenters Shop,Charities,579680
34840,Carryou Ministry,Charities,885000
30774,Casa Caritas,Charities,352560
30778,Casa Do Sol Association,Charities,365658
34664,Casa Do Sol Association,Charities,319200
27250,Catch Projects,Charities,793274
28385,Catholic Community Service,Charities,270000
33807,Catholic Community Service,Charities,1177070
33887,Catholic Development Centre,Charities,1655150
23712,Catholic Health Care Association,Charities,1821896
28103,Catholic Welfare & Development,Charities,2297047
28103,Catholic Welfare & Development,Charities,2297047
33970,Catholic Women’s League,Charities,649727
34188,Catholic Women’s League Adoption Society,Charities,140000
31294,"Catholic Women’s League, Pretoria",Charities,250612
35917,"Catholic Women’s League, Pretoria",Charities,572886
35604,CBR Education & Training for Empower,Charities,454400
30090,Central Gauteng Mental Health Society,Charities,1067137
34576,Central Gauteng Mental Health Society,Charities,1320000
33309,Centre for Creative Education,Charities,1366399
31171,Centre for Early Childhood Development,Charities,768110
36074,Centre for Early Childhood Development,Charities,1473460
31482,Centre for People with Disabilities (Reiger Park),Charities,295000
31614,Centurion Care of the Aged,Charities,476708
34742,Centurion Care of the Aged,Charities,395462
27609,Centurion Hospice,Charities,344804
34779,Centurion Hospice,Charities,339152
21118,Centurion Hospice,Charities,509421
31905,Cerebral Palsy Association Eastern Cape,Charities,481802
33722,Cerebral Palsy Association Eastern Cape,Charities,482371
36209,Chaeli Campaign,Charities,593000
33595,Chatsworth Child & Family Welfare Society,Charities,2099599
28432,Cheshire Homes Cape of Good Hope,Charities,752245
34274,Cheshire Homes Chatsworth,Charities,516128
34261,Cheshire Homes Durban (SCDIFA),Charities,93500
30513,Child  Welfare Society Vereeniging,Charities,661194
31590,Child & Family Care Society Northern Cape,Charities,550000
33691,Child & Family Welfare Great Brak River,Charities,497565
33296,Child & Family Welfare Society Bethlehem,Charities,1088120
27597,Child & Family Welfare Society Greater Boksburg,Charities,2972761
35460,Child & Family Welfare Society Greater Boksburg,Charities,1128896
34217,Child & Family Welfare Society of Pietermaritzburg,Charities,1618472
30937,Child & Family Welfare Society Sandveld,Charities,349229
25802,Child & Family Welfare Society Witbank,Charities,558992
30074,Child & Youth Care Agency for Development,Charities,400000
35251,Child & Youth Care Agency for Development,Charities,655000
24845,Child Line North West,Charities,550700
35528,Child Line North West,Charities,1266777
23272,Child Welfare Society Fort Beaufort,Charities,111205
31417,Child Welfare Society QwaQwa,Charities,366000
31845,Child Welfare South Africa Helderberg,Charities,686273
33820,Child Welfare South Africa Helderberg,Charities,475566
34314,Childline Family Centre KZN,Charities,1826502
33629,Childline Gauteng,Charities,3324575
24308,Childline Mpumalanga,Charities,611515
34031,Childline Mpumalanga,Charities,489274
27549,Childlink Alberton,Charities,255422
33589,Children’s Assessment & Therapy Centre Trust,Charities,1279411
35919,Children’s Disability Centre,Charities,697326
25732,CHOC - Childhood Cancer Foundation SA,Charities,1504850
31304,Choice Comprehensive Health Care Trust,Charities,127000
34695,Chris Day Care Centre,Charities,99950
33742,Christelike Maatskaplike Raad Graaff Reinet,Charities,312970
27788,Christelike Maatskaplike Raad Burgersdorp,Charities,216882
35376,Christelike Maatskaplike Raad Burgersdorp,Charities,281811
33213,Christelike Maatskaplike Raad Drakensberg,Charities,287844
27266,Christelike Maatskaplike Raad Drakensberg,Charities,200000
33195,Christelike Maatskaplike Raad East London,Charities,493767
35918,Christelike Maatskaplike Raad Germiston,Charities,357000
28278,Christelike Maatskaplike Raad Greater Alberton,Charities,543000
34738,Christelike Maatskaplike Raad Greater Alberton,Charities,1378209
31285,Christelike Maatskaplike Raad Pretoria West,Charities,409903
34700,Christelike Maatskaplike Raad Pretoria West,Charities,457207
35370,Christelike Maatskaplike Raad Queenstown,Charities,1006631
35135,Christelike Maatskaplike Raad Rustenburg,Charities,668521
30988,Christelike Maatskaplike Raad Silverpark,Charities,239619
35600,Christelike Maatskaplike Raad Silverpark,Charities,345621
30498,Christelike Maatskaplike Raad Soshanguve,Charities,1208078
35872,Christelike Maatskaplike Raad Valhalla,Charities,185785
34708,Christelike Maatskaplike Raad Wonderboom,Charities,341499
30515,Christelike Welsynsraad Gauteng East,Charities,326288
25265,Christelike Welsynsraad Mpumalanga,Charities,67032
34063,Christelike Welsynsraad Mpumalanga,Charities,298405
34838,Christian Day Care Centre,Charities,58575
35703,Christian Social Council Benoni,Charities,1482112
34129,Christian Social Council Carolina,Charities,102945
27932,Christian Social Council Derdepoort,Charities,502250
34709,Christian Social Council Derdepoort,Charities,469619
37029,Christian Social Council Ermelo,Charities,318924
25965,Christian Social Council Lydenburg,Charities,209630
34009,Christian Social Council Lydenburg,Charities,310318
30299,Christian Social Council Mokopane,Charities,78299
30621,Christian Social Council Moot,Charities,290493
34149,Christian Social Council Musina,Charities,497819
33623,Christian Social Council Nigel - Ring van Heidelberg,Charities,522461
30100,Christian Social Council North,Charities,972566
34703,Christian Social Council North,Charities,1132714
34705,Christian Social Council North,Charities,682000
31368,Christian Social Council Ring van Linden,Charities,161606
35891,Christian Social Council Ring van Linden,Charities,492216
31369,Christian Social Council Springs,Charities,284000
34745,Christian Social Council Springs,Charities,1105390
33267,Christian Social Council Volksrust,Charities,185759
30102,Christian Social Services Council Daspoort,Charities,421241
34704,Christian Social Services Council Daspoort,Charities,333080
33198,Christian Social Services Council Port Elizabeth,Charities,1134645
30620,Christian Social Services Kempton Park,Charities,300000
35786,Christina Kiddie Kindersentrum,Charities,488430
34106,Christine Revell Children’s Home,Charities,699660
33800,Citizens Advice Bureau,Charities,430500
27618,City Year SA Citizen Service Organisation,Charities,100000
27772,Cleary Estate Cheshire Home,Charities,240000
27554,Clever Kiddies Day Care Centre,Charities,50000
30117,Community Action towards a Safer Environment,Charities,411400
30117,Community Action towards a Safer Environment,Charities,411400
33507,Community Based Child & Youth Protection Programme,Charities,372609
35667,Community Development Resource Association,Charities,87750
33329,Community Resources & Legal Advice,Charities,340700
27550,Compassionate Friends,Charities,134000
35437,Co-op Crèche,Charities,263750
33258,Coronation Memorial Home for the Aged,Charities,840000
31596,Council for the Aged Kempton Park,Charities,562688
27644,Cradock After School Care Forum,Charities,115000
34088,Creating Effective Families,Charities,638030
33649,CS Medical & Relief Service,Charities,2210699
35795,Dalphinia Kleuterskool,Charities,507850
34881,Dana Tehuis vir Senior Burgers,Charities,752933
30126,Deaf Community of Cape Town,Charities,924600
33390,Deaf Community of Cape Town,Charities,894000
31182,Deaf Federation Western Cape,Charities,350000
33439,Dementia SA,Charities,226850
33439,Dementia SA,Charities,226850
31591,Derdepoort Primary School,Charities,1192233
30728,Deutsches Altersheim,Charities,350000
34038,Deutsches Altersheim,Charities,417672
30981,Diabetes South Africa,Charities,525420
33703,Dimbaza Society for the Aged,Charities,422700
30685,Dineo Day Care Centre,Charities,43775
30685,Dineo Day Care Centre,Charities,43775
30533,Dirang Ka Kagiso,Charities,125800
31431,Dirisanang School,Charities,543357
33250,Disability Workshop Development Enterprise,Charities,411000
34788,Disabled People of Kwa Thema,Charities,803906
9632,Disabled People of South Africa,Charities,300000
4169,Disabled People of South Africa,Charities,1500000
33044,Disabled People of South Africa,Charities,1848439
33317,Dockda Rural Development Agency,Charities,394860
33446,Domestic Animal Rescue Organisation,Charities,210000
30609,Down Syndrome Association Gauteng,Charities,489000
30697,Down Syndrome Association Pretoria,Charities,676440
33994,Down Syndrome Association Pretoria,Charities,702765
33400,Down Syndrome Association Western Cape,Charities,329600
36069,Down Syndrome SA,Charities,836650
30470,Drakenstein Centre for Persons with Disabilities,Charities,540522
31909,Drostdy Protective Workshop,Charities,371317
25253,Durban Association for the Aged,Charities,578495
33527,Durban Children’s Home,Charities,793000
26459,Durban School for the Hearing Impaired,Charities,431186
34312,Durban YMCA,Charities,469615
39952,DWT Nthate Mercy Centre Skills Training,Charities,383600
31740,Early Learning Centre,Charities,201100
33492,Early Learning Foundation,Charities,180000
33839,Early Years Services,Charities,937710
31117,Early Years Services,Charities,177109
21093,East London Child & Family Welfare Society,Charities,750000
33701,East London Children’s Home,Charities,1003796
31079,East London High Transmission Area Project,Charities,328031
33775,East London High Transmission Area Project,Charities,604491
30759,East London Senior Citizens Association,Charities,750890
31440,East Rand Protective Workshop,Charities,2500000
32251,Eastern Province Child & Youth Care Centre,Charities,1451057
31507,Ebenhaeser Dienssentrum,Charities,273994
35666,Ebenhaeser Dienssentrum,Charities,342000
31439,Edenvale Child & Family Welfare Society,Charities,200000
33997,Edenvale Child & Family Welfare Society,Charities,250000
30646,Edenvale Old Age Home,Charities,350000
33644,Eersterus Care & Training Centre,Charities,819055
27615,Eersterust Welfare Organisation for the Aged,Charities,3241355
34783,Eersterust Welfare Organisation for the Aged,Charities,715700
35688,Ekklesiapark Tuiste vir Bejaardes,Charities,642015
33604,Ekubusisweni Child & Family Welfare Society,Charities,439138
30978,Ekuhlaleni Community Pre-School Project,Charities,1214270
33794,Ekuhlaleni Community Pre-School Project,Charities,600000
27613,Ekukhuseleni/Tshireletso Hospice,Charities,1551502
30616,Ekupholeni Mental Health & Trauma Centre,Charities,524000
33572,Ekuzameni Rehabilitation Centre,Charities,259788
30087,Elandsdrift Parent Association & Children’s Welfare,Charities,297898
34845,Elandsdrift Parent Association & Children’s Welfare,Charities,281953
34341,ELC Emseni Old Age Home,Charities,590791
35229,Elethu Daveyton Cheshire Homes,Charities,350000
33453,Elgin Learning Foundation,Charities,1667376
33989,Elim Home,Charities,1501133
27645,Elliot Hoerskool,Charities,425000
27645,Elliot Hoerskool,Charities,1117200
27767,Elliot Home for the Aged,Charities,344326
33205,Elliot Home for the Aged,Charities,369067
33689,Elsen Academy,Charities,335965
33511,Elsies River Community Advice Office,Charities,318000
33386,Elsies River Social Welfare Association,Charities,400000
31474,Eluxolweni Charitable Trust,Charities,690712
33901,Eluxolweni Charitable Trust,Charities,696455
26473,Empangeni Child & Family Welfare,Charities,425000
33503,Empilweni,Charities,450000
31925,Empilweni Home,Charities,455946
35344,Empilweni Home,Charities,1181573
34679,Employment Solutions,Charities,1498140
31280,Employment Solutions,Charities,701880
30779,Emthonjeni Awareness Centre,Charities,340998
35731,Emthonjeni Awareness Centre,Charities,1204915
30779,Emthonjeni Awareness Centre,Charities,340998
30546,Emthonjeni Pre-Primary School,Charities,45500
30535,Emuseni Day Care Centre,Charities,58845
30535,Emuseni Day Care Centre,Charities,58844
22759,Enkolweni Crèche,Charities,43300
27987,Enlighten Education Trust,Charities,187000
33299,Enlighten Education Trust,Charities,176344
27529,Ennerdale Service Centre & Meals on Wheels,Charities,41900
36216,Epilepsy SA,Charities,1701757
35657,Epilepsy SA,Charities,3131465
34755,Epilepsy SA Gauteng,Charities,2716329
34117,Epilepsy SA Knysna,Charities,688497
25305,Epilepsy SA Mpumalanga-Limpopo,Charities,870618
35480,Epilepsy SA Mpumalanga-Limpopo,Charities,479750
33815,Eric Miles Cheshire Home,Charities,903156
22308,ESDA Frail Care & Community Centre,Charities,62025
33557,Estcourt Hospice Association,Charities,807604
33412,Etafeni Day Care Centre Trust,Charities,887544
34057,Ethelbert Children’s Home,Charities,769650
37048,Ethembeni Community Centre,Charities,630700
25188,Ethembeni-HIV/AIDS Ministry,Charities,207900
25188,Ethembeni-HIV/AIDS Ministry,Charities,207900
25708,Evanna SAVF Home,Charities,297547
31532,Ezibeleni Moravian Crèche Day Care Centre,Charities,25000
31475,Faith & Hope Aids Programme,Charities,655360
31489,Family Life Centre (FAMSA National),Charities,1698035
33605,Family Literacy Project,Charities,500000
33292,FAMSA  Knysna,Charities,747727
33939,FAMSA Boland Drakenstein Area,Charities,166188
36097,FAMSA Durban,Charities,2207085
33768,FAMSA Grahamstown,Charities,1123423
26012,FAMSA Highveldridge,Charities,167040
34146,FAMSA Highveldridge,Charities,148290
31862,FAMSA Karoo,Charities,1575986
33432,FAMSA Karoo,Charities,204426
31326,FAMSA Northern Mpumalanga,Charities,118080
35503,FAMSA Northern Mpumalanga,Charities,128406
33429,FAMSA Pietermaritzburg,Charities,1364948
33870,FAMSA Port Elizabeth,Charities,934739
35519,FAMSA Potchefstroom,Charities,2085616
35690,FAMSA Pretoria,Charities,916307
31919,FAMSA Stutterheim,Charities,425200
33330,FAMSA Stutterheim,Charities,1099548
34722,FAMSA Vaal Triangle,Charities,526286
35684,FAMSA Welkom,Charities,956000
30611,FAMSA West Rand,Charities,709500
34757,FAMSA West Rand,Charities,737000
33843,FAMSA Western Cape,Charities,5035290
31264,Far North Alcohol & Drug Centre,Charities,1200616
34449,Far North Alcohol & Drug Centre,Charities,572400
31265,Far North Alcohol & Drug Centre,Charities,249555
23518,Far North Alcohol & Drug Centre,Charities,1909475
31144,Fasfacts,Charities,749225
33532,Fasfacts,Charities,1498500
21746,Fhatuwani Community Projects,Charities,77417
31438,Filadelfia Secondary School,Charities,623694
34807,Filadelfia Secondary School,Charities,1983542
31438,Filadelfia Secondary School,Charities,623694
33478,Fish Hoek Kommetjie Noordhoek Welfare Association,Charities,226499
30520,Flower Foundation Residential Clubs,Charities,341201
40392,Foodbank SA,Charities,16000000
36081,Forest Farm Centre,Charities,776546
30610,Forest Town School for Cerebral Palsy,Charities,1232655
34098,Foundation for Community Work,Charities,786526
33506,Foundation for Community Work,Charities,381000
31745,Foundation for Community Work,Charities,440600
31017,Freedom Care Communities Based Organisation,Charities,73000
35880,Friend in Need,Charities,370215
33653,Friends Day Care Centre,Charities,468100
31184,Friends of Vista Nova,Charities,420077
34049,Fulton School (Deaf),Charities,436419
26135,Future View HBC,Charities,138800
34951,Future Visions,Charities,1057046
27666,GADRA Advice & Community Work,Charities,574145
36862,Gagokalafi,Charities,384000
30527,Ga-Rankuwa YMCA,Charities,240500
30512,Gateway Society for the Mentally Disabled,Charities,340814
27543,Gauteng Children’s Rights Committee,Charities,535000
35324,Gauteng Children’s Rights Committee,Charities,1181156
34665,Gauteng Kidney Association,Charities,884200
33837,George Child & Family Welfare,Charities,256800
33469,Goedgedacht Roman Catholic Trust,Charities,829912
31278,Golang Kulani Early Learning Centre,Charities,795434
33280,Golden Gateway Hospice,Charities,338000
31016,Goldfields Child & Family Welfare Society,Charities,750051
35663,Goldfields Child & Family Welfare Society,Charities,1261324
31095,Goldfields Hospice Association,Charities,478000
35989,Goldfields Hospice Association,Charities,1229999
35052,Good Hope Development Fund,Charities,361880
31741,Good Hope Psychological Service,Charities,200000
31521,Good Shepherd Hospice,Charities,372500
31521,Good Shepherd Hospice,Charities,372500
24424,Grace and Love Day Care Centre,Charities,326707
23619,Grace Help Centre,Charities,458112
33225,Grahamstown Child & Family Welfare Society,Charities,1912665
33751,Grahamstown TB Care Society,Charities,508981
33480,Grail Centre Trust,Charities,199645
33423,Grandmothers Against Poverty & Aids,Charities,118500
33450,Grassroots Adult Education & Training Trust,Charities,1251993
30506,Greater Benoni Child & Family Welfare Society,Charities,411848
35859,Greater Benoni Child & Family Welfare Society,Charities,1655688
34729,Greater Germiston Society for Child & Family Welfare,Charities,1290577
33401,Greater Stellenbosch Development Trust,Charities,1695000
31749,Groote Schuur Hospital Benevolent Association,Charities,401800
26405,Guidance Education Youth Project,Charities,935687
25625,Ha Phororo/Empophomeni,Charities,1175011
34207,Happy Hearts Safe House,Charities,91000
34928,Happy Hearts Service Centre for the Aged,Charities,258520
22837,Haven Night Shelter,Charities,4469770
30922,Haven Night Shelter,Charities,7179856
33440,Haven Night Shelter,Charities,769509
33890,Haven Wellness Centre,Charities,416710
21337,Hawston Health & Welfare Organisation,Charities,139148
32244,Hawston Health & Welfare Organisation,Charities,324290
26659,Headway Natal,Charities,200000
33300,Heart-to-Heart Care Centre,Charities,255000
33537,Helderberg Hospice,Charities,750000
31172,Helderberg Society for the Aged,Charities,626200
33427,Helderberg Society for the Aged,Charities,550000
31177,Helderberg Society for the Aged,Charities,80000
33914,Helderberg Stroke Support Group,Charities,19900
35143,Helping Hand Hospice,Charities,617103
34841,Herfsland Home for the Aged,Charities,2428300
33868,Hermanus Child & Family Welfare Society,Charities,1399058
31785,Hermanus Society Welfare Aged,Charities,178226
33353,Hermanus Society Welfare Aged,Charities,200000
31923,Herschel Community Empowerment Programme,Charities,78250
21410,Hexvallei Gemeenskapdienste,Charities,100374
34900,Highveld Ridge SPCA,Charities,342957
27205,Highway Aged,Charities,400000
33536,Highway Hospice Association,Charities,2000000
31928,Hillcrest Advice Bureau,Charities,26700
26617,Hitekani Crèche,Charities,137500
29072,HIV / AIDS Prevention Group,Charities,244000
28389,Hlanganani Child & Family Welfare Society,Charities,75000
29070,Hoedspruit Training Trust,Charities,239999
33383,Home from Home Trust,Charities,60000
34580,Home Start South Africa,Charities,109392
30328,Home Tekna,Charities,848426
33333,Home Tekna,Charities,1160600
30940,Homestead,Charities,819993
33418,Homestead,Charities,885932
31903,HOPE Foundation,Charities,286660
30557,Hope in Victory Care Givers,Charities,900000
34835,Horizon Care Centre,Charities,200000
31272,Horizon Thusanang,Charities,2210244
35021,Horizon Thusanang,Charities,4027659
30687,Hosanna Soup Kitchen,Charities,156834
33675,Hospice Association of Transkei,Charities,103500
31490,Hospice Association Witwatersrand,Charities,2039000
35910,Hospice Association Witwatersrand,Charities,1105000
34558,Hospice in the West,Charities,1325809
35716,Hospice Ladybrand,Charities,660000
34975,Hospice Matlosana,Charities,2654300
35487,Hospice of White River,Charities,726394
23617,Hospice Rustenburg,Charities,260000
20464,House of Mercy,Charities,750000
28561,House Otto Self Help Centre,Charities,628400
33819,Hugenote Kollege - Christen Vigsburo,Charities,265000
35935,Huis Emily Hobhouse,Charities,464475
33906,Huis Formosa,Charities,1055036
27239,Huis Louisa Meyburgh,Charities,689972
33186,Huis Louisa Meyburgh,Charities,605698
31424,Huis Silwerjare,Charities,444135
35936,Huis Sorgvry Sentrum vir Bejaardes,Charities,495000
26842,Human Resource & Social Information Centre,Charities,954000
35013,Human Resource & Social Information Centre,Charities,1363400
34547,Ikageng Old Age Relief Centre,Charities,1690500
28016,Ikeletse Ka Kopano,Charities,195480
31751,Ikhayalethemba Project,Charities,118286
21753,Ikhwezi Crèche,Charities,330539
33949,Ikhwezi Trust,Charities,131460
31906,Ikwezi Women’s Support Centre,Charities,795700
34667,Imisebeyelanga Services,Charities,167000
31865,Immanuel Centre,Charities,105650
31865,Immanuel Centre,Charities,105650
21224,Impendle & District Child & Family Welfare Society,Charities,220000
31133,Imperanipark Tehuis vir Bejaardes,Charities,309688
34839,Impilo Place of Safety,Charities,374333
34276,Inanda Newtown & District Child & Family Welfare,Charities,302613
34127,Incaba Old Age Home Base Care Centre,Charities,278506
30982,Includid Maitland,Charities,371391
34095,Includid Maitland,Charities,441000
33810,Inclusive Education Western Cape,Charities,484210
27218,Indatshe Primary School,Charities,476000
34114,Indlela,Charities,452750
30977,Institute for Social Concerns,Charities,430000
32241,Institute for the Blind - Pioneer School,Charities,167368
28495,Institute for the Blind Industries,Charities,705827
31151,Institute for the Deaf (Worcester),Charities,1093351
33902,Institute for the Deaf (Worcester),Charities,4590533
33754,Integrated Community Development Programme Trust,Charities,358320
36300,Iphateleng Social Development Service,Charities,310000
33625,Irene Homes,Charities,2361882
33208,Isifungo Pre Primary School,Charities,271400
33241,Isiphephelo Home Based Care,Charities,373275
30647,Isiqhingi Senjabulo Pre School,Charities,105500
31305,Itireleng Day Care,Charities,24000
29062,Itireleng Educational Project,Charities,571127
34157,Itireleng Educational Project,Charities,1751365
20662,Jabulani Crèche,Charities,50000
30494,Jabulani Khakibos Kids,Charities,564575
30494,Jabulani Khakibos Kids,Charities,564576
35300,Jacaranda Haven,Charities,1159503
33352,Jagersbosch Community Care Centre,Charities,650000
33407,James House,Charities,985000
31039,Jersey Farm Advice & Information Centre,Charities,311701
30076,Jeugland Dienssentrum,Charities,74635
30961,Jewish Women’s Benevolent Society,Charities,332750
30961,Jewish Women’s Benevolent Society,Charities,332750
33442,Jireh Community Projects,Charities,858006
26393,JM Mosiane Primary School,Charities,560660
34560,Johanna Raath  Service Centre,Charities,230600
30630,Johannesburg Children’s Home,Charities,2075700
33619,Johannesburg Children’s Home,Charities,4238542
35920,Johannesburg Institute of Social Services,Charities,2271012
30997,Johannesburg Jewish Helping Hand & Burial Society,Charities,2360000
34629,Johannesburg Jewish Helping Hand & Burial Society,Charities,6500000
30075,Johannesburg Parent & Child Counselling Centres,Charities,1250000
34867,Johannesburg Parent & Child Counselling Centres,Charities,1475000
33273,Josef Matwa Old Age Home,Charities,177000
34126,Joy Home Based Care,Charities,454115
34768,JS Mminele Child & Youth Care Centre,Charities,1365889
30095,Kadimah Occupational Centre,Charities,375231
21499,Kamhlushwa Old Age Group,Charities,250000
31544,Kamieskroon Primary School,Charities,256823
30711,Kanana Mental Health Care Centre,Charities,401686
33279,Karoo Centre for Human Rights,Charities,1055595
31870,Karoo SPCA,Charities,244800
30626,Katlego Day Care Centre,Charities,60522
31387,Katlehong Early Learning Resource Unit,Charities,1304080
35733,Katlehong Resource Centre,Charities,550920
26151,Kellysville Primary School,Charities,589635
28235,Kerklike Maatskaplike Diens Bloemfontein,Charities,1153508
35938,Kerklike Maatskaplike Dienste Ring van Fauresmith,Charities,150000
35928,Kerklike Mattskaplike Diens Odendaalsrus,Charities,148000
25701,Kgatsheng Middle Secondary School,Charities,952044
34601,Kgosi Neighbourhood Foundation,Charities,305429
33458,Khanyisa School for Supportive Education,Charities,393039
26245,Khayalethu Day Care Centre,Charities,202864
35607,Khazimula Children’s Project,Charities,278621
27984,Kheaphole Day Care Centre,Charities,86956
35492,Khulakahle Educare Centre,Charities,545174
31577,Khululeka Community Education Development Centre,Charities,1289600
33709,Khululeka Community Education Development Centre,Charities,1331200
23738,Kinderstrand,Charities,462255
31910,King Williams Town Child & Youth Centre,Charities,720000
33757,King Williams Town Child & Youth Centre,Charities,1477000
34265,Kingsburgh Child & Family Welfare Society,Charities,386636
22281,Klawer Advice & Development Centre,Charities,224250
33977,Kleinmond Child & Family Welfare Society,Charities,401300
33804,Knysna Child & Family Welfare Society,Charities,331111
25145,Kokstad Child & Family Welfare Society,Charities,1663449
30325,Kopanang Youth Club,Charities,217862
30325,Kopanang Youth Club,Charities,217863
34081,Kopano Ke Matla,Charities,265000
31620,Kotulong Community Centre,Charities,250000
31620,Kotulong Community Centre,Charities,250000
33651,Kranshoek Child & Family Welfare Society,Charities,347322
30319,Kristopher Ryan Centre,Charities,454000
35931,Kroonstad Sentrum vir Bejaardes,Charities,868636
31470,Krugersdorp Society for Child & Family Welfare,Charities,455600
33719,Kruisfontein/Humansdorp Child & Family Welfare,Charities,1628067
31357,Kungwini Early Learning Centre,Charities,26278
22429,Kungwini Welfare Organisation,Charities,419628
31358,Kungwini Welfare Organisation,Charities,847117
34802,Kungwini Welfare Organisation,Charities,2243972
27537,Kwa Thema Crèche,Charities,217500
34352,La Gratitude Old Age Home,Charities,1250000
32199,Ladismith Kinder & Gesinsorg Vereeniging,Charities,391390
33367,Ladismith Kinder & Gesinsorg Vereeniging,Charities,498000
33596,"Ladysmith & District Child & Family Welfare
Society",Charities,228500
25260,Ladysmith Hospice Association,Charities,111857
31447,Lake Farm Aid Centre,Charities,516820
30798,Lat Wiel Self Help Centre,Charities,343000
34564,Lat Wiel Self Help Centre,Charities,262400
36302,Leamogetswe Safety Home,Charities,1264000
28073,Learn to Earn,Charities,2218262
31295,Leboneng Day Care,Charities,41550
31295,Leboneng Day Care,Charities,41550
24336,Legal Resources Centre,Charities,1500000
31329,Lekane School,Charities,1150000
31329,Lekane School,Charities,1150000
31434,Lemotso Primary School,Charities,153955
34684,Lenasia Cancer Society,Charities,89000
28264,Lerato Educare Centre,Charities,114800
35171,Lerato Educare Centre,Charities,170700
28018,Leratong Hospice,Charities,1166000
34864,Leratong Hospice,Charities,828900
30529,Leratong Mission Centre,Charities,374532
30529,Leratong Mission Centre,Charities,374531
35314,Leratong Mission Centre,Charities,221880
31077,Lesedi Educare Association,Charities,898060
33204,Lesedi Hospice,Charities,393794
34612,"Lesedi Self-Help Association for People With
Disabilities",Charities,350000
31020,Lesedi-Lechabile Primary Care,Charities,1202000
24848,Leseding Care Givers,Charities,523170
31243,Leseding Centre for Mentally Handicapped,Charities,500000
34723,Leseding Day Care Centre,Charities,24956
35730,Lethabo Le Khutso,Charities,610942
35689,Lethukukhanya Health Institute,Charities,804600
35929,Lewenslus Sentrum vir Bejaardes,Charities,259600
34226,Lifeline Durban,Charities,2145713
26784,Lifeline Durban,Charities,500000
33668,Lifeline East London,Charities,738150
34029,Lifeline East Rand,Charities,1677800
27668,Lifeline Eastern Cape,Charities,2015000
35369,Lifeline Eastern Cape,Charities,520792
31366,Lifeline Johannesburg,Charities,754087
34896,Lifeline Nelspruit,Charities,575300
33528,Lifeline Pietermaritzburg,Charities,1325500
34740,Lifeline Pretoria,Charities,422972
30562,Lifeline Pretoria,Charities,1385918
34172,Lifeline Vaal Triangle,Charities,1396585
35302,Lifeline West Rand,Charities,725300
33434,Lifeline Western Cape,Charities,2594000
34055,Lifeline Zululand,Charities,1121250
25078,Lindokuhle Child & Family Welfare,Charities,162000
28115,Lingelihle Old Age Home,Charities,1567919
33803,Lingelihle Old Age Home,Charities,654465
35635,Lithanza Community Development & Training,Charities,258025
33477,Little Angels Day Care,Charities,341360
35647,Little Darlings Day Care Centre,Charities,222286
31365,"Little Eden Society for Care of Persons with
Mental Handicap",Charities,3500000
